#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:30:00 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:30:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/823/157/table5&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18230157
#Name: J/ApJ/823/157
#Title: LOS velocities & [Fe/H] of Pal 5 tidal stream (Ishigaki+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/823/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/823/157	    IVOID of underlying data collection
#INFO	creator=Ishigaki M.N.	    First author or institution
#INFO	cites=bibcode:2016ApJ...823..157I	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/823/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18230157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-01-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_823_157_table5:
#Name: J/ApJ/823/157/table5
#Title: Stars in the DEIMOS fields selected by the CMD, [Fe/H] and proper motion criteria
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Field	(A4)	Keck/DEIMOS field name (FD1 to FD10)	[ucd=meta.id.part;meta.main]
#Column	Name	(I3)	[1/80] Star name within the field	[ucd=meta.id.part;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	gmag0	(F5.2)	[17/20.9] Extinction corrected SDSS g band magnitude	[ucd=phot.mag;em.opt.B]
#Column	HRV	(F6.1)	[-306/341] Heliocentric line-of-sight velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F4.1)	[1/10] Error in HRV	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	[-2.1/-0.6] Metallicity	[ucd=phys.abund.Z]
#Column	LOS	(A1)	[ny] Status of line-of-sight velocity criterion (1)	[ucd=meta.code]
#Column	f_Name	(A1)	[K] Flag on FD3-008 (2)	[ucd=meta.code]
#Column	DR9	(A3)	Display the SDSS-DR9 data (Adelman-McCarthy+, 2012, V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
recno	Field	Name	RAJ2000	DEJ2000	gmag0	HRV	e_HRV	[Fe/H]	LOS	f_Name	DR9	Sloan
 	 	 	deg	deg	mag	km/s	km/s	 	 	 	 	
--------	----	---	---------	--------	-----	------	----	-----	-	-	---	-----
       1	FD1 	  2	227.30743	-02.0780	20.23	  86.0	 4.6	-1.08	n	 	DR9	Sloan
       2	FD1 	  6	227.25285	-02.0564	17.82	  53.6	 3.0	-1.08	n	 	DR9	Sloan
       3	FD1 	  7	227.29528	-02.0668	17.38	 -72.7	 1.7	-1.09	y	 	DR9	Sloan
       4	FD1 	  8	227.23506	-02.0649	20.69	 -68.7	 9.2	-1.61	y	 	DR9	Sloan
       5	FD1 	 11	227.36408	-02.0007	19.28	  16.6	 3.3	-1.58	n	 	DR9	Sloan
       6	FD1 	 14	227.35868	-02.0123	17.21	-106.7	 3.6	-0.98	n	 	DR9	Sloan
       7	FD1 	 16	227.35956	-01.9482	18.51	  16.5	 3.3	-0.85	n	 	DR9	Sloan
       8	FD1 	 17	227.33528	-02.0295	18.02	-114.8	 3.0	-1.72	n	 	DR9	Sloan
       9	FD1 	 18	227.36076	-01.9703	20.30	 -34.5	 5.3	-1.29	y	 	DR9	Sloan
      10	FD1 	 20	227.28713	-02.0910	18.27	 -57.3	 4.7	-1.61	y	 	DR9	Sloan
      11	FD1 	 22	227.36042	-01.9635	18.06	 112.8	 3.9	-1.14	n	 	DR9	Sloan
      12	FD1 	 24	227.30752	-02.0233	20.47	 -81.6	 5.0	-0.90	y	 	DR9	Sloan
      13	FD1 	 25	227.27690	-02.0570	20.54	 -18.6	 7.4	-2.02	n	 	DR9	Sloan
      14	FD1 	 26	227.35641	-02.0204	17.55	  20.6	 1.9	-1.20	n	 	DR9	Sloan
      15	FD1 	 33	227.22335	-02.1022	18.54	  24.6	 9.6	-2.09	n	 	DR9	Sloan
      16	FD2 	  7	227.89607	-01.2745	19.72	  25.5	 4.5	-1.29	n	 	DR9	Sloan
      17	FD2 	 18	227.92829	-01.2240	19.99	-164.6	 7.5	-1.28	n	 	DR9	Sloan
      18	FD2 	 56	227.83939	-01.3268	19.79	-135.4	 8.5	-0.78	n	 	DR9	Sloan
      19	FD2 	 70	227.90993	-01.2452	18.91	 -44.7	 7.7	-0.94	y	 	DR9	Sloan
      20	FD3 	  4	228.58463	-00.6332	18.63	 101.1	 1.3	-1.49	n	 	DR9	Sloan
      21	FD3 	  5	228.54771	-00.7034	17.07	 269.8	 4.7	-1.86	n	 	DR9	Sloan
      22	FD3 	  8	228.47669	-00.8190	18.55	 -60.6	 8.7	-1.35	y	K	DR9	Sloan
      23	FD3 	 13	228.53634	-00.7454	17.45	 -68.5	 1.9	-1.01	y	 	DR9	Sloan
      24	FD3 	 15	228.48112	-00.7714	18.34	 -55.4	 1.2	-0.74	y	 	DR9	Sloan
      25	FD3 	 19	228.61363	-00.6085	18.88	  29.2	 6.2	-1.73	n	 	DR9	Sloan
      26	FD3 	 26	228.47261	-00.7862	18.10	-152.3	 2.1	-1.53	n	 	DR9	Sloan
      27	FD3 	 29	228.46247	-00.7757	19.38	 -74.1	 1.7	-0.65	y	 	DR9	Sloan
      28	FD3 	 36	228.49554	-00.8167	20.14	  11.2	 9.3	-0.90	n	 	DR9	Sloan
      29	FD3 	 42	228.61427	-00.6493	17.78	 -11.7	 1.2	-1.07	n	 	DR9	Sloan
      30	FD3 	 43	228.56127	-00.7546	19.71	  13.6	 1.4	-1.16	n	 	DR9	Sloan
      31	FD3 	 45	228.59128	-00.6966	18.33	  21.5	 1.9	-0.80	n	 	DR9	Sloan
      32	FD3 	 57	228.56409	-00.7131	18.22	 -85.5	 1.2	-0.87	y	 	DR9	Sloan
      33	FD3 	 69	228.52582	-00.7928	17.14	-110.2	 8.1	-0.91	n	 	DR9	Sloan
      34	FD4 	  5	228.64736	-00.2969	18.07	 -25.5	 1.2	-0.73	y	 	DR9	Sloan
      35	FD4 	  9	228.67347	-00.3142	19.71	-108.3	 8.6	-1.48	n	 	DR9	Sloan
      36	FD4 	 15	228.66769	-00.1087	20.30	 -29.0	 4.3	-1.39	y	 	DR9	Sloan
      37	FD4 	 19	228.69655	-00.1535	20.16	  79.9	 1.5	-0.65	n	 	DR9	Sloan
      38	FD4 	 24	228.67320	-00.2517	18.84	  68.1	 1.3	-0.77	n	 	DR9	Sloan
      39	FD4 	 28	228.61329	-00.2990	19.03	  -9.9	 1.6	-0.97	n	 	DR9	Sloan
      40	FD4 	 30	228.63965	-00.3239	19.39	 -75.2	 9.1	-1.26	y	 	DR9	Sloan
      41	FD4 	 37	228.64104	-00.3142	20.64	-261.4	 9.5	-2.02	n	 	DR9	Sloan
