#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:40 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/382/488&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33820488
#Name: J/A+A/382/488
#Title: Stellar and ionized gas kinematics in NGC 2855 (Corsini+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/382/488	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/382/488	    IVOID of underlying data collection
#INFO	creator=Corsini E.M.	    First author or institution
#INFO	cites=bibcode:2002A&A...382..488C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/382/488	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33820488	    Dataset identifier that can be used for citation
#INFO	publication_date=2002-02-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_382_488_table3:
#Name: J/A+A/382/488/table3
#Title: NGC 2855 stellar kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	r	(F5.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	Velocity dispersion error	[ucd=stat.error]
#Column	PA	(I3)	Slit position angle	[ucd=pos.posAng]
#Column	Run	(I1)	? Observing run (1 = 1999; 2 = 2001) (in table4.dat only)	[ucd=meta.id;obs]
recno	r	HRV	e_HRV	sigma	e_sigma	PA	Run
 	arcsec	km/s	km/s	km/s	km/s	deg	
--------	-----	----	--	---	--	---	-
       1	-28.2	-112	20	154	16	120	
       2	-14.1	-138	11	156	14	120	
       3	 -8.4	-112	 8	144	11	120	
       4	 -5.2	 -92	10	166	13	120	
       5	 -3.2	 -69	 7	178	12	120	
       6	 -2.0	 -41	 7	177	11	120	
       7	 -1.2	 -24	 7	175	11	120	
       8	 -0.4	 -15	 8	171	16	120	
       9	  0.4	  14	 6	173	 8	120	
      10	  1.2	  27	10	175	13	120	
      11	  2.4	  52	 7	175	10	120	
      12	  4.1	  88	 7	160	11	120	
      13	  6.4	  84	 9	157	11	120	
      14	 11.0	 127	 7	158	11	120	
      15	 22.2	 121	12	143	13	120	
      16	-20.5	 -12	11	129	12	 30	
      17	-12.0	  -6	 8	144	11	 30	
      18	 -7.6	  -2	 8	179	 9	 30	
      19	 -5.3	  -1	 8	176	 9	 30	
      20	 -3.7	  -8	 6	186	 8	 30	
      21	 -2.5	   4	 6	189	 8	 30	
      22	 -1.7	   4	 6	189	 8	 30	
      23	 -0.8	   2	 6	179	 8	 30	
      24	  0.0	  -4	 9	185	13	 30	
      25	  0.8	   4	 6	181	 8	 30	
      26	  1.6	  17	 5	177	 7	 30	
      27	  2.4	  10	 8	185	11	 30	
      28	  3.6	  11	 5	161	 8	 30	
      29	  5.6	  -4	 7	179	 9	 30	
      30	  8.8	   0	 8	151	11	 30	
      31	 15.3	   2	 9	164	12	 30	
      32	 20.0	 -21	27	179	30	 30	

#Table	J_A_A_382_488_table4:
#Name: J/A+A/382/488/table4
#Title: NGC 2855 ionized-gas kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	r	(F5.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	Velocity dispersion error	[ucd=stat.error]
#Column	PA	(I3)	Slit position angle	[ucd=pos.posAng]
#Column	Run	(I1)	? Observing run (1 = 1999; 2 = 2001) (in table4.dat only)	[ucd=meta.id;obs]
recno	r	HRV	e_HRV	sigma	e_sigma	PA	Run
 	arcsec	km/s	km/s	km/s	km/s	deg	
--------	-----	----	--	---	--	---	-
       1	-57.4	-113	53	  0	66	120	1
       2	-50.8	 -91	42	 38	51	120	1
       3	-44.3	-106	57	 49	73	120	1
       4	-37.7	 -90	55	 57	58	120	1
       5	-31.2	-170	47	 27	52	120	1
       6	-26.2	-182	45	 60	49	120	1
       7	-23.0	-203	19	 15	20	120	1
       8	-19.7	-199	20	 41	21	120	1
       9	-16.4	-183	11	 37	12	120	1
      10	-14.3	-177	 7	  0	 8	120	1
      11	-13.5	-198	 9	 28	10	120	1
      12	-12.7	-194	10	 51	10	120	1
      13	-11.9	-183	 7	 12	 7	120	1
      14	-11.1	-176	 8	 31	 9	120	1
      15	-10.2	-174	 8	 20	 8	120	1
      16	 -9.4	-166	 6	 36	 6	120	1
      17	 -8.6	-170	 8	 65	 8	120	1
      18	 -7.8	-141	 6	 71	 6	120	1
      19	 -7.0	-144	 5	 43	 5	120	1
      20	 -6.1	-133	 4	 35	 4	120	1
      21	 -5.3	 -95	 4	 62	 4	120	1
      22	 -4.5	 -89	 3	 68	 3	120	1
      23	 -3.7	 -64	 3	 93	 3	120	1
      24	 -2.9	 -40	 2	130	 2	120	1
      25	 -2.0	 -24	 1	138	 1	120	1
      26	 -1.2	 -16	 1	129	 1	120	1
      27	 -0.4	  -3	 1	135	 1	120	1
      28	  0.4	   0	 1	146	 1	120	1
      29	  1.2	  16	 1	140	 1	120	1
      30	  2.1	  34	 1	134	 1	120	1
      31	  2.9	  54	 2	126	 2	120	1
      32	  3.7	  72	 2	102	 3	120	1
      33	  4.5	  94	 3	 64	 3	120	1
      34	  5.3	 110	 4	 60	 4	120	1
      35	  6.2	 132	 4	 38	 4	120	1
      36	  7.0	 141	 4	 30	 4	120	1
      37	  7.8	 175	 5	 30	 5	120	1
      38	  8.6	 178	 5	 44	 5	120	1
      39	  9.4	 186	 6	 38	 6	120	1
      40	 10.3	 185	 7	 37	 7	120	1
      41	 11.1	 193	 6	  0	 6	120	1
      42	 11.9	 194	 7	  0	 7	120	1
      43	 12.7	 209	 6	 24	 7	120	1
      44	 13.5	 187	 6	  0	 6	120	1
      45	 14.4	 201	 6	 21	 6	120	1
      46	 15.2	 191	 4	 17	 5	120	1
      47	 16.0	 197	 4	 37	 4	120	1
      48	 16.8	 195	 4	 42	 4	120	1
      49	 17.6	 202	 3	 25	 4	120	1
      50	 18.5	 202	 5	 50	 5	120	1
      51	 19.3	 212	 7	 37	 8	120	1
      52	 20.1	 218	10	 47	12	120	1
      53	 21.7	 196	14	 39	15	120	1
      54	 24.2	 209	15	 26	16	120	1
      55	 26.7	 206	19	 23	20	120	1
      56	 30.3	 193	45	 56	49	120	1
      57	 35.3	 154	56	 22	64	120	1
      58	 40.2	 126	44	 14	44	120	1
      59	 46.7	 103	82	  0	84	120	1
      60	-40.6	 -36	73	  0	72	 30	1
      61	-32.4	 -20	45	  0	46	 30	1
      62	-24.2	   3	56	 38	58	 30	1
      63	-18.9	 -35	21	 17	23	 30	1
      64	-16.4	 -24	20	 57	23	 30	1
      65	-14.0	  -9	15	 51	18	 30	1
      66	-12.3	  -6	 8	 27	 8	 30	1
      67	-11.5	  -4	 8	 52	 9	 30	1
      68	-10.7	   5	 7	 69	10	 30	1
      69	 -9.9	  -2	 7	 65	 9	 30	1
      70	 -9.0	   1	 6	 54	 7	 30	1
      71	 -8.2	   0	 6	 60	 6	 30	1
      72	 -7.4	   0	 5	 45	 5	 30	1
      73	 -6.6	   8	 5	 60	 6	 30	1
      74	 -5.8	   5	 5	 73	 5	 30	1
      75	 -4.9	  19	 6	103	 6	 30	1
      76	 -4.1	  29	 4	 92	 4	 30	1
      77	 -3.3	  49	 3	131	 3	 30	1
      78	 -2.5	  28	 2	143	 2	 30	1
      79	 -1.7	  17	 1	162	 1	 30	1
      80	 -0.8	   3	 1	146	 1	 30	1
      81	  0.0	  -3	 1	145	 1	 30	1
      82	  0.8	 -18	 1	138	 1	 30	1
      83	  1.6	 -26	 1	135	 1	 30	1
      84	  2.4	 -52	 2	122	 2	 30	1
      85	  3.3	 -29	 3	 85	 3	 30	1
      86	  4.1	 -20	 4	 93	 4	 30	1
      87	  4.9	 -17	 4	 76	 5	 30	1
      88	  5.7	 -17	 5	 62	 5	 30	1
      89	  6.5	  -5	 5	 50	 5	 30	1
      90	  7.4	   3	 7	 60	 7	 30	1
      91	  8.2	 -10	 7	 52	 7	 30	1
      92	  9.0	  -4	 8	 44	 9	 30	1
      93	 10.6	  -3	12	 57	13	 30	1
      94	 13.1	 -10	14	 66	17	 30	1
      95	 15.6	  -3	17	 42	18	 30	1
      96	 18.0	  -1	28	 42	29	 30	1
      97	 20.5	  30	37	 73	40	 30	1
      98	 24.2	  -8	44	 30	50	 30	1
      99	 29.1	 -10	34	  0	36	 30	1
     100	-10.7	 -18	 9	 46	11	 30	2
