#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	[0/1]? Apparent axial ratio (1)	[ucd=phys.angSize;arith.ratio]
#Column	AB	(F5.2)	[0.01/7.88]? Galactic extinction in B band (2)	[ucd=phys.absorption.gal]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	f_Kmag	(A1)	[*] Estimated Kmag (7)	[ucd=meta.code]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	ABi	(F5.2)	[0/1.25]? Internal B band extinction (15)	[ucd=phys.absorption;em.opt.B]
#Column	BMag	(F5.1)	[-21.8/-0.6]? Absolute B band magnitude (16)	[ucd=phys.magAbs;em.opt.B]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	Tij	(F5.2)	[-2.7/2.4]? Ks-density index {Theta}_j_ (25)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Name	Nd	RAJ2000	DEJ2000	a26	b/a	AB	l_FUV	FUV	Bmag	l_Hamag	Hamag	Kmag	f_Kmag	l_HImag	HImag	W50	TT	Mcl	Tdw	HRV	Dist	f_Dist	A26	i	vAmp	ABi	BMag	<Bmu>	KLum	M26	l_MHI	MHI	Vlg	Ti1	MD	Ti5	Tij	K+04	SimbadName	NEDname
 	 	 	"h:m:s"	"d:m:s"	arcmin	 	mag	 	mag	mag	 	mag	mag	 	 	mag	km/s	 	 	 	km/s	Mpc	 	kpc	deg	km/s	mag	mag	mag/arcsec2	[Lsun]	[Msun]	 	[Msun]	km/s	 	 	 	[-]	 	 	
--------	------------------	---	----------	---------	------	-----	-----	-	-----	-----	-	-----	-----	-	-	------	---	--	-----	-	----	-----	----	-----	--	---	-----	-----	----	-----	-----	-	-----	----	----	---------------	----	-----	---	-----------------------------	-----------------------------
       1	UGC12894          	  7	00 00 22.5	+39 29 44	  1.02	 0.87	 0.47	 	17.57	16.80	 	19.91	14.02	*	 	 15.66	 34	10	Ir   	L	 335	 8.47	TF  	 2.78	33	 21	 0.00	-13.3	25.2	 7.58	 8.17	 	 7.92	 619	-1.5	NGC7640        	-1.2	     	  0	UGC12894                     	UGC12894
       2	WLM               	  8	00 01 58.1	-15 27 40	 11.48	 0.35	 0.16	 	12.80	11.03	 	15.56	 9.00	 	 	 11.19	 53	 9	Im   	N	-122	 0.97	TRGB	 3.21	90	 22	 0.00	-14.1	24.8	 7.69	 8.27	 	 7.83	 -16	 0.0	MESSIER031     	 0.2	 1.74	  1	WLM GALAXY                   	WLM GALAXY
       3	And XVIII         	  4	00 02 14.5	+45 05 20	  1.40	 0.99	 0.45	>	23.00	17.00	 	     	12.49	*	 	      	   	-3	Sph  	L	-332	 1.36	TRGB	 0.63	10	   	 0.00	 -9.1	26.2	 6.60	     	 	     	 -44	 0.4	MESSIER031     	 0.5	 1.52	  0	And XVIII                    	And XVIII
       4	ESO409-015        	  7	00 05 31.8	-28 05 53	  1.20	 0.46	 0.07	 	16.08	15.15	 	17.21	12.74	*	 	 15.28	 53	 9	Im   	N	 726	 7.70	TF  	 2.65	78	 23	 0.00	-14.4	24.1	 7.99	 8.20	 	 7.99	 769	-1.7	NGC0253        	-1.2	     	  0	ESO409-015                   	ESO409-015
       5	AGC748778         	  6	00 06 34.4	+15 30 39	  0.32	 0.52	 0.28	 	20.28	18.90	 	     	16.29	*	 	 18.21	 16	10	Ir   	L	 258	 5.40	h'  	 0.53	70	  3	 0.00	-10.0	24.9	 6.27	 5.64	 	 6.51	 486	-1.6	NGC0253        	-1.3	     	  0	AGC748778                    	AGC748778
       6	And XX            	  4	00 07 30.7	+35 07 56	  0.80	 0.70	 0.25	 	21.84	19.00	 	     	14.67	*	 	      	   	-3	Sph  	X	-456	 0.80	TRGB	 0.20	58	   	 0.00	 -5.8	27.0	 5.26	     	 	     	-182	 2.4	MESSIER031     	 2.4	 1.74	  0	And XX                       	And XX
       7	UGC00064          	  6	00 07 44.0	+40 52 32	  1.66	 0.56	 0.34	 	16.59	15.50	 	     	12.84	*	 	 14.30	 60	10	Ir   	N	 305	 9.60	TF  	 4.87	66	 28	 0.00	-14.8	25.0	 8.15	 8.65	 	 8.58	 587	-1.7	DDO217         	-1.3	-1.15	  0	UGC00064                     	UGC00064
       8	ESO349-031        	  8	00 08 13.3	-34 34 42	  1.23	 0.82	 0.05	 	17.14	15.71	 	21.43	13.02	 	 	 15.53	 30	10	Ir   	L	 221	 3.21	TRGB	 1.15	39	 14	 0.00	-11.9	24.8	 7.12	 7.41	 	 7.13	 230	 0.0	NGC0253        	 0.1	 0.51	  1	ESO349-031                   	ESO349-031
       9	NGC0024           	  8	00 09 56.4	-24 57 48	  7.24	 0.22	 0.08	 	14.16	12.38	 	16.03	 8.96	 	 	 13.54	213	 5	     	 	 550	 9.90	TF  	19.98	85	 95	 0.64	-18.3	24.5	 9.75	10.32	 	 8.91	 606	-1.0	NGC0045        	-0.8	 0.42	  0	NGC0024                      	NGC0024
      10	NGC0045           	  8	00 14 03.9	-23 10 56	  8.51	 0.69	 0.09	 	12.69	11.55	 	14.41	 9.09	 	 	 11.98	172	 8	     	 	 465	 9.20	TF  	22.88	47	103	 0.17	-18.5	24.6	 9.61	10.45	 	 9.47	 528	-0.9	NGC0024        	-0.8	 0.51	  0	NGC0045                      	NGC0045
      11	NGC0055           	  8	00 15 08.5	-39 13 13	 37.15	 0.17	 0.06	 	10.29	 8.84	 	11.66	 6.25	 	 	  8.84	169	 8	     	 	 129	 2.13	TRGB	21.71	84	 74	 0.55	-18.4	24.6	 9.49	10.15	 	 9.45	 111	 0.1	NGC0300        	 0.1	 0.26	  1	NGC0055                      	NGC0055
      12	NGC0059           	  8	00 15 25.1	-21 26 38	  2.29	 0.48	 0.09	 	16.25	12.97	 	17.26	10.10	 	 	 15.94	 50	-3	dEem 	N	 361	 5.30	SBF 	 3.52	90	 21	 0.00	-15.7	23.3	 8.72	 8.25	 	 7.40	 431	-0.5	NGC0253        	-0.4	-1.55	  1	NGC0059                      	NGC0059
      13	ESO410-005        	  7	00 15 31.4	-32 10 48	  1.62	 0.77	 0.06	 	18.41	14.90	>	25.92	12.50	*	 	 17.48	 23	10	Tr   	N	  36	 1.92	TRGB	 0.91	45	  4	 0.00	-11.6	24.5	 6.88	 6.13	 	 5.91	  53	 0.0	NGC0055        	 0.2	 0.51	  1	ESO410-005                   	ESO410-005
      14	And XIX           	  4	00 19 32.1	+35 02 37	  6.20	 0.83	 0.27	>	23.00	16.80	 	     	12.45	*	 	      	   	-3	Sph  	X	-111	 0.93	TRGB	 1.81	41	   	 0.00	 -8.3	29.3	 6.28	     	 	     	 157	 1.9	MESSIER031     	 1.9	 1.74	  0	And XIX                      	And XIX
      15	IC0010            	  7	00 20 24.5	+59 17 30	  6.76	 0.87	 3.65	 	     	11.78	 	12.38	 6.51	 	 	  9.94	 62	10	Ir   	N	-346	 0.66	Cep 	 2.85	33	 49	 0.02	-16.0	22.6	 8.47	 8.90	 	 8.00	 -62	 1.6	MESSIER031     	 1.6	 1.74	  1	IC0010                       	IC0010
      16	And XXVI          	  4	00 23 45.6	+47 54 58	  1.60	 0.75	 0.46	>	23.00	18.40	 	     	13.88	*	 	      	   	-3	Sph  	X	-261	 0.76	HB  	 0.40	52	   	 0.00	 -6.5	27.9	 5.54	     	 	     	  21	 2.8	MESSIER031     	 2.9	 1.74	  0	And XXVI                     	And XXVI
