Name	M_K_s^group	# candidates	# SBF conf.	# other conf.	# SBF rejected	# other rejected	# unconfirmed
	(mag)						
NGC253	-23.96	8	0	5	0	2	1
NGC628	-22.81	17	7	6	3	0	1
NGC891	-23.83	8	1	2	1	0	4
NGC1023	-23.98	22	9	5	5	0	3
NGC1291	-23.97	21	12	2	1	2	4
NGC1808	-23.78	18	7	3	4	0	4
NGC2683	-23.50	12	3	3	2	0	4
NGC2903	-23.69	16	4	3	9	0	0
NGC3115	-24.14	27	13	4	8	0	2
NGC3344	-22.27	9	3	0	2	0	4
NGC3379	-25.37	85	16	28	17	2	22
NGC3521	-24.41	18	9	2	6	0	1
NGC3556	-22.76	17	0	1	2	1	13
NGC3627	-25.33	33	6	14	1	0	12
NGC4258	-23.94	21	3	4	12	1	1
NGC4517	-22.16	56	7	2	39	8	0
NGC4565	-24.27	11	2	2	2	0	5
M104	-25.01	18	11	0	3	0	4
NGC4631	-22.90	23	7	5	8	2	1
NGC4736	-23.10	17	0	7	0	3	7
NGC4826	-23.24	12	3	4	2	1	2
NGC5055	-24.04	13	5	4	0	0	4
NGC5194	-24.51	13	2	1	8	2	0
NGC5457	-23.16	42	2	7	33	0	0
NGC6744	-24.00	15	4	1	4	0	6
M31	-24.89	--	--	20	--	--	--
M81	-25.27	--	--	24	--	--	--
CENA	-24.41	--	--	22	--	--	--
NGC5236	-23.67	--	--	11	--	--	--
MW	-24.13	--	--	10	--	--	--
Total	--	552	136	202	172	24	105
