#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:45 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/768/172/table3&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17680172
#Name: J/ApJ/768/172
#Title: Kinematic analysis of red giant in M31 dSphs (Collins+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	creator=Collins M.L.M.	    First author or institution
#INFO	cites=bibcode:2013ApJ...768..172C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/768/172	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17680172	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_768_172_table3:
#Name: J/ApJ/768/172/table3
#Title: Details of probable dSph members
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a10)	Field (dwarf spheroidal) name	[ucd=meta.id.parent]
#Column	m_Gal	(A1)	[ab] Index in case of multiple observations	[ucd=meta.code.multip]
#Column	ID	(I3)	[1/172] Star identifier in Gal	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	gmag	(F6.3)	[21.4/25] The CFHT/MegaCam g-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	imag	(F6.3)	[20.3/24] The CFHT/MegaCam i-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	HRV	(F7.2)	[-604.5/918.2] Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F6.2)	[1.2/227] Error in HRV	[ucd=stat.error]
#Column	S/N	(F6.3)	[0.3/17] Signal-to-noise (per Angstrom)	[ucd=stat.snr]
#Column	Pi	(F6.3)	[0/1] Likelihood of membership (1)	[ucd=stat.likelihood]
#Column	Obs	(A3)	Details of this observation	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Gal	m_Gal	ID	RAJ2000	DEJ2000	gmag	imag	HRV	e_HRV	S/N	Pi	Obs	Simbad
 	 	 	 	"h:m:s"	"d:m:s"	mag	mag	km/s	km/s	 	 	 	
--------	----------	-	---	-----------	-----------	------	------	-------	------	------	------	---	------
       1	And V     	 	  9	01 10 02.38	+47 37 48.5	23.640	22.402	-371.27	  5.08	 1.700	 0.320	Obs	Simbad
       2	And V     	 	 12	01 10 05.54	+47 36 41.6	23.100	21.530	-406.50	  3.60	 2.000	 0.509	Obs	Simbad
       3	And V     	 	 13	01 10 06.71	+47 35 26.9	23.155	21.661	-423.84	  1.28	 3.400	 0.183	Obs	Simbad
       4	And V     	 	 14	01 10 07.45	+47 35 48.0	22.778	21.219	-371.18	  2.34	 3.900	 0.150	Obs	Simbad
       5	And V     	 	 16	01 10 09.04	+47 37 20.8	23.163	21.781	-388.10	  4.10	 3.400	 0.894	Obs	Simbad
       6	And V     	 	 21	01 10 13.94	+47 37 09.0	22.900	21.626	-381.25	  2.03	 3.700	 0.966	Obs	Simbad
       7	And V     	 	 23	01 10 16.32	+47 37 37.4	23.631	22.482	-396.19	  2.21	 4.300	 0.998	Obs	Simbad
       8	And V     	 	 24	01 10 17.94	+47 37 16.2	22.958	21.409	-366.40	 11.70	 3.500	 0.984	Obs	Simbad
       9	And V     	 	 25	01 10 18.62	+47 38 09.4	23.431	21.992	-365.60	 12.60	 6.500	 0.998	Obs	Simbad
      10	And V     	 	 26	01 10 19.23	+47 39 04.1	22.652	21.176	-390.21	  1.32	 3.800	 0.936	Obs	Simbad
      11	And V     	 	 27	01 10 20.03	+47 37 10.1	23.276	21.722	-400.40	 12.80	 4.400	 0.992	Obs	Simbad
      12	And V     	 	 28	01 10 20.65	+47 38 15.7	22.887	21.360	-408.20	  4.00	 4.600	 0.991	Obs	Simbad
      13	And V     	 	 29	01 10 21.56	+47 37 25.8	23.115	21.526	-382.30	  6.76	 2.200	 0.986	Obs	Simbad
      14	And V     	 	 30	01 10 22.22	+47 38 52.1	23.545	22.233	-405.70	 11.50	 4.200	 0.977	Obs	Simbad
      15	And V     	 	 34	01 10 25.14	+47 38 09.8	23.790	22.617	-401.60	  1.94	 3.900	 0.975	Obs	Simbad
      16	And V     	 	 49	01 10 38.56	+47 38 22.1	23.383	21.944	-408.95	  4.38	 3.000	 0.034	Obs	Simbad
      17	And VI    	 	 16	23 51 47.81	+24 31 18.1	23.292	22.286	-320.05	 11.83	 1.101	 0.004	Obs	Simbad
      18	And VI    	 	 18	23 51 49.59	+24 31 27.2	23.376	22.231	-345.96	  8.11	 1.506	 0.001	Obs	Simbad
      19	And VI    	 	 27	23 51 49.30	+24 32 26.8	23.161	22.113	-343.06	  5.88	 1.462	 0.066	Obs	Simbad
      20	And VI    	 	 28	23 51 45.80	+24 32 31.2	22.763	21.714	-326.89	  5.04	 2.286	 0.375	Obs	Simbad
      21	And VI    	 	 30	23 51 49.63	+24 32 42.2	22.977	22.117	-354.98	  8.92	 1.353	 0.117	Obs	Simbad
      22	And VI    	 	 33	23 51 47.00	+24 32 56.0	23.564	22.622	-363.18	  1.85	 4.708	 0.540	Obs	Simbad
