#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:32 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:32	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table8&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table8:
#Name: J/ApJ/933/47/table8
#Title: Unconfirmed/possible candidate satellites
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[9/289] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-65/57] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	D-Host	(F5.2)	[3.5/11.9] Host distance	[ucd=pos.distance]
#Column	Tel	(a8)	SBF Source for attempt	[ucd=meta.ref]
recno	Name	RAJ2000	DEJ2000	Host	D-Host	Tel
 	 	deg	deg	 	Mpc	
--------	--------------	-------	-------	-------	-----	--------
       1	dw0036m2828   	009.127	-28.470	NGC253 	 3.56	
       2	dw0141p1651   	025.417	+16.872	NGC628 	 9.77	GEMINI
       3	dw0223p4314   	035.892	+43.240	NGC891 	 9.12	
       4	dw0224p4158   	036.097	+41.975	NGC891 	 9.12	
       5	dw0225p4153   	036.319	+41.892	NGC891 	 9.12	CFHT
       6	dw0226p4206   	036.669	+42.111	NGC891 	 9.12	
       7	dw0238p3805   	039.670	+38.085	NGC1023	10.40	
       8	dw0241p3829   	040.476	+38.498	NGC1023	10.40	CFHT
       9	dw0243p3915   	040.979	+39.256	NGC1023	10.40	CFHT
      10	dw0312m3955   	048.038	-39.918	NGC1291	 9.08	MAGELLAN
      11	dw0315m4112   	048.942	-41.202	NGC1291	 9.08	MAGELLAN
      12	dw0316m4207   	049.182	-42.128	NGC1291	 9.08	MAGELLAN
      13	dw0321m4149   	050.485	-41.818	NGC1291	 9.08	MAGELLAN
      14	dw0502m3845   	075.639	-38.765	NGC1808	 9.29	GEMINI
      15	dw0506m3800   	076.535	-38.010	NGC1808	 9.29	GEMINI
      16	dw0507m3733   	076.872	-37.554	NGC1808	 9.29	
      17	dw0510m3717   	077.710	-37.286	NGC1808	 9.29	GEMINI
      18	dw0846p3300   	131.559	+32.997	NGC2683	 9.40	
      19	dw0846p3348   	131.630	+33.811	NGC2683	 9.40	
      20	dw0852p3249   	133.199	+32.829	NGC2683	 9.40	
      21	dw0854p3314   	133.585	+33.249	NGC2683	 9.40	
      22	dw1006m0630   	151.563	-06.506	NGC3115	10.20	
      23	dw1006m0827   	151.649	-08.465	NGC3115	10.20	GEMINI
      24	dw1038p2501   	159.543	+25.028	NGC3344	 9.82	
      25	dw1044p2559   	161.120	+25.993	NGC3344	 9.82	
      26	dw1044p2610   	161.121	+26.178	NGC3344	 9.82	
      27	dw1045p2606   	161.276	+26.105	NGC3344	 9.82	
      28	dw1040p1216   	160.121	+12.273	NGC3379	10.70	
      29	dw1043p1253   	160.902	+12.899	NGC3379	10.70	
      30	dw1043p1207   	160.979	+12.133	NGC3379	10.70	
      31	dw1044p1132   	161.031	+11.534	NGC3379	10.70	
