#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:23 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:23	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/768/172/dsph&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17680172
#Name: J/ApJ/768/172
#Title: Kinematic analysis of red giant in M31 dSphs (Collins+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	creator=Collins M.L.M.	    First author or institution
#INFO	cites=bibcode:2013ApJ...768..172C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/768/172	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17680172	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_768_172_dsph:
#Name: J/ApJ/768/172/dsph
#Title: Structural properties and kinematic  properties of M31 dSphs
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a10)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	n_Gal	(A1)	[c] And XXX = Cas II	[ucd=meta.note]
#Column	No	(I1)	Number of observations of this dSph (table2)	[ucd=meta.number]
#Column	Ns	(I3)	Number of probable red giant members in this galaxy	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	VMag	(F5.1)	[-10.6/-6.3] Absolute V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	rh	(I4)	[114/1481] Half-light radius	[ucd=phys.size.radius]
#Column	E_rh	(I3)	[9/112] Positive uncertainty on rh	[ucd=stat.error;stat.max]
#Column	e_rh	(I3)	[12/271] Negative uncertainty on rh	[ucd=stat.error]
#Column	Dist	(I4)	[650/1255] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	E_Dist	(I3)	[21/218] Positive uncertainty on Dist	[ucd=stat.error;stat.max]
#Column	e_Dist	(I3)	[21/474] Negative uncertainty on Dist	[ucd=stat.error]
#Column	eta	(F4.1)	[1.5/5] Free parameter {eta} (1)	[ucd=stat.fit.param]
#Column	RV	(F6.1)	[-558/-107] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	E_RV	(F4.1)	[0.9/6] Positive error on RV	[ucd=stat.error;stat.max]
#Column	e_RV	(F4.1)	[0.9/7] Negative error on RV	[ucd=stat.error]
#Column	sigV	(F4.1)	[0/15] Velocity dispersion {sigma}_V_	[ucd=phys.veloc.dispersion]
#Column	E_sigV	(F4.1)	Positive error on sigV	[ucd=stat.error;stat.max]
#Column	f_sigV	(A1)	[*] non-reliable sigV (2)	[ucd=meta.code]
#Column	e_sigV	(F4.1)	[1/8.1] Negative error on sigV	[ucd=stat.error]
#Column	Mh	(F5.2)	[0/8.3] Mass contained within the half-light radius	[ucd=phys.mass]
#Column	E_Mh	(F5.2)	[0.08/5] Positive error on Mh	[ucd=stat.error;stat.max]
#Column	e_Mh	(F5.2)	[0.06/5] Negative error on Mh	[ucd=stat.error]
#Column	[M/L]	(F6.1)	[0/1391] Dynamical central mass-to-light ratio	[ucd=pos.parallax.dyn]
#Column	E_[M/L]	(F6.1)	[4.2/1039] Positive error on [M/L]	[ucd=stat.error;stat.max]
#Column	e_[M/L]	(F6.1)	[3.9/1128] Negative error on [M/L]	[ucd=stat.error]
#Column	[Fe/H]	(F4.1)	[-2.2/-1.4] Spectroscopic [Fe/H]	[ucd=phys.abund.Fe]
#Column	e_[Fe/H]	(F5.2)	[0.1/0.6] [Fe/H] uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Gal	n_Gal	No	Ns	RAJ2000	DEJ2000	VMag	rh	E_rh	e_rh	Dist	E_Dist	e_Dist	eta	RV	E_RV	e_RV	sigV	E_sigV	f_sigV	e_sigV	Mh	E_Mh	e_Mh	[M/L]	E_[M/L]	e_[M/L]	[Fe/H]	e_[Fe/H]	Simbad
 	 	 	 	 	"h:m:s"	"d:m:s"	mag	pc	pc	pc	kpc	kpc	kpc	 	km/s	km/s	km/s	km/s	km/s	 	km/s	10+7Msun	10+7Msun	10+7Msun	Msun/Lsun	Msun/Lsun	Msun/Lsun	[Sun]	[Sun]	
--------	----------	-	-	---	----------	-----------	-----	----	---	---	----	---	---	----	------	----	----	----	----	-	----	-----	-----	-----	------	------	------	----	-----	------
       1	And V     	 	0	 16	01 10 17.1	+47 37 41.0	-10.2	 302	 44	 44	 742	 21	 22	 2.0	-391.5	 2.7	 2.7	12.2	 2.5	 	 1.9	 2.60	 0.66	 0.56	  88.4	  22.3	  18.9	-2.0	 0.10	Simbad
       2	And VI    	 	0	 38	23 51 39.0	+24 35 42.0	-10.6	 524	 49	 49	 783	 28	 28	 2.5	-339.8	 1.8	 1.8	12.4	 1.5	 	 1.3	 4.70	 0.70	 0.70	  27.5	   4.2	   3.9	-1.5	 0.10	Simbad
       3	And XI    	 	0	  5	00 46 20.0	+33 48 05.0	 -6.9	 158	  9	 23	 763	 29	106	 2.5	-427.5	 3.5	 3.4	 7.6	 4.0	*	 2.8	 0.53	 0.28	 0.21	 216.0	 115.0	  87.0	-1.8	 0.10	Simbad
       4	And XII   	 	0	  7	00 47 27.0	+34 22 29.0	 -6.4	 324	 56	 72	 928	 40	136	 2.5	-557.1	 1.7	 1.7	 0.0	 4.0	 	 4.0	 0.00	 0.30	 0.30	   0.0	 194.0	 194.0	-2.2	 0.20	Simbad
       5	And XIII  	 	0	  5	00 51 51.0	+33 00 16.0	 -6.7	 172	 34	 39	 760	126	154	 2.5	-204.8	 4.9	 4.9	 0.0	 8.1	*	 8.1	 0.00	 0.70	 0.70	   0.0	 330.0	 330.0	-1.7	 0.30	Simbad
       6	And XVII  	 	0	  7	00 37 07.0	+44 19 20.0	 -8.5	 262	 53	 46	 727	 39	 25	 2.5	-251.6	 1.8	 2.0	 2.9	 2.2	 	 1.9	 0.13	 0.22	 0.13	  12.0	  22.0	  12.0	-1.7	 0.20	Simbad
       7	And XVIII 	 	0	  4	00 02 14.5	+45 05 20.0	 -9.7	 325	 24	 24	1214	 40	 43	 2.5	-346.8	 2.0	 2.0	 0.0	 2.7	 	 2.7	 0.00	 0.14	 0.14	   0.0	   5.0	   5.0	-1.4	 0.30	Simbad
       8	And XIX   	 	0	 27	00 19 32.1	+35 02 37.1	 -9.6	1481	 62	268	 821	 32	148	 2.0	-111.6	 1.6	 1.4	 4.7	 1.6	 	 1.4	 1.90	 0.65	 0.66	  84.3	  37.0	  38.0	-1.8	 0.30	Simbad
       9	And XX    	 	0	  4	00 07 30.7	+35 07 56.4	 -6.3	 114	 31	 12	 741	 42	 52	 2.5	-456.2	 3.1	 3.6	 7.1	 3.9	*	 2.5	 0.33	 0.20	 0.12	 238.1	 147.6	  90.2	-2.2	 0.40	Simbad
      10	And XXI   	 	0	 32	23 54 47.7	+42 28 15.0	 -9.8	 842	 77	 77	 827	 23	 25	 5.0	-362.5	 0.9	 0.9	 4.5	 1.2	 	 1.0	 0.99	 0.28	 0.24	  25.4	   9.4	   8.7	-1.8	 0.10	Simbad
      11	And XXII  	 	0	 12	01 27 40.0	+28 05 25.0	 -6.5	 252	 28	 47	 920	 32	139	 2.0	-129.8	 2.0	 2.0	 2.8	 1.9	 	 1.4	 0.11	 0.08	 0.06	  76.4	  58.4	  48.1	-1.8	 0.60	Simbad
      12	And XXIII 	 	0	 47	01 29 21.8	+38 43 08.0	-10.2	1001	 53	 52	 748	 31	 21	 4.0	-237.7	 1.2	 1.2	 7.1	 1.0	 	 1.0	 2.90	 4.40	 4.40	  58.5	  36.2	  36.2	-2.2	 0.30	Simbad
      13	And XXIV  	 	0	  3	01 18 30.0	+46 21 58.0	 -7.6	 548	 31	 37	 898	 28	 42	 1.5	-128.2	 5.2	 5.2	 0.0	 7.3	*	 7.3	 0.40	 0.70	 0.40	  82.0	 157.0	  82.0	-1.8	 0.30	Simbad
      14	And XXV   	 	0	 25	00 30 08.9	+46 51 07.0	 -9.7	 642	 47	 74	 736	 23	 69	 2.5	-107.8	 1.0	 1.0	 3.0	 1.2	 	 1.1	 0.34	 0.14	 0.12	  10.3	   7.0	   6.7	-1.9	 0.10	Simbad
      15	And XXVI  	 	0	  6	00 23 45.6	+47 54 58.0	 -7.1	 219	 67	 52	 754	218	164	 3.0	-261.6	 3.0	 2.8	 8.6	 2.8	*	 2.2	 0.96	 0.43	 0.34	 325.0	 243.0	 225.0	-1.8	 0.52	Simbad
      16	And XXVII 	 	0	 11	00 37 27.2	+45 23 13.0	 -7.9	 657	112	271	1255	 42	474	 1.5	-539.6	 4.7	 4.5	14.8	 4.3	 	 3.1	 8.30	 2.80	 3.90	1391.0	1039.0	1128.0	-2.1	 0.50	Simbad
