#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:29:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:29:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/823/157/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18230157
#Name: J/ApJ/823/157
#Title: LOS velocities & [Fe/H] of Pal 5 tidal stream (Ishigaki+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/823/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/823/157	    IVOID of underlying data collection
#INFO	creator=Ishigaki M.N.	    First author or institution
#INFO	cites=bibcode:2016ApJ...823..157I	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/823/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18230157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-01-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_823_157_table4:
#Name: J/ApJ/823/157/table4
#Title: Identified Pal 5 member stars in the FOCAS fields
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Field	(A3)	Subaru/FOCAS field name (CE1 or CE2)	[ucd=meta.id.part;meta.main]
#Column	Name	(A3)	Star name within the field (s1 to s24)	[ucd=meta.id.part;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vlos	(F5.1)	[-66/-51] Line-of-sight velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Teff	(I4)	[4902/5927] Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F4.1)	[1.8/5] Spectroscopic log of surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	[-1.9/-1] Spectroscopic abundance [Fe/H]	[ucd=phys.abund.Fe]
#Column	[a/Fe]	(F5.2)	[-0.3/0.7] Spectroscopic abundance [{alpha}/Fe]	[ucd=phys.abund]
#Column	logg2	(F4.1)	[2.5/4] Photometric log of surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]2	(F5.2)	[-1.8/-1] Photometric abundance [Fe/H]	[ucd=phys.abund.Fe]
#Column	[a/Fe]2	(F5.2)	[0.08/1.5] Photometric abundance [{alpha}/H]	[ucd=phys.abund]
#Column	S/N	(I2)	[10/41] Signal to noise ratio	[ucd=stat.snr]
#Column	DR9	(A3)	Display the SDSS-DR9 data (Adelman-McCarthy+, 2012, V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
recno	Field	Name	RAJ2000	DEJ2000	Vlos	Teff	logg	[Fe/H]	[a/Fe]	logg2	[Fe/H]2	[a/Fe]2	S/N	DR9	Sloan
 	 	 	deg	deg	km/s	K	[cm/s2]	[Sun]	[Sun]	[cm/s2]	[Sun]	[Sun]	 	 	
--------	---	---	---------	---------	-----	----	----	-----	-----	----	-----	-----	--	---	-----
       1	CE1	s1 	228.99337	-00.14527	-59.7	5400	 4.6	-1.36	 0.23	 3.6	-1.25	 0.50	23	DR9	Sloan
       2	CE1	s5 	228.98538	-00.14497	-57.6	5700	 5.0	-1.00	-0.29	 3.8	-1.02	 0.08	12	DR9	Sloan
       3	CE1	s6 	229.00683	-00.16416	-60.3	5270	 4.6	-1.17	-0.06	 3.6	-1.08	 0.18	21	DR9	Sloan
       4	CE1	s7 	229.00375	-00.17778	-56.4	5218	 4.9	-1.85	 0.25	 3.7	-1.47	 0.72	11	DR9	Sloan
       5	CE1	s8 	228.95590	-00.11171	-55.5	5464	 5.0	-1.28	 0.12	 3.8	-1.13	 0.50	29	DR9	Sloan
       6	CE1	s11	228.97464	-00.14002	-55.0	5041	 3.1	-1.08	 0.37	 2.8	-1.12	 0.40	40	DR9	Sloan
       7	CE1	s13	228.96814	-00.11985	-54.6	4987	 2.9	-1.52	 0.64	 3.1	-1.52	 0.62	24	DR9	Sloan
       8	CE1	s15	228.98008	-00.17857	-51.2	5076	 3.7	-1.22	 0.50	 3.1	-1.20	 0.58	20	DR9	Sloan
       9	CE1	s21	229.00542	-00.16097	-62.2	5502	 4.3	-1.46	 0.26	 2.5	-1.71	 0.91	14	DR9	Sloan
      10	CE2	s8 	229.00142	-00.11537	-59.3	5927	 5.0	-1.33	 0.20	 3.9	-1.61	 1.19	13	DR9	Sloan
      11	CE2	s10	229.04567	-00.07553	-59.6	5910	 5.0	-1.25	 0.13	 3.9	-1.60	 1.49	22	DR9	Sloan
      12	CE2	s11	229.01102	-00.11853	-58.9	5389	 4.5	-1.55	 0.03	 3.7	-1.51	 0.25	19	DR9	Sloan
      13	CE2	s14	229.03761	-00.10854	-60.6	5159	 1.8	-1.67	 0.34	 3.0	-1.46	 0.17	41	DR9	Sloan
      14	CE2	s16	228.99309	-00.10317	-56.5	4985	 3.3	-1.07	 0.30	 3.0	-1.10	 0.34	30	DR9	Sloan
      15	CE2	s17	229.06385	-00.10081	-60.8	5097	 4.0	-1.22	 0.36	 2.5	-1.29	 0.65	10	DR9	Sloan
      16	CE2	s18	229.01076	-00.09384	-58.2	4902	 2.4	-1.86	 0.32	 2.9	-1.79	 0.27	13	DR9	Sloan
      17	CE2	s22	229.02013	-00.12284	-65.3	5098	 5.0	-1.18	 0.01	 3.3	-1.09	 0.47	12	DR9	Sloan
      18	CE2	s23	228.97912	-00.08659	-58.0	5280	 5.0	-1.14	 0.18	 2.6	-1.12	 0.68	22	DR9	Sloan
      19	CE2	s24	229.03326	-00.12798	-54.6	5544	 3.9	-1.39	 0.52	 2.5	-1.75	 1.47	11	DR9	Sloan

