#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:25 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/237/pgc&-out.all&-out.max=unlimited&PGC=1952,18880,66669,67782,8279,2081,5139,6110,8974,9747,9988,10060,10330,11527,11638,12342,12626,13108,13166,16044,23028,24111,25237,25955,26034,26100,27074,27635,27723,28805,30176,32605,34232,34325,34561,35294,36138,36304,37483,38031,38802,40284,40490,41083,44017,44025,45643,48767,48815,49112,49342,49604,49618,49820,50031,50670,51055,51275,51340,51471,51620,51953,52116,52273,52266,52735,53043,53499,53630,54111,54119,54234,55588,56337,57345,58470,59426,64725,66318,66566,66934,67146,67532,67663,67817,68312,69349,69677,70025,70419,70795,71883,72001,72009,72060,73163,279,13646,68743,4948,26246	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7237
#Name: VII/237
#Title: HYPERLEDA. I. Catalog of galaxies (Paturel+, 2003)
#INFO	ivoid=ivo://cds.vizier/vii/237	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/237	    IVOID of underlying data collection
#INFO	creator=Paturel G.	    First author or institution
#INFO	cites=bibcode:2003A&A...412...45P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/237	    Dataset landing page
#INFO	publication_date=2017-09-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_237_pgc:
#Name: VII/237/pgc
#Title: Catalog of galaxies (table 5 in the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	PGC	(I7)	PGC number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	OType	(A2)	[GM ] Object type (1)	[ucd=src.class]
#Column	MType	(a5)	Provisional morphological type from LEDA according to the RC2 code.	[ucd=src.morph.type]
#Column	logD25	(F5.2)	? Apparent diameter (2)	[ucd=phys.angSize;src]
#Column	e_logD25	(F5.2)	? Actual error of logD25	[ucd=stat.error]
#Column	logR25	(F5.2)	? Axis ratio in log scale (log of major axis to minor axis)	[ucd=phys.size;arith.ratio]
#Column	e_logR25	(F5.2)	? Actual error on logR25	[ucd=stat.error]
#Column	PA	(F4)	? Adopted 1950-position angle (3)	[ucd=pos.posAng]
#Column	e_PA	(F4)	? rms uncertainty on PA	[ucd=stat.error]
#Column	o_ANames	(I2)	Number of alternate names.	[ucd=meta.number]
#Column	ANames	(a255)	Alternate names (4)	[ucd=meta.id]
#Column	LEDA	(A4)	Data from the current data-base	[ucd=meta.ref]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	PGC	RAJ2000	DEJ2000	OType	MType	logD25	e_logD25	logR25	e_logR25	PA	e_PA	o_ANames	ANames	LEDA	Simbad	NED
 	 	"h:m:s"	"d:m:s"	 	 	[0.1arcmin]	[0.1arcmin]	[---]	[---]	deg	deg	 	 	 	 	
--------	-------	----------	---------	--	-----	-----	-----	-----	-----	----	----	--	---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	----	------	---
    4770	    279	00 03 58.6	+20 45 06	G 	Sbc  	 1.52	 0.03	 0.61	 0.05	  47	   2	 6	NGC7817               UGC19                 MCG3-01-021           CGCG456-28            KIG4                  IRAS00014+2028                                                                                                                                   	LEDA	Simbad	NED
   35305	   1952	00 32 02.0	-64 15 09	G 	SBb  	 1.46	 0.05	 0.75	 0.11	 129	   4	 3	ESO79-3               ESO-LV790030          IRAS00297-6431                                                                                                                                                                                                     	LEDA	Simbad	NED
   38108	   2081	00 34 46.3	-08 23 47	G 	SBbc 	 1.61	 0.06	 0.24	 0.06	  26	  39	 3	NGC157                MCG-2-02-056          IRAS00322-0840                                                                                                                                                                                                     	LEDA	Simbad	NED
   88379	   4948	01 21 47.8	+17 35 33	G 	Sbc  	 1.22	 0.04	 0.65	 0.03	  52	   1	 4	UGC903                MCG3-04-026           CGCG459-41            IRAS01191+1719                                                                                                                                                                               	LEDA	Simbad	NED
   90589	   5139	01 24 04.0	+12 55 02	G 	SBc  	 1.55	 0.03	 0.12	 0.07	 108	   3	 5	NGC514                UGC947                MCG2-04-035           CGCG436-38            IRAS01214+1239                                                                                                                                                         	LEDA	Simbad	NED
  104520	   6110	01 39 06.4	-07 30 46	G 	E    	 1.43	 0.03	 0.08	 0.03	 168	  29	 2	NGC636                MCG-1-05-013                                                                                                                                                                                                                             	LEDA	Simbad	NED
  132685	   8279	02 10 06.0	-32 56 27	G 	Sb   	 1.30	 0.05	 0.41	 0.06	   6	   4	 6	IC1783                ESO354-46             MCG-6-05-037          ESO-LV3540460         IRAS02079-3310        DUKST354-1                                                                                                                                       	LEDA	Simbad	NED
  142735	   8974	02 21 36.2	-05 31 13	G 	Sc   	 1.51	 0.05	 0.17	 0.03	 101	  25	 4	NGC895                NGC894                MCG-1-07-002          IRAS02191-0544                                                                                                                                                                               	LEDA	Simbad	NED
  153702	   9747	02 33 34.1	-39 02 43	G 	SBab 	 1.62	 0.08	 0.14	 0.11	  18	  34	 6	NGC986                ESO299-7              MCG-7-06-015          ESO-LV2990070         IRAS02315-3915        DUKST299-1                                                                                                                                       	LEDA	Simbad	NED
  157788	   9988	02 38 11.5	-01 19 08	G 	SBa  	 1.34	 0.07	 0.06	 0.04	   8	   2	 4	NGC1015               UGC2124               MCG0-07-066           CGCG388-75                                                                                                                                                                                   	LEDA	Simbad	NED
  158812	  10060	02 39 23.7	+01 05 37	G 	SO-a 	 1.56	 0.04	 0.58	 0.08	  67	   1	 4	NGC1032               UGC2147               MCG0-07-073           CGCG388-86                                                                                                                                                                                   	LEDA	Simbad	NED
  162657	  10330	02 43 44.5	-29 00 14	G 	SO-a 	 1.60	 0.13	 0.19	 0.07	  99	   9	 6	NGC1079               ESO416-13             MCG-5-07-017          ESO-LV4160130         IRAS02415-2913        DUKST416-1                                                                                                                                       	LEDA	Simbad	NED
  181625	  11527	03 03 38.5	-15 36 49	GM	E    	 1.44	 0.06	 0.09	 0.04	  44	   4	 3	NGC1199               MCG-3-08-067          HCG22A                                                                                                                                                                                                             	LEDA	Simbad	NED
  183822	  11638	03 06 03.1	-15 36 42	G 	E    	 1.45	 0.12	 0.38	 0.06	  83	   2	 2	NGC1209               MCG-3-08-073                                                                                                                                                                                                                             	LEDA	Simbad	NED
