#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/433/2812&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74332812
#Name: J/MNRAS/433/2812
#Title: ATLAS3D project. XXIII. (Krajnovic+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/mnras/433/2812	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/433/2812	    IVOID of underlying data collection
#INFO	creator=Krajnovic D.	    First author or institution
#INFO	cites=bibcode:2013MNRAS.433.2812K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/433/2812	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74332812	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_433_2812_tablec1:
#Name: J/MNRAS/433/2812/tablec1
#Title: *Fitting parameters for ATLAS3D galaxies.
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(A9)	Galaxy name	[ucd=meta.id;meta.main]
#Column	f_Galaxy	(A1)	[+d] Flag (1)	[ucd=meta.code]
#Column	Src	(A2)	Source (2)	[ucd=meta.ref;pos.frame]
#Column	Class	(A1)	[clp] Class code (3)	[ucd=meta.code.class]
#Column	Filter	(A5)	Filter of images analysed in this work (F475W, F555W, F606W, F702W, or F814W)	[ucd=meta.id;instr.filter]
#Column	theta	(F6.2)	Nuker fit parameter {Theta} (5)	[ucd=stat.fit.param]
#Column	mu	(F5.2)	Nuker fit parameter {mu} (5)	[ucd=stat.fit.param]
#Column	alpha	(F5.2)	Nuker fit parameter {alpha} (5)	[ucd=stat.fit.param]
#Column	beta	(F5.2)	Nuker fit parameter {beta} (5)	[ucd=stat.fit.param;meta.modelled]
#Column	gamma	(F5.2)	Nuker fit parameter {gamma} (5)	[ucd=stat.fit.param]
#Column	gamma'	(F5.2)	Nuker fit parameter {gamma}' (5)	[ucd=stat.fit.param]
#Column	rms	(F5.2)	? root-mean-square of Nuker-law fits done in this work (5)	[ucd=stat.error]
#Column	l_rg	(A1)	Limit flag on Rgamma	[ucd=meta.code.error]
#Column	rg	(F5.2)	Cusp radius (r_{gamma}_) (5)	[ucd=phys.angSize;src]
#Column	l_Rg	(A1)	Limit flag on Rg	[ucd=meta.code.error]
#Column	Rg	(F6.2)	Cusp radius (r_{gamma}_) in pc	[ucd=phys.size.radius]
#Column	R/F	(A1)	[F/S] Classification into fast (F) or slow (S) rotators, from Paper III	[ucd=meta.code]
#Column	Gr	(A1)	kinematic group from Paper II (4)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	f_Galaxy	Src	Class	Filter	theta	mu	alpha	beta	gamma	gamma'	rms	l_rg	rg	l_Rg	Rg	R/F	Gr	Simbad	_RA	_DE
 	 	 	 	 	 	arcsec	 	 	 	 	 	 	 	arcsec	 	pc	 	 	 	deg	deg
--------	---------	-	--	-	-----	------	-----	-----	-----	-----	-----	-----	-	-----	-	------	-	-	------	---------	---------
       1	NGC 0474 	 	c 	l	F606W	  1.83	14.46	 1.20	 1.97	 0.36	 0.40	 0.02	 	 0.26	 	 38.64	F	e	Simbad	020.02790	+03.41527
       2	NGC 0524 	 	d 	c	F555W	  0.37	17.00	 5.00	 1.47	 0.24	 0.24	 0.02	 	 0.28	 	 32.12	F	e	Simbad	021.19878	+09.53879
       3	NGC 0821 	 	b1	p	     	  0.48	15.69	 0.40	 1.71	 0.10	 0.51	     	 	 0.03	 	  3.42	F	e	Simbad	032.08812	+10.99487
       4	NGC 0936 	 	d 	p	F555W	 33.64	24.00	 0.70	 5.88	 0.43	 0.52	 0.04	 	 0.07	 	  7.39	F	e	Simbad	036.90609	-01.15628
       5	NGC 1023 	 	b1	p	     	  1.23	15.71	 7.20	 1.15	 0.74	 0.74	     	 	 0.04	 	  2.15	F	e	Simbad	040.10005	+39.06325
       6	NGC 2549 	 	b2	p	     	  3.70	17.57	 1.80	 1.71	 0.67	 0.67	     	<	 0.10	<	  5.96	F	e	Simbad	124.74311	+57.80311
       7	NGC 2592 	 	d 	l	F702W	 35.43	24.00	 0.36	 6.62	-0.38	 0.38	 0.03	 	 0.16	 	 19.64	F	e	Simbad	126.78367	+25.97034
       8	NGC 2685 	 	d 	l	F555W	 27.97	24.00	 0.96	 7.29	 0.44	 0.47	 0.04	 	 0.20	 	 16.43	F	e	Simbad	133.89479	+58.73441
       9	NGC 2699 	 	d 	p	F702W	  0.63	15.65	 5.00	 1.21	 0.61	 0.61	 0.06	<	 0.10	<	 12.70	F	e	Simbad	133.95342	-03.12751
      10	NGC 2768 	 	c 	l	F555W	  0.37	15.82	 5.00	 1.79	 0.37	 0.37	 0.02	 	 0.23	 	 24.71	F	e	Simbad	137.90627	+60.03721
      11	NGC 2778 	 	b1	p	     	  0.35	16.06	 0.40	 1.75	 0.33	 0.83	     	 	 0.04	 	  4.32	F	e	Simbad	138.10164	+35.02742
      12	NGC 2859 	 	c 	p	F814W	  0.11	14.00	 0.20	 4.14	-2.54	 0.76	 0.02	 	 0.04	 	  5.85	F	e	Simbad	141.07729	+34.51338
      13	NGC 2880 	 	d 	p	F555W	  9.91	21.49	 1.44	 4.42	 0.75	 0.75	 0.02	<	 0.10	<	 10.30	F	e	Simbad	142.39424	+62.49062
      14	NGC 2950 	 	b2	p	     	  2.43	16.77	 2.40	 1.81	 0.82	 0.82	     	<	 0.10	<	  7.02	F	e	Simbad	145.64632	+58.85122
      15	NGC 2962 	 	d 	p	F814W	  1.85	17.62	 2.36	 1.88	 0.80	 0.80	 0.03	<	 0.10	<	 16.40	F	e	Simbad	145.22461	+05.16582
      16	NGC 2974 	 	b1	p	     	  0.31	15.17	25.10	 1.05	 0.62	 0.62	     	 	 0.02	 	  2.03	F	e	Simbad	145.63861	-03.69912
      17	NGC 3156 	 	c 	p	F475W	  1.07	18.10	 4.29	 0.86	 1.78	 1.78	 0.08	<	 0.10	<	 10.50	F	e	Simbad	153.17169	+03.12932
      18	NGC 3193 	 	b2	c	     	  0.81	16.07	 0.60	 1.89	 0.01	 0.28	     	 	 0.14	 	 22.87	F	e	Simbad	154.60368	+21.89398
      19	NGC 3226 	 	d 	p	F814W	  0.15	14.00	 0.32	 2.95	-1.02	 0.83	 0.04	 	 0.03	 	  3.75	F	e	Simbad	155.86255	+19.89844
      20	NGC 3245 	 	d 	p	F702W	 35.18	24.00	 0.92	 7.09	 0.71	 0.74	 0.04	<	 0.10	<	  9.84	F	e	Simbad	156.82652	+28.50744
      21	NGC 3377 	 	c 	p	F475W	  0.17	14.00	 0.92	 1.37	 0.25	 0.68	 0.03	 	 0.04	 	  2.32	F	e	Simbad	161.92667	+13.98564
