#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/342/671&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33420671
#Name: J/A+A/342/671
#Title: Early-type spiral galaxies kinematics (Corsini+ 1999)
#INFO	ivoid=ivo://cds.vizier/j/a+a/342/671	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/342/671	    IVOID of underlying data collection
#INFO	creator=Funes J.G.S.J.	    First author or institution
#INFO	cites=bibcode:1999A&A...342..671F	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=1999	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/342/671	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33420671	    Dataset identifier that can be used for citation
#INFO	publication_date=1999-02-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_342_671_halpha:
#Name: J/A+A/342/671/halpha
#Title: H{alpha} kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a8)	Galaxy name (1)	[ucd=meta.id;meta.main]
#Column	r	(F6.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity measured along the major axis	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion measured along the major axis	[ucd=phys.veloc.dispersion]
#Column	n	(I2)	Number of rebinned rows	[ucd=meta.number]
#Column	S/N	(F5.1)	? Signal-to-noise ratio	[ucd=stat.snr]
recno	Galaxy	r	HRV	e_HRV	sigma	n	S/N
 	 	arcsec	km/s	km/s	km/s	 	
--------	--------	------	----	--	---	--	-----
       1	NGC 2179	 -53.9	2703	19	 45	 3	  3.6
       2	NGC 2179	 -46.6	2684	21	 17	 3	  3.3
       3	NGC 2179	 -34.4	2698	12	 54	 1	  5.8
       4	NGC 2179	 -32.0	2704	 9	 20	 1	  8.6
       5	NGC 2179	 -29.6	2690	12	  5	 1	  6.2
       6	NGC 2179	 -27.1	2690	12	 26	 1	  6.0
       7	NGC 2179	 -24.7	2699	 9	  0	 1	  7.8
       8	NGC 2179	 -22.3	2698	 8	 38	 1	  9.0
       9	NGC 2179	 -19.8	2702	 4	 20	 1	 22.7
      10	NGC 2179	 -17.4	2697	 3	 26	 1	 32.1
      11	NGC 2179	 -15.0	2692	 4	 23	 1	 18.8
      12	NGC 2179	 -12.6	2698	 7	 28	 1	 11.5
      13	NGC 2179	 -10.1	2690	 6	 59	 1	 13.2
      14	NGC 2179	  -7.7	2698	 2	 18	 1	 34.7
      15	NGC 2179	  -5.3	2697	 2	  7	 1	121.7
      16	NGC 2179	  -2.8	2719	 2	 52	 1	118.9
      17	NGC 2179	  -0.4	2816	 2	129	 1	106.7
      18	NGC 2179	   2.0	3000	 2	 75	 1	114.8
      19	NGC 2179	   4.5	3053	 2	 29	 1	141.7
      20	NGC 2179	   6.9	3062	 2	 16	 1	108.5
      21	NGC 2179	   9.3	3059	 3	 19	 1	 30.9
      22	NGC 2179	  11.7	3063	 6	 18	 1	 12.3
      23	NGC 2179	  14.2	3073	 6	 21	 1	 13.9
      24	NGC 2179	  16.6	3078	 4	 12	 1	 20.0
      25	NGC 2179	  19.0	3073	 6	 33	 1	 13.8
      26	NGC 2179	  21.5	3050	 7	  0	 1	 10.6
      27	NGC 2179	  23.9	3046	10	 23	 1	  7.1
      28	NGC 2179	  26.3	3065	 5	 22	 1	 17.0
      29	NGC 2179	  28.8	3070	 2	 18	 1	 37.2
      30	NGC 2179	  31.2	3073	 3	 19	 1	 26.0
      31	NGC 2179	  33.6	3046	18	 16	 1	  3.8
      32	NGC 2179	  36.1	3065	25	 52	 1	  2.7
      33	NGC 2179	  40.9	3080	22	 12	 3	  3.1
      34	NGC 2179	  45.8	3078	16	 26	 1	  4.3
      35	NGC 2179	  48.2	3052	22	 31	 1	  3.1
