job	system_or_catalogue	out_of_plane_tracer	n_out_of_plane	in_plane_rotation_available	in_plane_source	host_orientation	measurement_or_model	pairing_quality	files
1-streams	Milky Way	stellar stream tracks with measured 3-D geometry (empirical sky track + measured distance track)	69 tracks / 60 streams	YES	Eilers+2019 v_c(R), 38 points, 5.27-24.82 kpc	definitional (Galactic coords)	MEASUREMENT	COMPLETE - the flagship pairing; 14 tracks extend beyond the 25 kpc rotation-curve edge	galstreams_track_summary.tsv; stream_eilers2019_MW_rotation_curve.tsv
1-streams	Milky Way (full 6-D subset)	stream tracks with measured distance AND proper-motion AND radial-velocity tracks	33 tracks / 30 streams	YES	Eilers+2019 v_c(R)	definitional	MEASUREMENT	COMPLETE - strongest subset; 8 of these are within 10 deg of polar	galstreams_track_summary.tsv (usable_6d=1)
1-streams	Orphan-Chenab	measured sky track + RR Lyrae distances + PM + SDSS radial-velocity track	109 RRL; 8+10 track bins; 8 velocity bins; |z|max 84.3 kpc	YES	Eilers+2019 v_c(R)	definitional	MEASUREMENT	COMPLETE - greatest out-of-plane reach in the lane	stream_koposov2019_orphan_rrl.vizier.tsv; stream_koposov2019_orphan_velocity_track.tsv
1-streams	GD-1	empirical sky track + measured distance/PM/RV tracks (ibata2021)	10209 track points; |z|max 9.46 kpc; inc 60.1 deg	YES	Eilers+2019 v_c(R)	definitional	MEASUREMENT	COMPLETE	galstreams_track_summary.tsv
1-streams	Palomar 5	empirical track + measured D/PM/RV (ibata2021) + spectroscopic member velocities	2174 track points; 19+130 stars with v_los; |z|max 16.07 kpc	YES	Eilers+2019 v_c(R)	definitional	MEASUREMENT	COMPLETE	stream_ishigaki2016_pal5_focas_members.vizier.tsv; stream_ishigaki2016_pal5_deimos_stars.vizier.tsv
1-streams	Sagittarius	astrometry + distance + v_LOS catalogue; galstreams track inc 76.5 deg, |z|max 43 kpc	55192 stars (Vasiliev+2021); 294344 (Antoja+2020 PM only)	YES	Eilers+2019 v_c(R)	definitional	MEASUREMENT	COMPLETE (galstreams Sgr track lacks a measured RV track; the Vasiliev catalogue supplies v_LOS per star)	stream_vasiliev2021_sagittarius.vizier.tsv
1-streams	MW streams, per-star	Gaia EDR3 astrometry + compiled HRV, per-star, with stream label	5960 stars; 685 with HRV; 683 credible	YES	Eilers+2019 v_c(R)	definitional	MEASUREMENT except dSF which is MODEL (STREAMFINDER assumes a potential)	COMPLETE, with the dSF caveat	stream_ibata2021_streamfinder_members.vizier.tsv
2-satellites	M31	dwarf satellites with positions, distances and line-of-sight velocities	43 dwarfs (37 v_los, 8 PM); Martin+2016 23; Collins+2013 18	YES	UNGC W50=510 km/s, vAmp=249 km/s	i=78 deg (UNGC), PA=35 deg (LEDA)	MEASUREMENT	COMPLETE - best external-galaxy satellite pairing	sat_martin2016_dsph.tsv; sat_collins2013_dsph.tsv
2-satellites	Milky Way	dwarf satellites with full 6-D phase space	68 dwarfs	YES	Eilers+2019 v_c(R)	definitional	MEASUREMENT	COMPLETE - only system with proper motions for every tracer	sat_mcconnachie_updated_Jan2021.fits; sat_lvdb_v1.1.1_pm_overview.csv
2-satellites	ELVES hosts	satellites with projected radii and partial recession velocities	444 satellites (338 confirmed + 106 candidates) over 31 hosts	YES for 27 of 31	UNGC W50 + vAmp	b/a + PA (LEDA) for 24 of 31; i (UNGC)	MEASUREMENT	GOOD - 24 hosts have orientation AND rotation	sat_elves_table1_hosts.tsv; sat_elves_table9_satellites.tsv
