#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/408/873&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34080873
#Name: J/A+A/408/873
#Title: Gas and stellar kinematics in spirals (Corsini+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	creator=Corsini E.M.	    First author or institution
#INFO	cites=bibcode:2003A&A...408..873C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/408/873	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34080873	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_408_873_table3:
#Name: J/A+A/408/873/table3
#Title: Ionized-gas kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	r	(F5.1)	Distance from galaxy center	[ucd=pos.angDistance]
#Column	vg(r)	(I4)	Line-of-sight gas mean velocity	[ucd=phys.veloc;stat.mean]
#Column	e_vg(r)	(I2)	Error of v_g(r)_	[ucd=stat.error]
#Column	sigmag	(I3)	Line-of-sight gas velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmag	(I3)	Error of sigma_g(r)_	[ucd=stat.error]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	Name	PA	r	vg(r)	e_vg(r)	sigmag	e_sigmag	Simbad	NED
 	 	deg	arcsec	km/s	km/s	km/s	km/s	 	
--------	-------	---	-----	----	--	---	---	------	---
       1	NGC1638	 70	-12.4	-107	22	 70	 46	Simbad	NED
       2	NGC1638	 70	 -7.5	 -47	26	103	 46	Simbad	NED
       3	NGC1638	 70	 -5.8	 -50	18	 61	 38	Simbad	NED
       4	NGC1638	 70	 -5.0	 -44	23	 45	 55	Simbad	NED
       5	NGC1638	 70	 -4.2	 -78	14	 34	 26	Simbad	NED
       6	NGC1638	 70	 -3.4	 -92	27	109	 48	Simbad	NED
       7	NGC1638	 70	 -2.6	-126	18	 88	 33	Simbad	NED
       8	NGC1638	 70	 -1.7	 -61	27	150	 45	Simbad	NED
       9	NGC1638	 70	 -0.9	 -94	10	128	 16	Simbad	NED
      10	NGC1638	 70	 -0.1	   0	 8	115	 13	Simbad	NED
      11	NGC1638	 70	  0.7	  -2	10	181	 16	Simbad	NED
      12	NGC1638	 70	  1.5	   7	10	172	 15	Simbad	NED
      13	NGC1638	 70	  2.4	  22	10	 57	 20	Simbad	NED
      14	NGC1638	 70	  4.0	  63	25	 95	 44	Simbad	NED
      15	NGC1638	 70	  8.9	  82	17	 63	 40	Simbad	NED
      16	NGC1638	 70	 17.4	  68	49	 71	 99	Simbad	NED
      17	NGC1638	160	 -4.5	 -85	19	136	 33	Simbad	NED
      18	NGC1638	160	 -0.4	 -28	 7	146	 11	Simbad	NED
      19	NGC1638	160	  0.4	 -22	 6	 36	 14	Simbad	NED
      20	NGC1638	160	  1.2	 -28	 6	 93	  9	Simbad	NED
      21	NGC1638	160	  2.1	 -48	 6	 33	 14	Simbad	NED
      22	NGC1638	160	  2.9	 -59	 6	 25	 16	Simbad	NED
      23	NGC1638	160	  3.7	  -1	15	123	 26	Simbad	NED
      24	NGC3885	123	-48.5	-147	34	 61	 62	Simbad	NED
      25	NGC3885	123	-40.3	-136	30	 28	 91	Simbad	NED
      26	NGC3885	123	-36.2	-119	21	 44	 51	Simbad	NED
      27	NGC3885	123	-32.1	-135	20	 72	 37	Simbad	NED
      28	NGC3885	123	-28.0	-151	14	 86	 24	Simbad	NED
      29	NGC3885	123	-25.1	-122	21	108	 35	Simbad	NED
      30	NGC3885	123	-24.3	-127	10	 75	 18	Simbad	NED
      31	NGC3885	123	-23.5	-153	11	 66	 22	Simbad	NED
      32	NGC3885	123	-22.6	-142	 8	 54	 17	Simbad	NED
      33	NGC3885	123	-21.8	-166	 6	 61	 12	Simbad	NED
      34	NGC3885	123	-21.0	-168	 5	 52	 12	Simbad	NED
      35	NGC3885	123	-20.1	-168	 4	 47	 10	Simbad	NED
      36	NGC3885	123	-19.4	-175	 3	 46	  9	Simbad	NED
      37	NGC3885	123	-18.5	-178	 3	 37	 10	Simbad	NED
      38	NGC3885	123	-17.7	-177	 3	 44	 10	Simbad	NED
      39	NGC3885	123	-16.9	-171	 3	 47	  9	Simbad	NED
      40	NGC3885	123	-16.1	-158	 4	 54	  9	Simbad	NED
      41	NGC3885	123	-15.2	-146	 5	 56	 11	Simbad	NED
      42	NGC3885	123	-14.4	-136	 4	 56	 11	Simbad	NED
      43	NGC3885	123	-13.6	-138	 4	 54	 11	Simbad	NED
      44	NGC3885	123	-12.8	-141	 4	 61	  9	Simbad	NED
      45	NGC3885	123	-12.0	-146	 4	 66	  8	Simbad	NED
      46	NGC3885	123	-11.2	-148	 3	 60	  7	Simbad	NED
      47	NGC3885	123	-10.3	-149	 3	 63	  7	Simbad	NED
      48	NGC3885	123	 -9.5	-148	 3	 67	  6	Simbad	NED
      49	NGC3885	123	 -8.7	-151	 2	 62	  5	Simbad	NED
      50	NGC3885	123	 -7.9	-157	 2	 58	  4	Simbad	NED
      51	NGC3885	123	 -7.1	-162	 2	 53	  4	Simbad	NED
      52	NGC3885	123	 -6.2	-167	 2	 50	  4	Simbad	NED
      53	NGC3885	123	 -5.4	-170	 2	 47	  4	Simbad	NED
      54	NGC3885	123	 -4.6	-170	 2	 48	  4	Simbad	NED
      55	NGC3885	123	 -3.8	-166	 2	 55	  4	Simbad	NED
      56	NGC3885	123	 -2.9	-152	 2	 71	  3	Simbad	NED
      57	NGC3885	123	 -2.1	-115	 2	 92	  3	Simbad	NED
      58	NGC3885	123	 -1.3	 -66	 2	 97	  3	Simbad	NED
      59	NGC3885	123	 -0.4	 -21	 2	 98	  3	Simbad	NED
      60	NGC3885	123	  0.3	  24	 2	102	  3	Simbad	NED
      61	NGC3885	123	  1.1	  69	 2	 99	  3	Simbad	NED
      62	NGC3885	123	  1.7	 114	 2	 88	  3	Simbad	NED
      63	NGC3885	123	  2.8	 146	 2	 75	  4	Simbad	NED
      64	NGC3885	123	  3.6	 162	 2	 62	  4	Simbad	NED
      65	NGC3885	123	  4.4	 171	 2	 56	  4	Simbad	NED
      66	NGC3885	123	  5.2	 172	 2	 55	  4	Simbad	NED
      67	NGC3885	123	  6.1	 170	 2	 57	  4	Simbad	NED
      68	NGC3885	123	  6.9	 165	 2	 54	  4	Simbad	NED
      69	NGC3885	123	  7.7	 158	 2	 61	  4	Simbad	NED
      70	NGC3885	123	  8.5	 150	 2	 62	  4	Simbad	NED
      71	NGC3885	123	  9.3	 141	 2	 62	  5	Simbad	NED
      72	NGC3885	123	 10.2	 133	 3	 61	  6	Simbad	NED
      73	NGC3885	123	 11.0	 132	 3	 73	  7	Simbad	NED
      74	NGC3885	123	 11.8	 137	 4	 71	  9	Simbad	NED
      75	NGC3885	123	 12.6	 144	 4	 71	  9	Simbad	NED
      76	NGC3885	123	 13.5	 158	 3	 63	  8	Simbad	NED
