#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table7&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table7:
#Name: J/ApJ/933/47/table7
#Title: Rejected background contaminants distance results
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[7.8/289] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-65/57] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	D-Host	(F5.2)	[3.5/12] Host distance	[ucd=pos.distance]
#Column	D-SBF	(F5.2)	[3.7/25]? SBF lower 2{sigma} bound on distance	[ucd=pos.distance]
#Column	Tel	(a8)	SBF Source	[ucd=meta.ref]
#Column	Conf	(A5)	Confirmation criteria exception; see Section 5.3 (only 1 occurrence =True) (G1)	[ucd=meta.code]
#Column	vrec	(I4)	[307/5600]? Recessional velocity	[ucd=phys.veloc]
#Column	r_vrec	(A4)	Source for vrec (G2)	[ucd=meta.ref;phys.veloc]
#Column	l_D-trgb	(A1)	Limit flag on D-trgb	[ucd=meta.code.error;pos.distance]
#Column	D-trgb	(F5.2)	[3.8/9.7]? Distance, tip of the red giant branch	[ucd=pos.distance]
#Column	r_D-trgb	(A1)	Source for D-trgb (G2)	[ucd=meta.ref;pos.distance]
recno	Name	RAJ2000	DEJ2000	Host	D-Host	D-SBF	Tel	Conf	vrec	r_vrec	l_D-trgb	D-trgb	r_D-trgb
 	 	deg	deg	 	Mpc	Mpc	 	 	km/s	 	 	Mpc	
--------	--------------	-------	-------	-------	-----	-----	--------	-----	----	----	-	-----	-
       1	dw0031m2246   	007.843	-22.766	NGC253 	 3.56	     	        	     	 530	S   	 	     	
       2	IC1574        	010.766	-22.247	NGC253 	 3.56	     	        	     	 360	S   	 	 4.92	a
       3	dw0137p1439   	024.355	+14.661	NGC628 	 9.77	10.97	GEMINI  	False	    	    	 	     	
       4	dw0139p1505   	024.943	+15.086	NGC628 	 9.77	10.32	GEMINI  	False	    	    	 	     	
       5	dw0140p1459   	025.221	+14.999	NGC628 	 9.77	22.45	GEMINI  	False	    	    	 	     	
       6	dw0222p4206   	035.728	+42.104	NGC891 	 9.12	 9.40	CFHT    	False	    	    	 	     	
       7	dw0236p3925   	039.129	+39.422	NGC1023	10.40	14.05	CFHT    	False	    	    	 	     	
       8	dw0237p3903   	039.289	+39.061	NGC1023	10.40	13.14	CFHT    	False	    	    	 	     	
       9	dw0240p3844   	040.031	+38.749	NGC1023	10.40	16.66	CFHT    	False	    	    	 	     	
      10	dw0240p3829   	040.123	+38.493	NGC1023	10.40	21.61	CFHT    	False	    	    	 	     	
      11	dw0241p3934   	040.435	+39.582	NGC1023	10.40	13.46	CFHT    	False	    	    	 	     	
      12	dw0316m4244   	049.032	-42.738	NGC1291	 9.08	     	        	     	    	    	 	     	
      13	dw0319m4003   	049.858	-40.063	NGC1291	 9.08	 9.67	MAGELLAN	False	    	    	 	     	
      14	dw0323m4105   	050.977	-41.093	NGC1291	 9.08	     	        	     	    	    	 	     	
      15	dw0501m3811   	075.468	-38.196	NGC1808	 9.29	20.67	GEMINI  	False	    	    	 	     	
      16	dw0502m3837   	075.611	-38.625	NGC1808	 9.29	24.67	GEMINI  	False	    	    	 	     	
      17	dw0505m3620   	076.422	-36.335	NGC1808	 9.29	13.13	MAGELLAN	False	    	    	 	     	
      18	dw0515m3703   	078.846	-37.059	NGC1808	 9.29	15.81	MAGELLAN	False	    	    	 	     	
      19	dw0850p3307   	132.651	+33.130	NGC2683	 9.40	10.64	HSC     	False	    	    	 	     	
      20	dw0850p3310   	132.662	+33.168	NGC2683	 9.40	15.04	HSC     	False	    	    	 	     	
      21	dw0925p2207   	141.258	+22.122	NGC2903	 9.00	17.16	GEMINI  	False	    	    	 	     	
      22	dw0926p2146   	141.625	+21.772	NGC2903	 9.00	 9.96	GEMINI  	False	    	    	 	     	
      23	dw0928p2218   	142.059	+22.303	NGC2903	 9.00	14.47	GEMINI  	False	    	    	 	     	
      24	dw0928p2247   	142.072	+22.790	NGC2903	 9.00	16.56	GEMINI  	False	    	    	 	     	
      25	dw0930p2230   	142.705	+22.505	NGC2903	 9.00	14.17	GEMINI  	False	    	    	 	     	
      26	dw0935p2101   	143.821	+21.024	NGC2903	 9.00	13.89	GEMINI  	False	    	    	 	     	
      27	dw0935p2153   	143.845	+21.891	NGC2903	 9.00	14.52	GEMINI  	False	    	    	 	     	
