#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/907/85/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19070085
#Name: J/ApJ/907/85
#Title: The SAGA Survey. II. Satellite systems around galaxies (Mao+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/907/85	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/907/85	    IVOID of underlying data collection
#INFO	creator=Mao Y.-Y.	    First author or institution
#INFO	cites=bibcode:2021ApJ...907...85M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/907/85	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19070085	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_907_85_table2:
#Name: J/ApJ/907/85/table2
#Title: *List of host galaxies in 36 complete SAGA systems
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a11)	Host galaxy, common name	[ucd=meta.id;meta.main]
#Column	SAGA	(a13)	SAGA name	[ucd=meta.id]
#Column	RAJ2000	(F7.3)	[20/355] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-60/53] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	RVel	(I4)	[1659/2865] Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F4.1)	[25.3/39.8] Distance	[ucd=pos.distance]
#Column	KMAG	(F6.2)	[-24.6/-23] Absolute, dereddened K-band magnitude	[ucd=phot.mag]
#Column	Pcov	(A3)	Photometric coverage (1)	[ucd=phot]
#Column	Scov	(F5.1)	[80/100] Spectroscopic coverage, within the SAGA primary targeting region	[ucd=meta.code]
#Column	Nsat	(I1)	[0/9] Number of confirmed satellites (2)	[ucd=meta.number]
#Column	Fsat	(I1)	[0/1] Number of satellites below mag. limit (2)	[ucd=meta.number]
#Column	Psat	(F5.2)	[0.06/2.54] Unconfirmed potential satellites (2)	[ucd=meta.number]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Gal	SAGA	RAJ2000	DEJ2000	RVel	Dist	KMAG	Pcov	Scov	Nsat	Fsat	Psat	Simbad
 	 	 	deg	deg	km/s	Mpc	mag	 	%	 	 	 	
--------	-----------	-------------	-------	-------	----	----	------	---	-----	-	-	-----	------
       1	UGC 00903  	HarryPotter  	020.449	+17.592	2516	38.4	-23.54	S-L	 92.4	4	0	 0.46	Simbad
       2	NGC 1015   	Narnia       	039.548	-01.319	2625	37.0	-23.50	SDL	 95.9	2	0	 0.60	Simbad
       3	NGC 1309   	Hiccup       	050.527	-15.400	2136	34.3	-23.57	-DL	 89.7	3	0	 0.97	Simbad
       4	PGC 013646 	Genji        	055.734	-12.916	2163	31.9	-23.14	-DL	 82.9	3	0	 1.15	Simbad
       5	ESO 121-026	Mulan        	095.412	-59.740	2266	35.0	-23.71	-D-	 85.6	2	0	 0.12	Simbad
       6	NGC 2543   	StarTrek     	123.241	+36.255	2470	37.6	-23.46	S-L	 92.2	2	0	 1.00	Simbad
       7	UGC 04906  	Okonkwo      	139.416	+52.993	2273	36.1	-23.36	S-L	 81.1	6	0	 2.54	Simbad
       8	NGC 2962   	Aeneid       	145.225	+05.166	1958	34.8	-24.05	S-L	 91.9	4	0	 1.33	Simbad
       9	NGC 2967   	Skywalker    	145.514	+00.336	1892	29.9	-23.51	S-L	 88.8	1	1	 0.69	Simbad
      10	NGC 3689   	Chihiro      	172.046	+25.661	2737	39.8	-23.80	S-L	 93.8	2	0	 0.98	Simbad
      11	NGC 3976   	Gaukur       	178.989	+06.750	2496	35.9	-24.00	S-L	 82.2	2	0	 2.21	Simbad
      12	NGC 4158   	ScoobyDoo    	182.792	+20.176	2450	36.2	-23.04	S-L	 90.5	5	0	 0.85	Simbad
      13	NGC 4348   	Macondo      	185.975	-03.443	2005	29.7	-23.46	S-L	 98.3	0	1	 0.65	Simbad
      14	NGC 4454   	Metamorphoses	187.211	-01.939	2329	35.3	-23.69	S-L	 95.5	4	0	 0.55	Simbad
      15	NGC 5297   	Rand         	206.599	+43.872	2405	35.5	-23.85	S-L	 83.3	7	0	 0.50	Simbad
      16	NGC 5347   	Trisolaris   	208.324	+33.491	2371	34.6	-23.04	S-L	 92.2	2	0	 2.02	Simbad
      17	NGC 5448   	Essun        	210.708	+49.173	2013	33.5	-23.82	S-L	 82.8	5	0	 1.28	Simbad
      18	NGC 5602   	Pippi        	215.578	+50.501	2221	34.0	-23.05	S-L	 86.9	5	0	 1.13	Simbad
      19	NGC 5604   	Beloved      	216.178	-03.212	2749	39.0	-23.25	S-L	 93.8	3	0	 0.89	Simbad
      20	NGC 5633   	DonQuixote   	216.868	+46.147	2325	34.6	-23.09	S-L	 80.2	0	0	 0.51	Simbad
      21	NGC 5690   	SunWukong    	219.421	+02.291	1756	26.3	-23.14	S-L	 97.4	3	0	 1.15	Simbad
      22	NGC 5750   	Dune         	221.546	-00.223	1659	25.3	-23.57	S-L	 95.7	1	0	 0.80	Simbad
      23	NGC 5792   	Othello      	224.594	-01.091	1924	28.3	-24.55	S-L	 94.7	3	0	 0.64	Simbad
