#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/922/267/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19220267
#Name: J/ApJ/922/267
#Title: Dwarf galaxies photometry & structures (Carlsten+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/922/267	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/922/267	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2021ApJ...922..267C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/922/267	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19220267	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-12-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_922_267_table4:
#Name: J/ApJ/922/267/table4
#Title: The Local Volume (LV) field dwarf photometry
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a15)	Dwarf name	[ucd=meta.id;meta.main]
#Column	Host	(A5)	Host type ("FIELD" or "LG")	[ucd=obs.field]
#Column	RAJ2000	(F8.4)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[-61.4/80.2] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	gmag	(F5.2)	[10.5/19.3]? Apparent g-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_gmag	(F5.2)	[0.08/0.12]? Uncertainty in gmag	[ucd=stat.error;phot.mag]
#Column	rimag	(F5.2)	[10.2/19.1]? Apparent r- or i- band magnitude (G1)	[ucd=phot.mag;em.opt]
#Column	e_rimag	(F5.2)	[0.09/0.12]? Uncertainty in rimag	[ucd=stat.error;phot.mag]
#Column	gMag	(F6.2)	[-16.3/-10.3]? Absolute g-band magnitude	[ucd=phys.magAbs;em.opt.B]
#Column	e_gMag	(F5.2)	[0.08/0.12]? Uncertainty in gMag	[ucd=stat.error;phot.mag]
#Column	VMag	(F6.2)	[-16.5/-10.4] Absolute V-band magnitude (G2)	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F5.2)	[0.09/0.2] Uncertainty in VMag	[ucd=stat.error;phot.mag]
#Column	logMs	(F5.2)	[5.5/8.5] Log of stellar mass	[ucd=phys.mass]
#Column	e_logMs	(F5.2)	[0.06/0.2] Uncertainty in logMs	[ucd=stat.error]
#Column	mu0V	(F5.2)	[19.1/26.18] V-band central surface brightness	[ucd=phot.mag.sb;em.opt.V]
#Column	e_mu0V	(F5.2)	[0.1/0.3]? Uncertainty in mu0V	[ucd=stat.error]
#Column	Re	(F6.1)	[157/4299] Effective radius of galaxy model	[ucd=phys.size.radius;meta.modelled]
#Column	e_Re	(F5.1)	[12/208]? Uncertainty in Re	[ucd=stat.error]
#Column	ell	(F5.2)	[0.05/0.87] Measured ellipticity	[ucd=src.ellipticity]
#Column	e_ell	(F5.2)	[0.02/0.1] Uncertainty in ell	[ucd=stat.error]
#Column	ETG	(A5)	Early-type galaxy? (always "False")	[ucd=meta.code.class]
#Column	Filt	(A4)	Filters used ("gi", "gr" or "None")	[ucd=meta.code;instr.filter]
#Column	Tel	(A6)	Instrument+Telescope used ("DECALS", "CFHT" or "MCCONN")	[ucd=instr.setup]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	Name	Host	RAJ2000	DEJ2000	gmag	e_gmag	rimag	e_rimag	gMag	e_gMag	VMag	e_VMag	logMs	e_logMs	mu0V	e_mu0V	Re	e_Re	ell	e_ell	ETG	Filt	Tel	SimbadName	NED	LEDA
 	 	 	deg	deg	mag	mag	mag	mag	mag	mag	mag	mag	[Msun]	[Msun]	mag/arcsec2	mag/arcsec2	pc	pc	 	 	 	 	 	 	 	
--------	---------------	-----	--------	--------	-----	-----	-----	-----	------	-----	------	-----	-----	-----	-----	-----	------	-----	-----	-----	-----	----	------	-----------------------------	---	----
       1	Cetus          	LG   	006.5458	-11.0444	     	     	     	     	      	     	-11.29	 0.20	 6.13	 0.20	25.00	 0.20	 702.9	 22.0	 0.33	 0.10	False	None	MCCONN	NAME Cetus dSph              	NED	LEDA
       2	WLM            	LG   	000.4925	-15.4608	     	     	     	     	      	     	-14.25	 0.10	 7.50	 0.20	23.70	     	2340.1	 70.6	 0.55	 0.10	False	None	MCCONN	NAME WLM Galaxy              	NED	LEDA
       3	LeoA           	LG   	149.8604	+30.7464	     	     	     	     	      	     	-12.11	 0.20	 6.52	 0.20	22.80	     	 499.1	     	 0.40	 0.10	False	None	MCCONN	NAME Leo A                   	NED	LEDA
       4	Aquarius       	LG   	311.7158	-12.8481	     	     	     	     	      	     	-10.65	 0.10	 5.83	 0.20	23.60	 0.20	 458.2	 12.5	 0.50	 0.10	False	None	MCCONN	NAME Aquarius Dwarf          	NED	LEDA
       5	SagittariusdIrr	LG   	292.4958	-17.6808	     	     	     	     	      	     	-11.54	 0.20	 6.25	 0.20	23.90	 0.20	 282.3	 15.5	 0.50	 0.10	False	None	MCCONN	NAME Sgr dIG                 	NED	LEDA
       6	NGC3109        	LG   	150.7788	-26.1597	     	     	     	     	      	     	-14.87	 0.10	 7.77	 0.20	22.60	 0.10	1626.3	 37.8	 0.82	 0.10	False	None	MCCONN	NGC3109                      	NED	LEDA
       7	SextansB       	LG   	150.0004	+05.3322	     	     	     	     	      	     	-14.47	 0.20	 7.59	 0.20	21.90	 0.30	 439.6	 41.5	 0.31	 0.10	False	None	MCCONN	NAME Sextans B               	NED	LEDA
       8	Antlia         	LG   	151.0171	-27.3311	     	     	     	     	      	     	-10.45	 0.20	 5.73	 0.20	23.90	 0.20	 470.9	 47.1	 0.40	 0.10	False	None	MCCONN	NAME Antlia Dwarf Galaxy     	NED	LEDA
       9	SextansA       	LG   	152.7533	-04.6928	     	     	     	     	      	     	-14.28	 0.10	 7.51	 0.20	22.80	     	1029.0	     	 0.17	 0.10	False	None	MCCONN	NAME Sextans A               	NED	LEDA
      10	AGC102728      	FIELD	000.0887	+31.0221	19.26	 0.12	19.06	 0.12	-10.48	 0.12	-10.60	 0.12	 5.79	 0.10	23.24	 0.16	 157.1	 15.2	 0.25	 0.05	False	gr  	DECALS	AGC102728                    	NED	LEDA
      11	AGC748778      	FIELD	001.6430	+15.5110	18.05	 0.10	17.99	 0.10	-10.92	 0.10	-10.95	 0.10	 5.70	 0.08	23.16	 0.13	 390.8	 28.2	 0.48	 0.03	False	gr  	DECALS	AGC748778                    	NED	LEDA
      12	ESO349-031     	FIELD	002.0582	-34.5788	15.35	 0.09	15.09	 0.09	-12.18	 0.09	-12.34	 0.09	 6.56	 0.08	23.16	 0.11	 351.7	 18.1	 0.13	 0.02	False	gr  	DECALS	ESO349-031                   	NED	LEDA
      13	PiscesA        	FIELD	003.6919	+10.8131	17.18	 0.09	17.05	 0.10	-11.58	 0.09	-11.66	 0.10	 6.09	 0.08	23.03	 0.12	 265.7	 16.4	 0.35	 0.03	False	gr  	DECALS	[TGG2015] Pisces A           	NED	LEDA
      14	ESO410-005     	FIELD	003.8813	-32.1811	14.54	 0.09	14.10	 0.09	-11.89	 0.09	-12.15	 0.09	 6.76	 0.07	22.41	 0.11	 268.5	 13.3	 0.30	 0.02	False	gr  	DECALS	ESO410-005                   	NED	LEDA
      15	ESO294-010     	FIELD	006.6395	-41.8559	14.91	 0.09	14.41	 0.09	-11.63	 0.09	-11.92	 0.09	 6.77	 0.08	22.22	 0.11	 270.6	 13.6	 0.46	 0.02	False	gr  	DECALS	ESO294-010                   	NED	LEDA
      16	UGC00288       	FIELD	007.2658	+43.4310	15.23	 0.09	15.03	 0.09	-13.93	 0.09	-14.02	 0.09	 7.00	 0.06	22.13	 0.11	 755.8	 38.6	 0.49	 0.02	False	gi  	CFHT  	UGC00288                     	NED	LEDA
      17	UGC00685       	FIELD	016.8432	+16.6844	13.81	 0.09	13.49	 0.09	-14.60	 0.09	-14.79	 0.09	 7.64	 0.08	21.36	 0.11	 547.0	 26.5	 0.41	 0.02	False	gr  	DECALS	UGC00685                     	NED	LEDA
