#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table10&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table10:
#Name: J/ApJ/933/47/table10
#Title: GALEX photometry for confirmed satellites
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	RAJ2000	(F8.4)	[11.8/288] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[-64.3/71.5] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_NUVmag	(A1)	Limit flag on NUVmag (1)	[ucd=meta.code.error;phot.mag;em.UV.200-300nm]
#Column	NUVmag	(F5.2)	[12.4/24.2] GALEX FUV magnitude (1)	[ucd=phot.mag;em.UV.200-300nm]
#Column	e_NUVmag	(F5.2)	[0.05/0.8]? Uncertainty in NUVmag (1)	[ucd=stat.error;phot.mag;em.UV.200-300nm]
#Column	l_FUVmag	(A1)	Limit flag on FUVmag (1)	[ucd=meta.code.error;phot.mag;em.UV.100-200nm]
#Column	FUVmag	(F5.2)	[12.5/24.5] GALEX FUV magnitude (1)	[ucd=phot.mag;em.UV.100-200nm]
#Column	e_FUVmag	(F5.2)	[0.05/0.7]? Uncertainty in FUVmag (1)	[ucd=stat.error;phot.mag;em.UV.100-200nm]
#Column	GALEX	(a28)	GALEX imaging dataset in the MAST archive	[ucd=meta.dataset]
recno	Name	Host	RAJ2000	DEJ2000	l_NUVmag	NUVmag	e_NUVmag	l_FUVmag	FUVmag	e_FUVmag	GALEX
 	 	 	deg	deg	 	 	 	 	 	 	
--------	--------------	-------	--------	--------	-	-----	-----	-	-----	-----	----------------------------
       1	dw0047m2623   	NGC253 	011.8939	-26.3898	>	22.08	     	>	21.15	     	MIS2DFSGP_30532_0143
       2	dw0049m2100   	NGC253 	012.4537	-21.0167	 	16.74	 0.05	 	16.97	 0.05	GI1_009002_UGCA015
       3	dw0055m2309   	NGC253 	013.7538	-23.1688	 	18.93	 0.07	 	19.17	 0.11	AIS_276_1_59
       4	dw0133p1543   	NGC628 	023.4842	+15.7314	>	22.45	     	>	22.38	     	AIS_183_1_66
       5	dw0134p1544   	NGC628 	023.5537	+15.7463	 	20.65	 0.16	>	22.37	     	GI3_050001_NGC628
       6	dw0136p1628   	NGC628 	024.0842	+16.4701	 	21.00	 0.55	>	21.68	     	AIS_183_1_65
       7	dw0137p1537   	NGC628 	024.3236	+15.6329	 	21.50	 0.17	>	22.97	     	NGA_NGC0628
       8	dw0137p1607   	NGC628 	024.4156	+16.1320	>	22.58	     	>	22.84	     	NGA_NGC0628
       9	UGC1171       	NGC628 	024.9366	+15.8993	 	17.94	 0.05	 	18.39	 0.05	GI1_047008_UGC01176
      10	dw0139p1433   	NGC628 	024.9611	+14.5563	 	19.35	 0.05	 	19.47	 0.05	MISDR2_17173_0426
      11	dw0140p1556   	NGC628 	025.0395	+15.9394	 	20.44	 0.11	 	20.49	 0.11	GI1_047008_UGC01176
      12	UGC1176       	NGC628 	025.0430	+15.9054	 	15.78	 0.05	 	16.07	 0.05	GI1_047008_UGC01176
      13	dw0143p1541   	NGC628 	025.9012	+15.6937	 	17.73	 0.11	 	17.87	 0.13	AIS_183_1_83
      14	dw0221p4221   	NGC891 	035.3010	+42.3640	 	20.71	 0.08	 	22.34	 0.42	GI2_019004_3C66B
      15	UGC1807       	NGC891 	035.3058	+42.7629	 	15.93	 0.05	 	16.17	 0.05	GI2_019004_3C66B
      16	dw0222p4242   	NGC891 	035.7298	+42.7123	 	19.78	 0.09	>	22.04	     	GI2_019004_3C66B
      17	dw0239p3926   	NGC1023	039.8325	+39.4339	>	20.05	     	>	19.98	     	AIS_59_1_64
      18	dw0239p3903   	NGC1023	039.8432	+39.0554	>	21.43	     	>	21.03	     	AIS_59_1_64
      19	dw0239p3902   	NGC1023	039.9460	+39.0473	>	23.24	     	>	22.78	     	NGA_NGC1023
      20	UGC2157       	NGC1023	040.1044	+38.5630	 	17.13	 0.05	 	17.72	 0.09	AIS_59_1_74
      21	dw0240p3854   	NGC1023	040.1374	+38.9004	 	18.82	 0.05	 	19.18	 0.05	NGA_NGC1023
      22	dw0240p3903   	NGC1023	040.1544	+39.0593	 	16.55	 0.05	 	17.83	 0.05	NGA_NGC1023
      23	dw0240p3922   	NGC1023	040.1649	+39.3792	 	18.23	 0.05	 	19.05	 0.06	NGA_NGC1023
      24	dw0241p3904   	NGC1023	040.2512	+39.0727	 	18.73	 0.06	 	20.28	 0.20	NGA_NGC1023
      25	UGC2165       	NGC1023	040.3145	+38.7441	 	18.32	 0.05	 	20.69	 0.37	NGA_NGC1023
