#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/469/2539&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74692539
#Name: J/MNRAS/469/2539
#Title: New classification of CALIFA galaxies (Kalinova+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/469/2539	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/469/2539	    IVOID of underlying data collection
#INFO	creator=Kalinova V.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.469.2539K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/469/2539	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74692539	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_469_2539_tableb:
#Name: J/MNRAS/469/2539/tableb
#Title: Properties of the 238 (E1-Sdm) CALIFA galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	Type	(A3)	Hubble type based on by-eye morphological classification from Walcher et al. (2014, Cat. J/A+A/589/A1)	[ucd=meta.note;src.morph.type]
#Column	Dist	(I3)	Hubble flow (Galactocentric) distances (1)	[ucd=pos.distance]
#Column	PA	(I3)	Average photometric position angle (2)	[ucd=pos.posAng;stat.mean]
#Column	eps	(F5.2)	Average photometric ellipticity (2)	[ucd=src.ellipticity]
#Column	Incl	(I2)	Inclination (3)	[ucd=src.orbital.inclination]
#Column	Re	(I2)	Effective (half-light) radius measured via growth curve analysis (Walcher et al., 2014, Cat. J/A+A/589/A1)	[ucd=phys.angSize]
#Column	Rmax	(I2)	Radial extent of the stellar kinematic data (Falcon-Barroso et al., 2017, Cat. J/A+A/597/A48)	[ucd=phys.angSize]
#Column	Rmax/Re	(F4.1)	Radial extent of the stellar kinematic data in terms of effective radius	[ucd=spect.dopplerVeloc]
#Column	Vsys	(I4)	Systemic velocity of the galaxies (4)	[ucd=phys.veloc]
#Column	(M/L)dyn	(F6.3)	Median of the posterior distributions of the dynamical mass-to-light ratios, from JAM-MCMC model	[ucd=phys.composition.massLightRatio]
#Column	E_(M/L)dyn	(F6.3)	Error on (M/L)dyn, upper value (5)	[ucd=stat.error;stat.max]
#Column	e_(M/L)dyn	(F6.3)	Error on (M/L)dyn, lower value (6)	[ucd=stat.error]
#Column	betaz	(F6.3)	Median of the posterior distributions of the azimuthal velocity anisotropies, from JAM-MCMC model.	[ucd=stat.fit.param]
#Column	E_betaz	(F6.3)	Error on betaz, upper value (5)	[ucd=stat.error;stat.max]
#Column	e_betaz	(F6.3)	Error on betaz, lower value (6)	[ucd=stat.error]
#Column	CVC	(A1)	Circular velocity curve class (10)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	Simbad	_RA	_DE
 	 	 	Mpc	deg	 	deg	arcsec	arcsec	 	km/s	 	 	 	 	 	 	 	 	deg	deg
--------	-------------	---	---	---	-----	--	--	--	----	----	------	------	------	------	------	------	-	------	---------	---------
       1	IC 0480      	Sc 	 62	167	 0.80	84	24	38	 1.6	4597	11.661	 0.069	 0.073	 0.362	 0.009	 0.012	0	Simbad	118.84679	+26.74112
       2	IC 0540      	Sab	 26	172	 0.78	81	14	27	 1.9	2095	 8.582	 0.054	 0.047	 0.390	 0.009	 0.011	0	Simbad	142.54275	+07.90253
       3	IC 0674      	Sab	103	119	 0.60	69	 9	36	 4.0	7459	 6.439	 0.024	 0.022	-0.451	 0.021	 0.020	2	Simbad	167.77651	+43.63301
       4	IC 0944      	Sab	 96	105	 0.66	75	19	37	 1.9	6974	 8.054	 0.025	 0.021	 0.440	 0.004	 0.005	2	Simbad	207.87874	+14.09213
       5	IC 1079      	E4 	119	 83	 0.50	71	37	26	 0.7	8631	 6.306	 0.025	 0.023	 0.320	 0.004	 0.005	1	Simbad	224.15054	+09.36975
       6	IC 1151      	Scd	 31	 29	 0.57	68	22	37	 1.7	2158	 5.420	 0.034	 0.032	 0.211	 0.018	 0.029	0	Simbad	239.63470	+17.44155
       7	IC 1256      	Sb 	 67	 99	 0.37	51	17	25	 1.5	4691	 5.852	 0.040	 0.038	 0.598	 0.006	 0.010	0	Simbad	260.94717	+26.48651
       8	IC 1528      	Sbc	 53	 74	 0.57	68	23	41	 1.8	3741	 3.582	 0.021	 0.014	 0.402	 0.010	 0.015	0	Simbad	001.27235	-07.09342
       9	IC 1652      	S0a	 73	171	 0.78	78	11	26	 2.4	5040	 2.959	 0.013	 0.012	 0.456	 0.009	 0.017	1	Simbad	018.73436	+31.94850
      10	IC 1755      	Sb 	110	155	 0.75	78	11	31	 2.8	7889	 7.108	 0.021	 0.021	 0.281	 0.010	 0.018	2	Simbad	029.29088	+14.54979
      11	IC 2101      	Scd	 61	145	 0.76	80	25	44	 1.8	4445	 5.773	 0.044	 0.039	 0.601	 0.005	 0.008	0	Simbad	072.92603	-06.23147
      12	IC 2247      	Sab	 58	145	 0.77	81	21	41	 2.0	4230	 7.787	 0.035	 0.035	 0.480	 0.011	 0.016	1	Simbad	123.99610	+23.19953
      13	IC 2487      	Sc 	 58	164	 0.74	76	25	40	 1.6	4284	 7.423	 0.026	 0.041	 0.610	 0.007	 0.011	0	Simbad	142.53828	+20.09091
      14	IC 4566      	Sb 	 81	151	 0.38	53	15	27	 1.8	5523	 5.556	 0.030	 0.016	-0.681	 0.035	 0.030	2	Simbad	234.17566	+43.53931
      15	IC 5309      	Sc 	 60	 27	 0.54	64	17	24	 1.4	4153	 4.163	 0.046	 0.037	 0.420	 0.013	 0.019	0	Simbad	349.79849	+08.10933
      16	IC 5376      	Sb 	 72	  3	 0.73	80	16	36	 2.2	4975	 7.894	 0.041	 0.035	 0.516	 0.006	 0.008	2	Simbad	000.33237	+34.52574
      17	MCG-01-54-016	Scd	 42	 31	 0.74	80	24	38	 1.6	2915	10.861	 0.172	 0.186	 0.818	 0.011	 0.015	0	Simbad	321.49917	-03.80986
      18	MCG-02-02-030	Sb 	 49	170	 0.57	69	19	38	 2.0	3482	 3.686	 0.015	 0.013	 0.478	 0.006	 0.010	0	Simbad	007.53045	-11.11366
      19	MCG-02-02-040	Scd	 50	 51	 0.63	81	20	34	 1.7	3458	 7.080	 0.064	 0.050	 0.569	 0.005	 0.007	0	Simbad	007.89880	-10.50634
      20	MCG-02-03-015	Sab	 80	 22	 0.73	76	12	37	 3.1	5773	 4.886	 0.021	 0.029	 0.450	 0.008	 0.015	1	Simbad	011.94341	-09.83509
      21	MCG-02-51-004	Sb 	 79	160	 0.63	69	17	34	 2.0	5587	 6.556	 0.018	 0.020	 0.259	 0.010	 0.013	0	Simbad	303.91623	-13.62190
      22	NGC 0001     	Sbc	 65	105	 0.31	47	12	30	 2.5	4498	 3.129	 0.020	 0.014	 0.163	 0.012	 0.012	0	Simbad	001.81606	+27.70806
