#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/927/44/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19270044
#Name: J/ApJ/927/44
#Title: ELVES II: early-type satellites phot. & GC data (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/927/44	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/927/44	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...927...44C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/927/44	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19270044	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_927_44_table4:
#Name: J/ApJ/927/44/table4
#Title: Dwarf photometry and globular cluster (GC) results
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Satellite name	[ucd=meta.id;meta.main]
#Column	Host	(A8)	Host galaxy name	[ucd=meta.id.parent]
#Column	Dist	(F5.2)	[0/11.9] Host distance	[ucd=pos.distance;pos.heliocentric]
#Column	logM	(F5.2)	[5.58/8.47] Log of dwarf's stellar mass	[ucd=phys.mass]
#Column	Ngc	(F4.1)	[-6.5/16.2]? GC abundance from the simple background-subtraction analysis	[ucd=phys.abund]
#Column	e_Ngc	(F4.1)	[0/14.1]? Lower uncertainty on Ngc	[ucd=stat.error;stat.min;phys.abund]
#Column	E_Ngc	(F4.1)	[0/6.6]? Upper uncertainty on Ngc	[ucd=stat.error;stat.max;phys.abund]
#Column	Filt	(A2)	Filter combination (g/r or g/i)	[ucd=meta.id;instr.filter]
#Column	Source	(A6)	Source of data (CFHT/MegaCam, DECaLS...)	[ucd=meta.id;instr]
#Column	papI	(I3)	Display data from Paper I (Carlsten+ 2022, J/ApJ/933/47)	[ucd=meta.ref.url]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Carlsten+ 2022, J/ApJ/933/47 (Paper I) or from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Carlsten+ 2022, J/ApJ/933/47 (Paper I) or from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Host	Dist	logM	Ngc	e_Ngc	E_Ngc	Filt	Source	papI	SimbadName	_RA	_DE
 	 	 	Mpc	[Msun]	 	 	 	 	 	 	 	deg	deg
--------	--------------	--------	-----	-----	----	----	----	--	------	---	------------------------	---------	---------
       1	UGC8882       	NGC 5457	 6.50	 7.75	 3.1	 1.6	 0.0	gi	CFHT  	  1	UGC8882                 	209.31120	+54.10080
       2	M101-DF1      	NGC 5457	 6.50	 6.26	 1.6	 0.0	 0.0	gi	CFHT  	  0	[MVA2014] DF 1          	210.93750	+53.94444
       3	M101-DF3      	NGC 5457	 6.50	 5.77	 3.1	 3.1	 1.5	gi	CFHT  	  0	[MVA2014] DF 3          	210.77375	+53.61556
       4	M101-dwA      	NGC 5457	 6.50	 6.05	 0.0	 1.6	 0.0	gi	CFHT  	  0	[KRZ2015] M 101 dwA     	211.70792	+53.74167
       5	dw1350p5441   	NGC 5457	 6.50	 6.74	 1.6	 1.6	 1.6	gr	DECaLS	  1	[CGG2021] dw1350p5441   	207.74310	+54.68920
       6	dw1255p4035   	NGC 4736	 4.20	 6.19	-1.6	 1.6	 1.6	gr	DECaLS	  1	[CGG2021] dw1255p4035   	193.76150	+40.59020
       7	dw1251p4137   	NGC 4736	 4.20	 5.95	 0.0	 1.6	 0.0	gr	DECaLS	  0	[CGG2021] dw1251p4137   	192.76833	+41.63611
       8	dw1234p2531   	NGC 4565	11.90	 7.65	10.0	 3.3	 3.3	gr	CFHT  	  1	[CGG2021] dw1234p2531   	188.60070	+25.52210
       9	dw1239p3251   	NGC 4631	 7.40	 5.77	 0.0	 1.6	 0.0	gr	CFHT  	  1	[CGG2021] dw1239p3251   	189.83170	+32.86080
      10	dw1240p3216   	NGC 4631	 7.40	 6.25	 1.6	 0.0	 0.0	gr	CFHT  	  1	[CGG2021] dw1240p3216   	190.22090	+32.28220
      11	dw1240p3247   	NGC 4631	 7.40	 7.53	    	    	    	gr	CFHT  	  1	[CGG2021] dw1240p3247   	190.24370	+32.79040
      12	dw1242p3158   	NGC 4631	 7.40	 6.15	 0.0	 0.0	 0.0	gr	CFHT  	  1	[CGG2021] dw1242p3158   	190.63080	+31.96920
      13	dw1243p3228   	NGC 4631	 7.40	 7.06	 1.6	 0.1	 1.6	gr	CFHT  	  1	[CGG2021] dw1243p3228   	190.85340	+32.48210
      14	dw1248p3158   	NGC 4631	 7.40	 6.88	 0.0	 2.0	 0.0	gr	DECaLS	  1	[CGG2021] dw1248p3158   	192.21870	+31.97020
      15	NGC 4258-DF6  	NGC 4258	 7.20	 6.36	-1.6	 1.6	 1.6	gr	CFHT  	  0	[CVD2018] NGC 4258-DF6  	184.77705	+47.73024
      16	KDG101        	NGC 4258	 7.20	 7.73	 6.3	 1.6	 3.1	gr	CFHT  	  0	K68 101                 	184.78783	+47.08979
      17	dw1220p4649   	NGC 4258	 7.20	 6.23	 1.6	 1.6	 0.0	gr	CFHT  	  1	[CGG2021] dw1220p4649   	185.22860	+46.83020
      18	dw1223p4739   	NGC 4258	 7.20	 6.46	 0.0	 1.6	 0.0	gr	CFHT  	  1	[CGG2021] dw1223p4739   	185.94240	+47.65890
      19	dw0932p2127   	NGC 2903	 9.00	 7.87	 3.3	 1.7	 1.7	gr	CFHT  	  0	[CGG2021] dw0932p2127   	143.20340	+21.46562
