#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:00 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/554/A11&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35540011
#Name: J/A+A/554/A11
#Title: CO observations of polar ring galaxies (Combes+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/554/a11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/554/a11	    IVOID of underlying data collection
#INFO	creator=Combes F.	    First author or institution
#INFO	cites=bibcode:2013A&A...554A..11C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/554/A11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35540011	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_554_A11_table1:
#Name: J/A+A/554/A11/table1
#Title: Basic data for the polar ring galaxy sample, and sizes of the regions observed in CO(1-0) and CO(2-1)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	SPRC	(I3)	[7/260] SPRC number (Cat. J/MNRAS/418/244)	[ucd=meta.id;meta.main]
#Column	n_SPRC	(A1)	[C] C for kinematically confirmed (1)	[ucd=meta.note]
#Column	sp2	(A3)	plot of spectra for CO(1-0) and (2-1) lines	[ucd=meta.ref.url]
#Column	Name	(a14)	Galaxy name	[ucd=meta.id]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	Heliocentric radial velocity (cz)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	gmag	(F5.2)	SDSS g magnitude	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F5.2)	SDSS r magnitude	[ucd=phot.mag;em.opt.R]
#Column	imag	(F5.2)	SDSS i magnitude	[ucd=phot.mag;em.opt.I]
#Column	beam10	(F4.1)	Size of the region observed in CO(1-0)	[ucd=phys.angSize;obs.field]
#Column	beam21	(F4.1)	Size of the region observed in CO(2-1)	[ucd=phys.angSize;obs.field]
#Column	sp	(A1)	[*] * indicates spectra in subdirectory sp	[ucd=meta.note]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
recno	SPRC	n_SPRC	sp2	Name	RAJ2000	DEJ2000	cz	gmag	rmag	imag	beam10	beam21	sp	SimbadName
 	 	 	 	 	"h:m:s"	"d:m:s"	km/s	mag	mag	mag	kpc	kpc	 	
--------	---	-	---	--------------	-----------	-----------	-----	-----	-----	-----	----	----	-	------------------------
       1	  7	C	sp2	              	07 52 34.32	+29 20 49.7	18032	17.84	16.95	16.85	27.9	14.0	 	SDSS J075234.32+292049.7
       2	 10	C	sp2	              	08 20 38.19	+15 36 59.8	12736	17.16	16.29	15.79	19.8	 9.9	 	SDSS J082038.18+153659.7
       3	 13	 	sp2	              	09 14 53.66	+49 38 24.0	 9521	16.10	15.37	15.06	14.8	 7.4	 	SDSS J091453.64+493824.0
       4	 14	C	sp2	CGCG 121-053  	09 18 15.97	+20 22 05.3	 9548	15.59	14.73	14.48	14.8	 7.4	*	Z 121-053
       5	 15	 	sp2	              	09 36 34.63	+21 13 57.8	10281	15.31	14.43	14.14	16.0	 8.0	 	SDSS J093634.62+211357.7
       6	 17	 	sp2	              	09 59 11.85	+16 28 41.5	 7914	15.81	14.92	14.59	12.3	 6.2	 	SDSS J095911.85+162841.5
       7	 24	 	sp2	              	11 16 25.11	+56 50 17.0	14133	15.85	14.98	14.63	21.9	11.0	 	SDSS J111625.11+565017.0
       8	 29	 	sp2	              	11 53 33.56	+47 19 07.3	14208	16.30	15.25	15.06	22.1	11.0	 	SDSS J115333.56+471907.2
       9	 31	 	sp2	              	12 17 11.51	+31 30 37.8	14913	16.21	15.08	14.93	23.1	11.6	 	SDSS J121711.51+313037.7
      10	 33	C	sp2	NGC 4262      	12 19 30.57	+14 52 39.5	 1358	12.22	11.24	10.98	21.1	10.6	 	NGC 4262
      11	 39	C	sp2	              	13 08 16.92	+45 22 35.2	 8792	17.01	16.01	15.75	13.7	 6.8	 	SDSS J130816.92+452235.1
      12	 42	 	sp2	UGC 08634     	13 39 04.59	+02 09 49.5	 7041	15.75	15.04	14.85	11.0	 5.5	*	UGC 08634
      13	 47	 	sp2	              	13 59 41.70	+25 00 46.1	 9370	15.62	14.49	14.28	14.6	 7.3	 	SDSS J135941.70+250046.0
      14	 48	 	sp2	              	14 14 20.82	+27 28 04.4	16788	16.30	15.04	15.10	26.0	13.0	*	SDSS J141420.82+272804.4
      15	 52	 	sp2	KUG 1416+257  	14 18 25.60	+25 30 06.7	 4450	15.70	15.07	14.50	 6.9	 3.5	*	KUG 1416+257
      16	 56	 	sp2	MCG +06-33-026	15 11 14.09	+37 02 37.7	16499	15.69	14.81	14.49	25.6	12.8	 	MCG +06-33-026
      17	 60	C	sp2	              	15 47 24.32	+38 55 50.4	23519	17.71	17.29	17.02	36.3	18.1	 	SDSS J154724.31+385550.3
      18	 61	 	sp2	              	15 49 54.81	+09 49 43.1	13753	15.78	14.81	14.50	21.4	10.7	 	SDSS J154954.80+094943.1
      19	 67	C	sp2	CGCG 225-097  	17 17 44.13	+40 41 52.0	 8325	15.28	14.25	14.01	12.9	 6.5	 	Z 225-097
      20	 69	C	sp2	II Zw 092     	20 48 05.67	+00 04 07.8	 7396	16.22	15.36	14.93	11.6	 5.8	*	Zw II 092
      21	260	C	sp2	CGCG 068-056  	11 45 30.25	+09 43 44.8	 6399	15.31	14.48	14.23	10.0	 5.0	 	Z 068-056

#Table	J_A_A_554_A11_spectra:
#Name: J/A+A/554/A11/spectra
#Title: Source, line and central velocity of spectrum
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nsp	(I2)	Spectrum number	[ucd=meta.id;meta.main]
#Column	SPRC	(I3)	SPRC identification of galaxy	[ucd=meta.id;meta.main]
#Column	Line	(A7)	Line, CO(1-0) or CO(2-1)	[ucd=meta.id;spect.line]
#Column	Vsys	(F6)	Systemic velocity, i.e. spectrum center	[ucd=phys.veloc]
#Column	FileName	(A10)	Name of the file with spectrum in subdirectory sp	[ucd=meta.id;meta.file]
#Column	sp	(A2)	plot of spectrum	[ucd=meta.ref.url]
recno	Nsp	SPRC	Line	Vsys	FileName	sp
 	 	 	 	km/s	 	
--------	--	---	-------	------	----------	--
       1	 1	 14	CO(1-0)	  9548	spec1.dat 	sp
       2	 2	 14	CO(2-1)	  9548	spec2.dat 	sp
       3	 3	 42	CO(1-0)	  7041	spec3.dat 	sp
       4	 4	 42	CO(2-1)	  7041	spec4.dat 	sp
       5	 5	 47	CO(1-0)	  9370	spec5.dat 	sp
       6	 6	 47	CO(2-1)	  9370	spec6.dat 	sp
       7	 7	 48	CO(1-0)	 16788	spec7.dat 	sp
       8	 8	 48	CO(2-1)	 16788	spec8.dat 	sp
       9	 9	 69	CO(1-0)	  7396	spec9.dat 	sp
      10	10	 69	CO(2-1)	  7396	spec10.dat	sp

