#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:44 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/485/4726&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74854726
#Name: J/MNRAS/485/4726
#Title: An all-sky view of the Orphan Stream (Koposov+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/485/4726	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/485/4726	    IVOID of underlying data collection
#INFO	creator=Koposov S.E.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.485.4726K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/485/4726	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74854726	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_MNRAS_485_4726_table15:
#Name: J/MNRAS/485/4726/table15
#Title: Subset of the likely Orphan RRL selected (Table 1 and 5)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RA_ICRS	(F9.5)	Right ascension (ICRS) at Ep=2015.5 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS) at Ep=2015.5 (1)	[ucd=pos.eq.dec;meta.main]
#Column	EBV	(F8.5)	Colour excess E(B-V)	[ucd=phot.color.excess]
#Column	pmRA	(F8.5)	Proper motion in right ascension (1)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F8.5)	Error on pmRA (1)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.5)	Proper motion in declination (1)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F8.5)	Error on pmDE (1)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDEcor	(F8.5)	Correlation between proper motion in right ascension and in declination (1)	[ucd=stat.correlation]
#Column	Gmag	(F8.5)	Gaia DR2 G-band magnitude (1)	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F8.5)	Gaia DR2 BP-RP colour index (1)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	E(BP/RP)	(F8.5)	Gaia DR2 BP/RP excess factor (1)	[ucd=arith.factor]
#Column	Dist	(F8.5)	Heliocentric distance	[ucd=pos.distance]
#Column	GaiaDR2	(I19)	Gaia DR2 source identifier	[ucd=meta.id;meta.main]
#Column	Period	(F15.12)	? Light-curve period	[ucd=time.period]
#Column	Type	(A4)	Bailey type	[ucd=meta.code;src.var]
#Column	r_Type	(I1)	References for Type (1)	[ucd=meta.note]
#Column	Note	(a8)	Reference legend (Gaia, PS1 or ThisWork)	[ucd=meta.note]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
recno	RA_ICRS	DE_ICRS	EBV	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDEcor	Gmag	BP-RP	E(BP/RP)	Dist	GaiaDR2	Period	Type	r_Type	Note	SimbadName	_RA.icrs	_DE.icrs
 	deg	deg	 	mas/yr	mas/yr	mas/yr	mas/yr	 	mag	mag	 	kpc	 	d	 	 	 	 	deg	deg
--------	---------	---------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	-------------------	---------------	----	-	--------	----------------------------	---------	---------
       1	155.36706	+17.52019	 0.03619	-1.26909	 0.64414	 0.43042	 0.95119	-0.80456	18.24509	 0.69680	 1.23807	31.95873	3890405535908322816	 0.772158414100	RRab	2	PS1     	Gaia DR2 3890405535908322816	155.36707	+17.52019
       2	276.18759	-74.20531	 0.13522	-2.73889	 0.16567	-2.93816	 0.22225	 0.21110	17.70621	 0.83664	 1.22580	22.48295	6417782236698088576	 0.729023207529	RRab	1	Gaia    	Gaia DR2 6417782236698088576	276.18763	-74.20530
       3	329.77628	-40.60788	 0.01452	 0.22386	 0.28899	-1.46880	 0.37301	 0.56064	18.58079	 0.61528	 1.24639	38.15652	6572607831962125056	 0.601811872268	RRab	1	Gaia    	Gaia DR2 6572607831962125056	329.77628	-40.60787
       4	150.64721	+25.24754	 0.03540	-1.14154	 0.34471	 0.11557	 0.34896	-0.13036	18.11522	 0.64655	 1.27287	30.12812	 642802947461337728	 0.542885968500	RRab	2	PS1     	Gaia DR2  642802947461337728	150.64722	+25.24754
       5	331.32574	-46.60868	 0.01537	 0.48404	 0.35197	-1.46619	 0.42036	 0.34705	18.77576	 0.72658	 1.23741	41.70350	6561357319748782976	 0.668472366067	RRab	1	Gaia    	Gaia DR2 6561357319748782976	331.32574	-46.60867
       6	321.18679	-58.68641	 0.03639	-0.02018	 0.23992	-3.13515	 0.24549	 0.05150	18.26316	 0.63067	 1.22518	32.21882	6459293778511267200	 0.590353370209	RRab	1	Gaia    	Gaia DR2 6459293778511267200	321.18679	-58.68640
       7	225.44879	-74.39093	 0.15235	-4.52824	 0.10432	 0.20117	 0.12392	 0.17807	17.42329	 0.66286	 1.23680	19.38616	5793432594747653376	 0.565820091455	RRab	1	Gaia    	Gaia DR2 5793432594747653376	225.44886	-74.39093
       8	312.65244	-64.49243	 0.03665	-0.29416	 0.11714	-3.17663	 0.19093	-0.23140	17.83402	 0.68579	 1.21458	26.43421	6450297166352626048	 0.701702231554	RRab	1	Gaia    	Gaia DR2 6450297166352626048	312.65244	-64.49242
       9	328.87316	-46.27519	 0.01608	 0.58056	 0.39593	-2.18649	 0.54421	 0.59700	18.75154	 0.52514	 1.20085	41.21073	6564567275226088192	 0.571050426435	RRab	1	Gaia    	Gaia DR2 6564567275226088192	328.87316	-46.27518
      10	321.67634	-57.45849	 0.04156	 0.21922	 0.25149	-2.59204	 0.30647	 0.17674	18.35345	 0.47438	 1.19626	33.40569	6459507255565439744	 0.316970722476	RRc 	1	Gaia    	Gaia DR2 6459507255565439744	321.67634	-57.45848
      11	146.00854	+36.26583	 0.01194	-0.73274	 0.35602	-0.90079	 0.30109	-0.44945	18.69377	 0.54043	 1.38713	40.30267	 799463292628940672	 0.594437854900	RRab	2	PS1     	Gaia DR2  799463292628940672	146.00854	+36.26583
      12	227.70794	-74.57514	 0.13872	-4.49398	 0.16548	-0.05044	 0.15633	 0.36831	17.50959	 0.55202	 1.26603	20.46152	5792708879873126400	 0.355782000000	RRc 	3	ThisWork	                            	227.70801	-74.57514
      13	311.72339	-67.05691	 0.04774	-0.41957	 0.11639	-3.32826	 0.12591	-0.14528	17.46528	 0.73275	 1.18731	22.04872	6425035538810325248	 0.549968024787	RRab	1	Gaia    	Gaia DR2 6425035538810325248	311.72339	-67.05690
      14	333.93133	-36.12788	 0.01806	 0.39214	 0.56548	-1.29621	 0.49024	 0.18978	19.22491	 0.37980	 1.29731	51.14248	6599048269110776704	 0.367587040705	RRc 	1	Gaia    	Gaia DR2 6599048269110776704	333.93133	-36.12787
      15	331.02493	-46.48206	 0.01479	 0.64691	 0.34012	-1.90001	 0.39922	 0.33765	18.71095	 0.42480	 1.20382	40.50175	6561409409112267264	 0.419512000000	RRc 	3	ThisWork	Gaia DR2 6561409409112267264	331.02493	-46.48205
      16	303.09350	-69.34295	 0.03894	-0.97182	 0.14046	-3.44621	 0.17689	-0.00242	17.68852	 0.65164	 1.25069	24.66179	6423074907716498816	 0.641160254284	RRab	1	Gaia    	Gaia DR2 6423074907716498816	303.09351	-69.34294
      17	333.35479	-33.68878	 0.01889	 0.69729	 0.67583	-1.42301	 0.69001	 0.59699	19.60964	 0.44981	 1.26250	61.00321	6611877061546133248	 0.363312321588	RRc 	1	Gaia    	Gaia DR2 6611877061546133248	333.35479	-33.68877
      18	329.14174	-52.37369	 0.02397	 0.05105	 0.25337	-1.81032	 0.29243	 0.14942	18.36214	 0.56576	 1.23469	34.16240	6557684920846755584	 0.602718380678	RRab	1	Gaia    	Gaia DR2 6557684920846755584	329.14174	-52.37368
      19	305.87518	-69.29763	 0.03906	-0.88896	 0.13845	-3.47780	 0.15166	-0.09335	17.78449	 0.57624	 1.19405	25.77290	6422933105076249472	 0.562674166715	RRab	1	Gaia    	Gaia DR2 6422933105076249472	305.87519	-69.29761
