galaxy,local_hi_cube,local_stellar_image,local_co_image,prior_strict_stellar_astrometry_pass,possible_multiple_sightline_intersections,independent_total_mass_coverage,depth_and_thickness_constraints,externally_constrained_gravity_boundary,joint_channel_spatial_covariance,validated_motion_independent_mask,full_field_cube_prediction_admitted,next_action
DDO154,True,True,True,False,False,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
IC2574,True,True,True,False,False,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
NGC2841,True,True,True,False,True,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
NGC2903,True,True,True,True,True,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,expand matched matter coverage and validate covariance
NGC2976,True,True,True,False,False,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
NGC3198,True,True,True,False,False,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
NGC3521,True,True,True,False,True,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
NGC4214,True,True,True,False,False,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
NGC5055,True,True,True,False,False,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
NGC6946,True,True,True,False,False,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
NGC7331,True,True,True,False,True,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
UGC04305,True,True,True,False,False,not_validated,prior_ensemble_required,not_available_in_this_milestone,not_observationally_validated,False,False,repair and independently validate stellar-to-HI registration
