galaxy	point_index	observed_speed_km_s	observed_speed_error_km_s
WALLABY J100539-282633	0	2.070000000000e+01	3.125699921618e+00
WALLABY J100539-282633	1	3.220000000000e+01	3.551056180913e+00
WALLABY J100539-282633	2	3.310000000000e+01	1.042353107157e+01
WALLABY J100539-282633	3	4.360000000000e+01	3.324154027719e+00
WALLABY J100539-282633	4	4.620000000000e+01	1.204159457879e+00
WALLABY J100539-282633	5	4.550000000000e+01	1.029563014099e+00
WALLABY J100539-282633	6	4.600000000000e+01	3.324154027719e+00
WALLABY J100539-282633	7	4.380000000000e+01	1.923538406167e+00
WALLABY J100539-282633	8	4.630000000000e+01	3.517101079014e+00
WALLABY J100916-431959	0	6.330000000000e+01	8.005623023850e+00
WALLABY J100916-431959	1	9.480000000000e+01	4.201190307520e+00
WALLABY J100916-431959	2	1.018000000000e+02	4.609772228646e+00
WALLABY J100916-431959	3	1.102000000000e+02	6.929646455628e+00
WALLABY J100916-431959	4	1.180000000000e+02	8.246211251235e+00
WALLABY J100916-431959	5	1.201000000000e+02	5.323532661682e+00
WALLABY J100916-431959	6	1.201000000000e+02	9.513148795220e+00
WALLABY J100916-431959	7	1.196000000000e+02	1.096585609973e+01
WALLABY J100916-431959	8	1.204000000000e+02	9.021086409075e+00
WALLABY J122710+071549	0	8.360000000000e+01	3.322002408187e+01
WALLABY J122710+071549	1	1.141000000000e+02	4.176996528608e+01
WALLABY J122710+071549	2	9.760000000000e+01	2.371181140276e+01
WALLABY J122710+071549	3	9.560000000000e+01	2.283155710853e+01
WALLABY J122710+071549	4	1.011000000000e+02	2.411016383188e+01
WALLABY J122710+071549	5	1.060000000000e+02	2.520000000000e+01
WALLABY J122710+071549	6	1.099000000000e+02	2.620019083900e+01
WALLABY J122710+071549	7	1.130000000000e+02	2.698184574858e+01
WALLABY J122710+071549	8	1.159000000000e+02	2.837816061693e+01
WALLABY J123138+035620	0	2.380000000000e+01	3.383784863138e+00
WALLABY J123138+035620	1	5.520000000000e+01	5.100000000000e+00
WALLABY J123138+035620	2	7.550000000000e+01	6.280127387243e+00
WALLABY J123138+035620	3	8.810000000000e+01	7.269112738154e+00
WALLABY J123138+035620	4	9.600000000000e+01	8.381527307120e+00
WALLABY J123138+035620	5	1.002000000000e+02	8.876936408469e+00
WALLABY J123138+035620	6	1.016000000000e+02	8.561541917202e+00
WALLABY J123138+035620	7	1.015000000000e+02	8.305419917138e+00
WALLABY J123138+035620	8	1.012000000000e+02	8.338465086573e+00
WALLABY J123138+035620	9	1.016000000000e+02	8.586617494683e+00
WALLABY J123138+035620	10	1.035000000000e+02	9.761659694949e+00
WALLABY J123138+035620	11	1.069000000000e+02	1.216305882581e+01
WALLABY J123138+035620	12	1.118000000000e+02	1.611521020651e+01
WALLABY J123138+035620	13	1.154000000000e+02	1.898973406870e+01
WALLABY J123228+002315	0	2.530000000000e+01	8.221921916438e+00
WALLABY J123228+002315	1	4.320000000000e+01	3.008321791298e+00
WALLABY J123228+002315	2	5.650000000000e+01	1.431782106328e+00
WALLABY J123228+002315	3	6.660000000000e+01	1.802775637732e+00
WALLABY J123228+002315	4	7.450000000000e+01	2.102379604163e+00
WALLABY J123228+002315	5	8.030000000000e+01	2.118962010042e+00
WALLABY J123228+002315	6	8.380000000000e+01	2.109502310973e+00
WALLABY J123228+002315	7	8.580000000000e+01	2.370653918226e+00
WALLABY J123228+002315	8	8.660000000000e+01	2.720294101747e+00
WALLABY J123228+002315	9	8.640000000000e+01	2.900000000000e+00
WALLABY J123228+002315	10	8.570000000000e+01	3.264965543463e+00
WALLABY J123228+002315	11	8.550000000000e+01	2.900000000000e+00
WALLABY J123228+002315	12	8.670000000000e+01	2.220360331117e+00
WALLABY J123228+002315	13	8.900000000000e+01	5.189412298132e+00
WALLABY J123228+002315	14	9.240000000000e+01	1.153169545210e+01
WALLABY J123917-003149	0	3.730000000000e+01	3.605551275464e-01
WALLABY J123917-003149	1	5.290000000000e+01	2.220360331117e+00
WALLABY J123917-003149	2	6.430000000000e+01	3.026549190084e+00
WALLABY J123917-003149	3	7.040000000000e+01	4.119465984809e+00
WALLABY J123917-003149	4	7.500000000000e+01	4.219004621946e+00
WALLABY J123917-003149	5	7.910000000000e+01	4.328972164383e+00
WALLABY J123917-003149	6	8.260000000000e+01	4.328972164383e+00
WALLABY J123917-003149	7	8.560000000000e+01	4.328972164383e+00
WALLABY J123917-003149	8	8.810000000000e+01	4.130375285613e+00
WALLABY J123917-003149	9	9.020000000000e+01	3.931920650267e+00
WALLABY J123917-003149	10	9.180000000000e+01	3.733630940519e+00
WALLABY J123917-003149	11	9.310000000000e+01	3.535533905933e+00
WALLABY J123917-003149	12	9.420000000000e+01	3.452535300326e+00
WALLABY J123917-003149	13	9.500000000000e+01	3.157530680769e+00
WALLABY J123917-003149	14	9.570000000000e+01	2.961418578992e+00
WALLABY J123917-003149	15	9.610000000000e+01	2.570992026436e+00
WALLABY J123917-003149	16	9.630000000000e+01	2.184032966784e+00
WALLABY J123917-003149	17	9.630000000000e+01	1.802775637732e+00
