#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:08:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:08:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable2&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table2:
#Name: J/A+A/661/A7/table2
#Title: X-ray observable measurements of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID (HHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	ExtLike	(F5.1)	Extent likelihood	[ucd=stat.likelihood]
#Column	DetLike	(F6.1)	Detection likelihood	[ucd=stat.likelihood]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	R500	(F6.3)	R500	[ucd=phys.angSize;src]
#Column	T500	(F6.3)	Temperature within R500	[ucd=phys.temperature]
#Column	e_T500	(F6.3)	Minus side error bar on T500	[ucd=stat.error]
#Column	E_T500	(F6.3)	Plus side error bar on T500	[ucd=stat.error;stat.max]
#Column	l_Lx500	(A1)	Limit flag on Lx500	[ucd=meta.code.error]
#Column	Lx500	(F7.3)	Soft band lumin within R500 (in 10^42^erg/s)	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lx500	(F7.3)	? Minus side error bar on Lx500	[ucd=stat.error]
#Column	E_Lx500	(F8.3)	? Minus side error bar on Lx500	[ucd=stat.error;stat.max]
#Column	l_Lbol500	(A1)	Limit flag on Lbol500	[ucd=meta.code.error]
#Column	Lbol500	(F8.3)	Bolometric lumin within R500	[ucd=phys.luminosity]
#Column	e_Lbol500	(F8.3)	? Minus side error bar on Lbol500	[ucd=stat.error]
#Column	E_Lbol500	(F8.3)	? Plus side error bar on Lbol500	[ucd=stat.error;stat.max]
#Column	l_Mgas500	(A1)	Limit flag on Mgas500	[ucd=meta.code.error]
#Column	Mgas500	(F7.4)	Gas mass within R500	[ucd=phys.mass]
#Column	e_Mgas500	(F8.4)	? Minus side error bar on Mgas500	[ucd=stat.error]
#Column	E_Mgas500	(F8.4)	? Plus side error bar on Mgas500	[ucd=stat.error;stat.max]
#Column	l_Yx500	(A1)	Limit flag on Yx500	[ucd=meta.code.error]
#Column	Yx500	(F9.4)	Yx (gas mass times mean X-ray spectral temperature) within R500	[ucd=arith.factor;pos.distance]
#Column	e_Yx500	(F9.4)	? Minus side error bar on Yx500	[ucd=stat.error]
#Column	E_Yx500	(F9.4)	? Plus side error bar on Yx500	[ucd=stat.error;stat.max]
#Column	Tcex500	(F6.3)	Temperature within 0.15*R500-R500	[ucd=phys.temperature]
#Column	e_Tcex500	(F6.3)	Minus side error bar on Tcex500	[ucd=stat.error]
#Column	E_Tcex500	(F6.3)	Plus side error bar on Tcex500	[ucd=stat.error;stat.max]
#Column	l_Lxcex500	(A1)	Limit flag on Lxcex500	[ucd=meta.code.error]
#Column	Lxcex500	(F7.3)	Soft band lumin within 0.15*R500-R500	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lxcex500	(F7.3)	? Minus side error bar on Lxcex500	[ucd=stat.error]
#Column	E_Lxcex500	(F8.3)	? Plus side error bar on Lxcex500	[ucd=stat.error;stat.max]
#Column	l_Lbolcex500	(A1)	Limit flag on Lbolcex500	[ucd=meta.code.error]
#Column	Lbolcex500	(F11.3)	Bolometric lumin within 0.15*R500-R500	[ucd=phys.luminosity]
#Column	e_Lbolcex500	(F7.2)	? Minus side error bar on Lbolcex500	[ucd=stat.error]
#Column	E_Lbolcex500	(F8.3)	? Plus side error bar on Lbolcex500	[ucd=stat.error;stat.max]
#Column	Texp	(I4)	Vignetted exposure at cluster center	[ucd=time.expo]
recno	ID	ID-SRC	RAJ2000	DEJ2000	ExtLike	DetLike	z	R500	T500	e_T500	E_T500	l_Lx500	Lx500	e_Lx500	E_Lx500	l_Lbol500	Lbol500	e_Lbol500	E_Lbol500	l_Mgas500	Mgas500	e_Mgas500	E_Mgas500	l_Yx500	Yx500	e_Yx500	E_Yx500	Tcex500	e_Tcex500	E_Tcex500	l_Lxcex500	Lxcex500	e_Lxcex500	E_Lxcex500	l_Lbolcex500	Lbolcex500	e_Lbolcex500	E_Lbolcex500	Texp
 	 	 	deg	deg	 	 	 	arcmin	keV	keV	keV	 	10+35W	10+35W	10+35W	 	10+35W	10+35W	10+35W	 	10+12Msun	10+12Msun	10+12Msun	 	10+12keV.Msun	10+12keV.Msun	10+12keV.Msun	keV	keV	keV	 	10+35W	10+35W	10+35W	 	10+35W	10+35W	10+35W	s
--------	---------------	-----	--------	--------	-----	------	------	------	------	------	------	-	-------	-------	--------	-	--------	--------	--------	-	-------	--------	--------	-	---------	---------	---------	------	------	------	-	-------	-------	--------	-	-----------	-------	--------	----
       1	082626.5-003429	28993	126.6108	-00.5748	  8.5	   5.0	 0.161	 2.404	 5.100	 3.400	13.400	<	  5.700	       	        	<	  30.000	        	        	<	 2.5000	        	        	<	  36.0000	         	         	 4.100	 2.700	12.900	<	  4.900	       	        	<	     24.000	       	        	 184
       2	082751.7-002853	11248	126.9655	-00.4816	 12.8	  27.9	 0.257	 2.620	 1.800	 0.630	 2.110	<	 12.000	       	        	<	  33.000	        	        	<	 5.0000	        	        	<	  15.0000	         	         	 1.730	 0.630	 9.170	<	  7.000	       	        	<	     21.000	       	        	 707
       3	082808.7-001003	 4800	127.0366	-00.1677	 28.5	  62.5	 0.076	 5.487	 0.994	 0.058	 0.096	 	  2.400	  0.340	   0.480	 	   4.580	   0.620	   0.990	 	 1.1200	  0.2000	  0.2700	 	   1.1300	   0.2200	   0.3100	 1.080	 0.140	 0.260	 	  1.620	  0.340	   0.520	 	      3.220	   0.70	   1.120	 675
       4	082820.5-000721	 4169	127.0856	-00.1228	 42.4	  81.4	 0.845	 1.894	 5.500	 2.000	 5.100	 	273.000	 45.000	  43.000	 	 990.000	 180.000	 330.000	 	42.5000	  6.5000	  6.2000	 	 233.0000	  84.0000	 218.0000	 4.900	 2.200	 5.700	 	232.000	 44.000	  49.000	 	    790.000	 170.00	 310.000	 748
       5	082840.6-000500	 7991	127.1692	-00.0836	 18.4	  37.5	 0.320	 2.504	 8.700	 4.900	11.200	 	 14.700	  3.000	   2.700	 	  65.000	  22.000	  44.000	 	 5.7000	  1.7000	  1.8000	<	 190.0000	         	         	 7.000	 3.800	11.400	 	  8.300	  2.200	   3.900	 	     35.000	  13.00	  26.000	 856
       6	082859.9+010756	14973	127.2500	+01.1323	 19.2	  14.4	 0.354	 2.522	 6.900	 3.800	13.300	 	 27.400	  6.800	   7.800	 	 115.000	  41.000	  91.000	 	11.9000	  2.7000	  3.2000	<	 420.0000	         	         	 5.700	 3.100	10.800	 	 25.900	  6.800	   6.900	 	     95.000	  31.00	  69.000	 464
       7	082952.7+002139	 7528	127.4697	+00.3611	  7.7	  38.6	 0.420	 1.874	 6.300	 4.000	14.400	 	 14.300	  2.800	   4.700	 	  58.000	  21.000	  49.000	 	 3.7000	  1.4000	  1.6000	<	 130.0000	         	         	 6.000	 3.400	13.600	 	  7.500	  2.600	   4.300	 	     31.000	  14.00	  27.000	1099
       8	082955.4+004131	 3810	127.4810	+00.6922	 24.2	  80.3	 0.940	 1.555	 5.600	 2.600	 8.700	 	217.000	 39.000	  47.000	 	 790.000	 160.000	 410.000	 	28.8000	  4.5000	  4.6000	 	 152.0000	  66.0000	 269.0000	 4.100	 1.400	 4.100	 	180.000	 41.000	  45.000	 	    580.000	 140.00	 160.000	1020
       9	083040.7+023219	 9837	127.6697	+02.5388	 11.5	  23.7	 0.111	 3.431	 3.400	 1.800	 9.100	 	  0.640	  0.200	   0.250	 	   2.010	   0.800	   1.890	<	 0.4800	        	        	<	   5.1000	         	         	 3.400	 1.800	11.000	<	  0.490	       	        	<	      1.900	       	        	 718
      10	083110.5+015616	 5601	127.7940	+01.9378	 11.8	  34.1	 0.420	 2.172	11.300	 8.200	14.200	 	 37.100	  6.400	   8.700	 	 189.000	  82.000	 128.000	 	13.0000	  2.2000	  2.5000	<	 540.0000	         	         	 7.700	 4.500	16.800	 	 31.000	  6.200	   9.100	 	    137.000	  49.00	 112.000	1016
      11	083120.5+005257	 9594	127.8354	+00.8825	  7.0	  25.9	 0.664	 1.510	 3.000	 1.200	 6.200	 	 33.600	  8.800	  10.300	 	  98.000	  26.000	  47.000	 	 7.6000	  1.9000	  2.0000	 	  22.6000	   9.5000	  42.8000	 2.690	 0.860	 4.570	 	 22.100	  8.100	   9.000	 	     63.000	  24.00	  34.000	1205
      12	083120.5+030949	11134	127.8355	+03.1639	 32.8	  27.7	 0.568	 2.243	 1.240	 0.150	 0.250	<	 75.000	       	        	<	 160.000	        	        	<	23.0000	        	        	<	  31.0000	         	         	 1.240	 0.240	 0.300	<	 62.000	       	        	<	    130.000	       	        	 746
      13	083125.9+015533	 2659	127.8580	+01.9259	 47.5	 110.5	 0.684	 1.930	 2.050	 0.300	 0.440	 	197.000	 28.000	  26.000	 	 482.000	  66.000	  61.000	 	34.1000	  4.5000	  4.9000	 	  71.0000	  14.0000	  18.0000	 1.950	 0.270	 0.710	 	170.000	 30.000	  25.000	 	    417.000	  75.00	  56.000	1095
      14	083137.9+004632	 3725	127.9081	+00.7758	 17.2	  66.1	 0.293	 2.379	 1.380	 0.200	 0.410	 	 10.400	  1.500	   2.200	 	  23.000	   3.800	   5.900	 	 3.3900	  0.5900	  0.8500	 	   4.8000	   1.2000	   2.3000	 1.450	 0.230	 0.660	 	  5.500	  1.400	   2.000	 	     12.300	   3.30	   4.600	1207
      15	083146.7-012849	 4403	127.9449	-01.4805	  6.0	  28.1	 0.050	 4.405	 4.400	 2.000	 7.200	 	  0.117	  0.034	   0.049	 	   0.400	   0.150	   0.330	<	 0.1600	        	        	<	   1.3000	         	         	 3.000	 1.100	 4.500	<	  0.120	       	        	<	      0.390	       	        	1684
