#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:09:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:09:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable1&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table1:
#Name: J/A+A/661/A7/table1
#Title: Electron density model parameters of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	n0	(F6.3)	n0 parameter of Vikhlinin06 model (1)	[ucd=phys.density]
#Column	e_n0	(F6.3)	Minus side error bar on n0	[ucd=stat.error]
#Column	E_n0	(F7.3)	Plus side error bar on n0	[ucd=stat.error;stat.max]
#Column	rs	(F5.1)	rs parameter of Vikhlinin06 model (1)	[ucd=phys.size.radius]
#Column	e_rs	(F5.1)	Minus side error bar on rs	[ucd=stat.error]
#Column	E_rs	(F5.1)	Plus side error bar on rs	[ucd=stat.error;stat.max]
#Column	epsilon	(F5.2)	epsilon parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_epsilon	(F5.2)	Minus side error bar on epsilon	[ucd=stat.error]
#Column	E_epsilon	(F5.2)	Plus side error bar on epsilon	[ucd=stat.error;stat.max]
#Column	beta	(F6.3)	beta parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_beta	(F6.3)	Minus side error bar on beta	[ucd=stat.error]
#Column	E_beta	(F6.3)	Plus side error bar on beta	[ucd=stat.error;stat.max]
#Column	alpha	(F5.2)	alpha parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_alpha	(F5.2)	Minus side error bar on alpha	[ucd=stat.error;pos.eq.ra]
#Column	E_alpha	(F5.2)	Plus side error bar on alpha	[ucd=stat.error;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	ID-SRC	n0	e_n0	E_n0	rs	e_rs	E_rs	epsilon	e_epsilon	E_epsilon	beta	e_beta	E_beta	alpha	e_alpha	E_alpha	Simbad
 	 	 	10-7cm-6	10-7cm-6	10-7cm-6	arcsec	arcsec	arcsec	 	 	 	 	 	 	 	 	 	
--------	---------------	-----	------	------	-------	-----	-----	-----	-----	-----	-----	------	------	------	-----	-----	-----	------
       1	082626.5-003429	28993	 4.000	 3.000	 36.400	 72.0	 52.0	 65.0	 2.50	 1.70	 1.70	 1.560	 0.770	 0.660	 1.09	 0.71	 1.01	Simbad
       2	082751.7-002853	11248	 1.900	 1.600	 32.700	 72.0	 46.0	 67.0	 2.60	 1.70	 1.60	 1.590	 0.770	 0.640	 1.54	 0.98	 1.17	Simbad
       3	082808.7-001003	 4800	 0.750	 0.500	  3.530	224.0	 82.0	 87.0	 1.50	 1.00	 1.80	 1.160	 0.570	 0.900	 1.42	 0.71	 0.34	Simbad
       4	082820.5-000721	 4169	 8.900	 7.400	 31.800	125.0	 45.0	 72.0	 3.00	 1.80	 1.50	 1.620	 0.870	 0.670	 1.12	 0.74	 0.53	Simbad
       5	082840.6-000500	 7991	 1.700	 1.400	 12.100	123.0	 47.0	 60.0	 2.60	 1.80	 1.60	 1.390	 0.700	 0.740	 1.38	 0.91	 0.56	Simbad
       6	082859.9+010756	14973	 0.510	 0.220	  0.620	296.0	 98.0	115.0	 2.50	 1.80	 1.70	 1.490	 0.800	 0.720	 0.56	 0.37	 0.44	Simbad
       7	082952.7+002139	 7528	 7.400	 6.900	 43.900	 59.0	 23.0	 41.0	 2.40	 1.70	 1.80	 1.620	 0.750	 0.620	 1.53	 1.02	 0.77	Simbad
       8	082955.4+004131	 3810	 8.000	 7.000	 42.600	110.0	 42.0	 64.0	 2.50	 1.80	 1.80	 1.620	 0.760	 0.620	 1.37	 0.79	 0.56	Simbad
       9	083040.7+023219	 9837	 6.200	 5.500	 45.100	 65.0	 32.0	 42.0	 2.60	 1.80	 1.60	 1.630	 0.760	 0.610	 1.34	 0.87	 0.78	Simbad
      10	083110.5+015616	 5601	 1.400	 1.100	  6.100	173.0	 62.0	 93.0	 2.70	 1.60	 1.50	 1.600	 0.600	 0.560	 1.16	 0.69	 0.50	Simbad
      11	083120.5+005257	 9594	 3.500	 3.200	 17.600	 90.0	 40.0	 63.0	 2.40	 1.60	 1.90	 1.620	 0.820	 0.670	 1.38	 0.88	 0.66	Simbad
      12	083120.5+030949	11134	 1.900	 1.500	 71.000	 67.0	 53.0	109.0	 2.60	 1.80	 1.60	 1.490	 0.780	 0.680	 1.35	 0.93	 1.58	Simbad
      13	083125.9+015533	 2659	 1.900	 1.300	  6.800	179.0	 48.0	 52.0	 2.60	 1.50	 1.50	 1.160	 0.570	 0.800	 1.42	 0.75	 0.43	Simbad
      14	083137.9+004632	 3725	 0.850	 0.660	 14.290	111.0	 54.0	 52.0	 2.00	 1.40	 1.80	 1.350	 0.760	 0.720	 1.89	 0.97	 0.37	Simbad
      15	083146.7-012849	 4403	 1.030	 0.810	 11.740	112.0	 56.0	 74.0	 2.50	 1.70	 1.70	 1.420	 0.730	 0.720	 1.70	 0.78	 0.44	Simbad
      16	083149.4+005230	 5463	13.000	10.000	 41.000	 59.0	 22.0	 27.0	 2.30	 1.60	 1.60	 1.550	 0.770	 0.670	 1.12	 0.69	 0.77	Simbad
      17	083153.6+012530	 2600	 0.740	 0.540	  4.240	197.0	 91.0	 97.0	 2.20	 1.50	 1.70	 1.370	 0.710	 0.750	 1.56	 0.60	 0.29	Simbad
      18	083204.4+041907	 3593	 1.140	 0.690	  2.220	318.0	105.0	 97.0	 2.50	 1.60	 1.70	 1.600	 0.750	 0.610	 1.07	 0.44	 0.32	Simbad
      19	083228.0-000656	 7396	 1.080	 0.880	 12.050	 95.0	 57.0	 84.0	 2.80	 1.80	 1.50	 1.540	 0.750	 0.660	 1.62	 0.95	 1.23	Simbad
      20	083238.8-003200	 8565	 2.900	 2.400	  7.100	119.0	 42.0	 59.0	 2.80	 1.70	 1.60	 1.720	 0.780	 0.550	 0.93	 0.59	 0.61	Simbad
      21	083249.9+031737	10398	 1.060	 0.770	 24.280	 92.0	 73.0	145.0	 2.50	 1.60	 1.70	 1.480	 0.710	 0.720	 1.21	 0.85	 1.61	Simbad
      22	083310.2+030136	15959	 0.420	 0.180	  1.330	310.0	250.0	180.0	 2.70	 1.80	 1.60	 1.080	 0.550	 0.890	 0.56	 0.39	 1.05	Simbad
      23	083315.5+000623	 6869	 0.440	 0.300	  3.020	186.0	 77.0	 84.0	 2.30	 1.50	 1.70	 1.450	 0.720	 0.710	 1.44	 0.70	 0.36	Simbad
      24	083321.1+012644	 2879	 1.020	 0.760	  5.930	153.0	 60.0	 67.0	 2.70	 1.80	 1.60	 1.670	 0.780	 0.580	 1.73	 0.54	 0.31	Simbad
      25	083322.6-011128	 6302	 1.500	 1.200	  6.200	134.0	 51.0	 68.0	 2.60	 1.70	 1.60	 1.640	 0.700	 0.600	 1.21	 0.78	 0.65	Simbad
      26	083330.4+050427	 2528	 0.231	 0.087	  0.369	234.0	 75.0	 65.0	 1.70	 1.20	 1.80	 0.910	 0.420	 0.830	 1.88	 0.24	 0.20	Simbad
      27	083341.0-002943	 6767	 8.200	 7.300	 93.900	 29.0	 15.0	 26.0	 1.10	 0.78	 1.10	 0.650	 0.220	 0.300	 1.60	 1.10	 1.20	Simbad
      28	083345.8+004208	 2984	 5.200	 4.700	 25.200	 97.0	 38.0	 73.0	 2.70	 1.70	 1.60	 1.500	 0.780	 0.660	 1.36	 0.82	 0.59	Simbad
      29	083401.5-001337	 4258	 0.270	 0.150	  0.840	198.0	 95.0	122.0	 2.40	 1.60	 1.80	 1.550	 0.780	 0.670	 0.83	 0.58	 0.80	Simbad
      30	083402.5+023437	 6409	 8.100	 7.300	 36.500	 67.0	 27.0	 41.0	 2.80	 1.80	 1.60	 1.640	 0.690	 0.600	 1.21	 0.78	 0.73	Simbad
      31	083403.7+012131	 4634	 3.500	 3.100	 60.900	 68.0	 42.0	 56.0	 2.70	 1.80	 1.60	 1.610	 0.700	 0.610	 2.00	 1.20	 1.30	Simbad
      32	083412.7+035856	 1092	 0.600	 0.450	  3.210	183.0	 90.0	 79.0	 2.50	 1.70	 1.80	 1.550	 0.750	 0.650	 1.69	 0.84	 0.81	Simbad
      33	083422.7+034537	 3240	 2.500	 2.300	 83.500	 62.0	 31.0	 64.0	 2.60	 1.80	 1.70	 1.510	 0.790	 0.700	 2.15	 1.11	 0.50	Simbad
      34	083427.0-015612	12633	 0.420	 0.270	  1.110	224.0	 76.0	125.0	 2.90	 1.80	 1.40	 1.540	 0.770	 0.660	 0.82	 0.51	 0.52	Simbad
