#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:30:55 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:30:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable1&-out=AGC,OName,RAJ2000,DEJ2000,TT,r23.5,r.83,Isb,ell,e_ell,Imag,e_Imag,TF&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table1:
#Name: J/ApJS/172/599/table1
#Title: Additional photometric parameters
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	r23.5	(F5.1)	Isophotal radius at a surface magnitude of 23.5 mag/arcsec2	[ucd=phys.angSize]
#Column	r.83	(F5.1)	Optical radius containing 83% of the light	[ucd=phys.angSize;src]
#Column	Isb	(F6.2)	Surface magnitude at outermost I isophote	[ucd=phot.mag.sb;em.opt.I]
#Column	ell	(F6.3)	Disk ellipticity	[ucd=src.ellipticity]
#Column	e_ell	(F6.3)	Error on the Ellip	[ucd=stat.error]
#Column	Imag	(F6.2)	Observed I-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F5.2)	Error on Imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	TF	(A1)	[*] Code indicating inclusion in TF sample	[ucd=meta.note]
AGC	OName	RAJ2000	DEJ2000	TT	r23.5	r.83	Isb	ell	e_ell	Imag	e_Imag	TF
 	 	"h:m:s"	"d:m:s"	 	arcsec	arcsec	mag/arcsec2	 	 	mag	mag	
------	--------	----------	---------	--	-----	-----	------	------	------	------	-----	-
331060	478-009b	00 00 03.4	+23 05 15	 5	 24.7	 21.7	 23.43	 0.762	 0.009	 15.20	 0.05	
 12898	        	00 00 37.4	+33 36 02	 5	 21.4	 20.5	 24.27	 0.646	 0.035	 15.23	 0.05	
 12900	456-015 	00 00 55.9	+20 20 17	 5	 46.3	 37.4	 24.30	 0.820	 0.009	 13.73	 0.04	
 36544	349 G 17	00 00 57.7	-33 36 47	 5	 35.3	 29.3	 25.41	 0.219	 0.110	 12.91	 0.05	
 12901	499-035 	00 00 58.9	+28 54 41	 3	 41.5	 32.1	 24.30	 0.570	 0.042	 12.84	 0.02	
 12913	M+001018	00 01 36.7	+03 30 21	 5	 38.0	 37.3	 23.37	 0.817	 0.009	 14.62	 0.08	
 36558	409 G  4	00 01 57.6	-27 59 53	 3	 33.4	 29.4	 23.71	 0.614	 0.015	 13.78	 0.05	
 12920	478-014 	00 02 23.0	+27 12 38	 4	 33.9	 28.5	 24.14	 0.737	 0.020	 14.24	 0.04	
400001	M-101024	00 02 34.7	-03 42 37	 4	 31.6	 23.2	 23.83	 0.439	 0.094	 12.90	 0.02	
100002	408-013 	00 02 39.8	+08 44 13	 3	 32.7	 22.1	 24.58	 0.734	 0.012	 13.61	 0.02	
100920	        	00 02 40.6	+08 46 25	 3	 16.3	 11.8	 23.89	 0.490	 0.028	 14.87	 0.03	
     3	456-021 	00 02 46.3	+18 53 09	 1	 44.8	 34.3	 24.59	 0.558	 0.027	 12.66	 0.04	
     4	408-014 	00 02 56.9	+04 12 32	 4	 26.2	 19.4	 24.10	 0.374	 0.027	 13.47	 0.03	
     5	382-021 	00 03 05.6	-01 54 51	 4	 47.0	 31.5	 24.08	 0.505	 0.031	 12.26	 0.02	
     8	N7814   	00 03 14.8	+16 08 44	 2	200.2	105.0	 23.62	 0.508	 0.020	  9.18	 0.02	
    10	408-015 	00 03 20.5	+08 37 07	 5	 42.0	 45.2	 23.91	 0.189	 0.073	 12.69	 0.07	
    14	478-019 	00 03 35.1	+23 12 01	 5	 54.2	 49.2	 23.93	 0.402	 0.009	 12.33	 0.05	
400737	D0003-21	00 03 51.5	-50 46 01	 4	 20.4	 18.7	 23.80	 0.618	 0.022	 14.97	 0.04	
101122	n95     	00 03 51.7	+10 59 28	 5	 14.9	 14.6	 24.28	 0.750	 0.015	 16.39	 0.06	
    19	N7817   	00 03 59.0	+20 45 07	 4	106.1	 67.6	 23.95	 0.722	 0.024	 10.65	 0.02	
 20018	193 G 13	00 04 00.7	-51 23 35	 3	 32.4	 21.8	 23.66	 0.642	 0.041	 13.54	 0.03	
    23	433-021 	00 04 13.0	+10 47 25	 3	 34.1	 25.1	 24.59	 0.382	 0.023	 12.89	 0.03	
400738	DC0003-6	00 04 13.9	-51 13 25	-2	 12.1	  9.3	 24.53	 0.419	 0.027	 15.20	 0.05	
 20019	193 G 14	00 04 14.6	-50 38 48	 3	 28.6	 21.1	 23.48	 0.420	 0.004	 13.29	 0.03	
    24	478-020 	00 04 14.7	+22 35 16	 5	 28.7	 37.6	 23.12	 0.411	 0.096	 13.98	 0.07	
    25	M+101020	00 04 25.1	+06 10 40	 5	 28.1	 21.0	 23.83	 0.732	 0.032	 14.17	 0.03	
    27	408-020 	00 04 29.1	+05 50 44	 5	 42.6	 43.0	 24.33	 0.507	 0.032	 13.20	 0.06	
100838	n95     	00 04 43.1	+05 14 06	 3	 17.4	 14.4	 24.20	 0.361	 0.038	 14.63	 0.04	*
    33	408-023 	00 04 57.8	+05 07 23	 0	 32.9	 25.4	 24.08	 0.290	 0.029	 12.88	 0.04	*
    34	N7824   	00 05 06.2	+06 55 12	 2	 56.1	 35.7	 23.72	 0.318	 0.034	 11.62	 0.02	
    36	408-026 	00 05 13.8	+06 46 19	 1	 45.7	 26.6	 23.98	 0.556	 0.054	 12.33	 0.02	
400060	N7821   	00 05 16.6	-16 28 36	 6	 43.8	 27.5	 23.21	 0.675	 0.046	 12.29	 0.02	*
 20033	193 G 19	00 05 28.2	-50 16 12	 5	 36.1	 27.1	 24.94	 0.191	 0.120	 12.54	 0.05	
 20034	193 G 18	00 05 28.2	-49 37 00	 3	 34.5	 25.5	 22.92	 0.505	 0.023	 13.01	 0.03	
    39	        	00 05 34.5	+53 37 51	 5	 34.3	 25.8	 23.72	 0.523	 0.064	 13.33	 0.04	*
