#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-04T12:31:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:31:21	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/413/813/atlas3d&-out.max=99999&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74130813
#Name: J/MNRAS/413/813
#Title: ATLAS3D project. I. (Cappellari+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	creator=Cappellari M.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.413..813C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/413/813	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74130813	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_413_813_atlas3d:
#Name: J/MNRAS/413/813/atlas3d
#Title: The Atlas^3D^ sample (E and S0) and spiral galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	T	(A1)	Simbad column added by the CDS	[ucd=meta.code;src.morph]
#Column	Gal	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SBF	(I1)	[0/2] 1 if the galaxy is in Tonry et al. (2001ApJ...546..681T) and 2 if it is in Mei et al. (2007ApJ...655..144M) or both	[ucd=meta.id]
#Column	NED-D	(I2)	Number of redshift-independent distance determinations listed in the NED-D catalogue, excluding the ones based on kinematical scaling relations	[ucd=meta.number]
#Column	Virgo	(I1)	[0/1] 1 if the galaxies is contained within a sphere of radius R=3.5Mpc from the centre of the cluster (1)	[ucd=meta.code]
#Column	Vhel	(I4)	Heliocentric velocity (2)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F4.1)	Distance (3)	[ucd=pos.distance;pos.heliocentric]
#Column	KMAG	(F6.2)	Total absolute K magnitude (4)	[ucd=phys.magAbs;em.IR.K]
#Column	AB	(F5.2)	B-band foreground galactic extinction from Schlegel et al. (1998ApJ...500..525S)	[ucd=phys.absorption]
#Column	T-type	(F4.1)	Morphological T type from HyperLeda (5)	[ucd=src.morph.type]
#Column	log(Re)	(F5.2)	Projected half-light effective radius (6)	[ucd=phys.angSize]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref]
recno	T	Gal	RAJ2000	DEJ2000	SBF	NED-D	Virgo	Vhel	Dist	KMAG	AB	T-type	log(Re)	SimbadName	NED	LEDA
 	 	 	deg	deg	 	 	 	km/s	Mpc	mag	mag	 	[arcsec]	 	 	
--------	-	----------	----------	----------	-	--	-	----	----	------	-----	----	-----	---------	---	----
       1	E	IC0560    	146.472656	-00.268221	0	 0	0	1853	27.2	-22.10	 0.59	-0.7	 1.11	IC0560   	NED	LEDA
       2	E	IC0598    	153.202423	+43.145546	0	 0	0	2256	35.3	-22.60	 0.06	-0.1	 1.02	IC0598   	NED	LEDA
       3	E	IC0676    	168.165909	+09.055736	0	 0	0	1429	24.6	-22.27	 0.11	-1.3	 1.35	IC0676   	NED	LEDA
       4	E	IC0719    	175.077042	+09.009861	0	 0	0	1833	29.4	-22.70	 0.22	-2.0	 1.10	IC0719   	NED	LEDA
       5	E	IC0782    	185.404053	+05.765672	0	 0	0	2424	36.3	-22.02	 0.09	 2.7	 1.35	IC0782   	NED	LEDA
       6	E	IC1024    	217.863419	+03.009107	0	 0	0	1479	24.2	-21.85	 0.13	-2.0	 1.05	IC1024   	NED	LEDA
       7	E	IC3631    	189.950195	+12.973927	0	 0	0	2822	42.0	-22.01	 0.17	-1.3	 1.13	IC3631   	NED	LEDA
       8	E	NGC0448   	018.818876	-01.626105	1	 1	0	1908	29.5	-23.02	 0.26	-2.5	 1.05	NGC0448  	NED	LEDA
       9	E	NGC0474   	020.027901	+03.415270	0	 1	0	2315	30.9	-23.91	 0.15	-2.0	 1.52	NGC0474  	NED	LEDA
      10	E	NGC0502   	020.731415	+09.049169	0	 0	0	2524	35.9	-23.05	 0.17	-2.0	 1.07	NGC0502  	NED	LEDA
      11	E	NGC0509   	020.850327	+09.433469	0	 0	0	2261	32.3	-21.89	 0.20	-1.3	 1.37	NGC0509  	NED	LEDA
      12	E	NGC0516   	021.033607	+09.551668	0	 0	0	2437	34.7	-22.21	 0.29	-1.5	 1.16	NGC0516  	NED	LEDA
      13	E	NGC0524   	021.198778	+09.538793	1	10	0	2403	23.3	-24.71	 0.36	-1.2	 1.64	NGC0524  	NED	LEDA
      14	E	NGC0525   	021.220442	+09.703240	0	 0	0	2139	30.7	-21.86	 0.38	-2.0	 1.06	NGC0525  	NED	LEDA
      15	E	NGC0661   	026.060976	+28.705988	0	 1	0	3815	30.6	-23.19	 0.30	-4.4	 1.12	NGC0661  	NED	LEDA
      16	E	NGC0680   	027.447035	+21.970827	0	 1	0	2928	37.5	-24.17	 0.34	-4.0	 1.16	NGC0680  	NED	LEDA
      17	E	NGC0770   	029.806850	+18.954695	0	 0	0	2543	36.7	-22.57	 0.31	-4.2	 0.94	NGC0770  	NED	LEDA
      18	E	NGC0821   	032.088123	+10.994870	1	 4	0	1718	23.4	-23.99	 0.48	-4.8	 1.60	NGC0821  	NED	LEDA
      19	E	NGC0936   	036.906090	-01.156280	1	 4	0	1429	22.4	-24.85	 0.15	-1.2	 1.72	NGC0936  	NED	LEDA
      20	E	NGC1023   	040.100052	+39.063251	1	 8	0	 602	11.1	-24.01	 0.26	-2.7	 1.68	NGC1023  	NED	LEDA
      21	E	NGC1121   	042.663387	-01.734040	0	 0	0	2558	35.3	-22.70	 0.29	-1.8	 0.87	NGC1121  	NED	LEDA
      22	E	NGC1222   	047.236446	-02.955212	0	 0	0	2422	33.3	-22.71	 0.26	-3.0	 1.10	NGC1222  	NED	LEDA
      23	E	NGC1248   	048.202328	-05.224674	0	 0	0	2217	30.4	-22.90	 0.27	-2.0	 1.20	NGC1248  	NED	LEDA
