galaxy,fold
CamB,3
D564-8,3
D631-7,1
DDO064,2
DDO161,1
DDO168,4
DDO170,0
ESO079-G014,2
ESO116-G012,2
F565-V2,4
F568-3,0
F568-V1,3
F571-V1,3
F583-1,4
F583-4,2
KK98-251,3
NGC0024,4
NGC0055,1
NGC0247,3
NGC0289,0
NGC0300,2
NGC0801,0
NGC1003,3
NGC1090,1
NGC2403,2
NGC2683,1
NGC2841,1
NGC2915,2
NGC2955,3
NGC2976,2
NGC2998,1
NGC3109,4
NGC3198,1
NGC3521,3
NGC3741,2
NGC3769,0
NGC3877,4
NGC3893,3
NGC3917,0
NGC3949,3
NGC3972,3
NGC3992,0
NGC4051,4
NGC4068,1
NGC4088,1
NGC4100,4
NGC5005,0
NGC5033,0
NGC5371,1
NGC5585,1
NGC5985,2
NGC6015,3
NGC6195,0
NGC6503,0
NGC6674,3
NGC6946,4
NGC7331,1
UGC00128,1
UGC00191,1
UGC00731,2
UGC00891,2
UGC02259,4
UGC02487,3
UGC02916,0
UGC02953,4
UGC03205,3
UGC03580,1
UGC04325,4
UGC04483,2
UGC04499,4
UGC05414,0
UGC05716,0
UGC05750,0
UGC05764,3
UGC05829,4
UGC06399,3
UGC06614,4
UGC06786,2
UGC06787,0
UGC06818,2
UGC06917,4
UGC06923,0
UGC06983,3
UGC07089,2
UGC07261,2
UGC07323,4
UGC07399,3
UGC07524,4
UGC07577,1
UGC07603,4
UGC07866,0
UGC08490,0
UGC08699,2
UGC08837,2
UGC09037,1
UGC09133,1
UGC09992,0
UGC10310,0
UGC11820,1
UGC11914,2
UGCA442,4
UGCA444,1
