section,field,value
candidate,equation_1,y(r)=g_bar(r)/a0
candidate,equation_2,q(r)=y(r)/(y(r)+0.1)
candidate,equation_3,g(r)=g_bar(r)+1.5*[g_bar(r)*K_in[q](r)+a0*K_sym[q](r)]
candidate,candidate_id,ITEM59-XCOP-CROSS-SCALE-BOUNDARY-BETA-1P5
candidate,kernel_scope,"K_in is an inward log-radius occupancy average and K_sym is a symmetric log-radius occupancy average, both at scale 0.25."
candidate,declared_origin,new_combination_of_known_permittivity_nonlocal_kernel_MOND_RAR_and_auxiliary_field_motifs
candidate,historical_novelty_claim,false
selection,parameters,"{""beta"":1.5}"
selection,nuisances,"{""missing_stellar_to_gas_mass_ratio"":0.2,""outer_nonthermal_fraction"":0.3,""published_stellar_mass_scale"":1.3,""xray_temperature_cross_calibration"":1.0}"
selection,evaluated_variants,2025
selection,refit,false
claim_boundary,alternative_to_gr_established,false
claim_boundary,bounded_paper_ready,false
claim_boundary,dark_matter_eliminated,false
claim_boundary,development_evidence,true
claim_boundary,full_source_covariance,false
claim_boundary,historical_novelty_established,false
claim_boundary,independent_replication,false
claim_boundary,physical_mechanism_ready,false
claim_boundary,same_release_confirmation,true
claim_boundary,universal_theory_ready,false
