section,field,value
access_ledger,confirmation_response_files_opened_after_freeze,8
access_ledger,development_holdout_rows,76
access_ledger,direct_lensing_likelihood_evaluations,0
access_ledger,independent_observational_authorization,false
access_ledger,independent_target_rows_opened,0
access_ledger,inferred_total_mass_rows,0
access_ledger,same_release_confirmation_rows,77
access_ledger,scientific_freeze_commit,5bea3db169b6e41a5cbd86e815d8358f24d7512f
claim_track,bounded_empirical_publication,"{""missing_requirements"":[""full_uncertainty_and_covariance"",""independent_replication"",""nuisance_and_alternative_cause_robustness"",""prior_art_and_reproducibility""],""ready"":false,""status"":""DEVELOPMENT_RESULT_RETAINED_NOT_PUBLICATION_READY""}"
claim_track,physical_mechanism,"{""missing_requirements"":[""causal_mechanism_and_alternative_cause_separation"",""full_uncertainty_and_covariance"",""independent_replication"",""nuisance_and_alternative_cause_robustness"",""prior_art_and_reproducibility""],""ready"":false,""status"":""BLOCKED""}"
claim_track,universal_theory,"{""missing_requirements"":[""causal_mechanism_and_alternative_cause_separation"",""covariant_action_and_health"",""cross_domain_transfer"",""full_uncertainty_and_covariance"",""independent_replication"",""local_and_strong_field_limits"",""nuisance_and_alternative_cause_robustness"",""prior_art_and_reproducibility"",""same_field_lensing"",""no_adjacent_domain_failures""],""ready"":false,""status"":""BLOCKED""}"
claim_boundary,alternative_to_gr_established,false
claim_boundary,bounded_paper_ready,false
claim_boundary,dark_matter_eliminated,false
claim_boundary,development_evidence,true
claim_boundary,full_source_covariance,false
claim_boundary,historical_novelty_established,false
claim_boundary,independent_replication,false
claim_boundary,physical_mechanism_ready,false
claim_boundary,same_release_confirmation,true
claim_boundary,universal_theory_ready,false
sampler_calibration_boundary,candidate_production_unlock,false
sampler_calibration_boundary,machine_statement,V3 synthetic SBC passed; Newtonian-control may unlock; candidate production remains locked
sampler_calibration_boundary,newtonian_control_unlock,true
sampler_calibration_boundary,newtonian_external_approval_present,false
sampler_calibration_boundary,newtonian_maximum_paid_external_cost_usd,0
sampler_calibration_boundary,newtonian_package_decision,MATCHED_NEWTONIAN_CONTROL_V2_PREPARED_NOT_EXECUTED
sampler_calibration_boundary,newtonian_production_runs,0
sampler_calibration_boundary,newtonian_requested_likelihood_evaluations,233504
sampler_calibration_boundary,retained_chains_present,false
sampler_calibration_boundary,sbc_decision,V3_SYNTHETIC_SBC_PASSED_NEWTONIAN_CONTROL_MAY_UNLOCK_CANDIDATE_PRODUCTION_REMAINS_LOCKED
sampler_calibration_boundary,scientific_claim_allowed,false
sampler_calibration_boundary,v1_passed,false
sampler_calibration_boundary,v2_passed,false
sampler_calibration_boundary,v3_synthetic_sbc_passed,true
pressure_covariance_boundary,CP5_1_status,DEVELOPMENT_PRESSURE_COVARIANCE_SCORED_NOT_COMPONENT_COMPLETE
pressure_covariance_boundary,CP5_2_through_CP5_6_complete,false
pressure_covariance_boundary,a1795_complete_source_packet,false
pressure_covariance_boundary,a1795_public_inputs_support_new_reduction,true
