galaxy	point_index	observed_speed_km_s	observed_speed_error_km_s
DDO101	0	3.059000000000e+01	2.820000000000e+00
DDO101	1	4.191000000000e+01	2.180000000000e+00
DDO101	2	4.940000000000e+01	2.200000000000e+00
DDO101	3	5.553000000000e+01	2.040000000000e+00
DDO101	4	6.006000000000e+01	2.230000000000e+00
DDO101	5	6.121000000000e+01	2.220000000000e+00
DDO101	6	6.232000000000e+01	2.130000000000e+00
DDO101	7	6.365000000000e+01	2.500000000000e+00
DDO101	8	6.492000000000e+01	2.100000000000e+00
DDO133	1	1.291000000000e+01	1.690000000000e+00
DDO133	2	2.092000000000e+01	1.570000000000e+00
DDO133	3	2.557000000000e+01	1.750000000000e+00
DDO133	4	2.639000000000e+01	1.870000000000e+00
DDO133	5	2.813000000000e+01	1.880000000000e+00
DDO133	6	3.136000000000e+01	1.640000000000e+00
DDO133	7	3.479000000000e+01	1.980000000000e+00
DDO133	8	3.860000000000e+01	1.940000000000e+00
DDO133	9	4.148000000000e+01	1.440000000000e+00
DDO133	10	4.162000000000e+01	1.450000000000e+00
DDO133	11	4.228000000000e+01	1.550000000000e+00
DDO133	12	4.317000000000e+01	1.730000000000e+00
DDO133	13	4.488000000000e+01	1.640000000000e+00
DDO133	14	4.673000000000e+01	1.460000000000e+00
DDO133	15	4.613000000000e+01	1.590000000000e+00
DDO216	1	8.440000000000e+00	2.750000000000e+00
DDO216	2	9.700000000000e+00	2.570000000000e+00
DDO216	3	1.169000000000e+01	2.330000000000e+00
DDO216	4	1.285000000000e+01	1.920000000000e+00
DDO216	5	1.255000000000e+01	1.990000000000e+00
DDO216	6	1.311000000000e+01	2.420000000000e+00
DDO216	7	1.346000000000e+01	2.550000000000e+00
DDO216	8	1.424000000000e+01	2.500000000000e+00
DDO216	9	1.448000000000e+01	2.510000000000e+00
DDO216	10	1.526000000000e+01	2.410000000000e+00
DDO216	11	1.656000000000e+01	3.170000000000e+00
DDO216	12	1.891000000000e+01	3.270000000000e+00
DDO64	1	1.393000000000e+01	4.620000000000e+00
DDO64	2	1.563000000000e+01	4.620000000000e+00
DDO64	3	1.837000000000e+01	4.620000000000e+00
DDO64	4	2.247000000000e+01	4.620000000000e+00
DDO64	5	2.654000000000e+01	4.620000000000e+00
DDO64	6	3.526000000000e+01	4.620000000000e+00
DDO64	7	4.048000000000e+01	4.620000000000e+00
DDO64	8	4.423000000000e+01	4.890000000000e+00
DDO64	9	4.628000000000e+01	4.620000000000e+00
DDO64	10	4.644000000000e+01	4.620000000000e+00
DDO64	11	4.626000000000e+01	4.620000000000e+00
DDO64	12	4.635000000000e+01	6.730000000000e+00
DDO64	13	4.692000000000e+01	8.650000000000e+00
ESO0840411	0	1.450000000000e+01	4.000000000000e+00
ESO0840411	1	1.660000000000e+01	4.000000000000e+00
ESO0840411	2	2.470000000000e+01	4.000000000000e+00
ESO0840411	3	3.190000000000e+01	6.400000000000e+00
ESO0840411	4	4.010000000000e+01	8.300000000000e+00
ESO0840411	5	4.890000000000e+01	5.800000000000e+00
ESO0840411	6	5.470000000000e+01	4.000000000000e+00
ESO0840411	7	5.690000000000e+01	1.820000000000e+01
ESO0840411	8	6.130000000000e+01	4.700000000000e+00
ESO1200211	2	1.340000000000e+01	5.800000000000e+00
ESO1200211	3	1.900000000000e+01	4.200000000000e+00
ESO1200211	4	2.200000000000e+01	4.200000000000e+00
ESO1200211	5	2.210000000000e+01	4.200000000000e+00
ESO1200211	6	2.150000000000e+01	4.200000000000e+00
ESO1200211	7	2.160000000000e+01	4.200000000000e+00
ESO1200211	8	2.170000000000e+01	4.200000000000e+00
ESO1200211	9	2.210000000000e+01	4.600000000000e+00
ESO1200211	10	2.320000000000e+01	4.700000000000e+00
ESO1200211	11	2.410000000000e+01	7.000000000000e+00
ESO1200211	12	2.480000000000e+01	7.900000000000e+00
ESO1200211	13	2.540000000000e+01	6.500000000000e+00
ESO3020120	1	1.960000000000e+01	1.200000000000e+01
ESO3020120	2	3.630000000000e+01	1.200000000000e+01
ESO3020120	3	5.260000000000e+01	4.800000000000e+00
ESO3020120	4	7.070000000000e+01	1.660000000000e+01
ESO3020120	5	7.590000000000e+01	1.540000000000e+01
ESO3020120	6	7.970000000000e+01	1.320000000000e+01
ESO3020120	7	8.170000000000e+01	1.510000000000e+01
ESO3020120	8	8.400000000000e+01	1.210000000000e+01
ESO3020120	9	8.630000000000e+01	1.240000000000e+01
ESO3020120	10	8.600000000000e+01	1.320000000000e+01
ESO3050090	2	1.500000000000e+01	7.100000000000e+00
ESO3050090	3	1.950000000000e+01	3.800000000000e+00
ESO3050090	4	2.300000000000e+01	1.250000000000e+01
ESO3050090	5	2.430000000000e+01	8.300000000000e+00
ESO3050090	6	2.730000000000e+01	6.800000000000e+00
ESO3050090	7	2.940000000000e+01	1.310000000000e+01
ESO3050090	8	3.590000000000e+01	5.000000000000e+00
ESO3050090	9	4.710000000000e+01	1.290000000000e+01
ESO3050090	10	4.910000000000e+01	1.750000000000e+01
ESO3050090	11	5.110000000000e+01	7.000000000000e+00
ESO3050090	12	5.340000000000e+01	1.650000000000e+01
ESO3050090	13	5.450000000000e+01	5.000000000000e+00
ESO3050090	14	5.460000000000e+01	1.460000000000e+01
ESO3050090	15	5.400000000000e+01	1.390000000000e+01
ESO4880490	1	3.040000000000e+01	1.170000000000e+01
ESO4880490	2	3.780000000000e+01	2.820000000000e+01
ESO4880490	3	4.890000000000e+01	4.500000000000e+00
ESO4880490	4	6.950000000000e+01	6.500000000000e+00
ESO4880490	5	7.490000000000e+01	1.270000000000e+01
ESO4880490	6	7.800000000000e+01	1.360000000000e+01
ESO4880490	7	8.420000000000e+01	4.500000000000e+00
ESO4880490	8	9.240000000000e+01	9.600000000000e+00
ESO4880490	9	9.500000000000e+01	4.500000000000e+00
ESO4880490	10	9.710000000000e+01	2.170000000000e+01
GASS10019	2	6.090000000000e+01	5.700000000000e+00
GASS10019	3	5.550000000000e+01	5.300000000000e+00
GASS10019	4	5.240000000000e+01	5.500000000000e+00
GASS10019	5	8.400000000000e+01	7.400000000000e+00
GASS10019	6	9.730000000000e+01	8.500000000000e+00
GASS10019	7	9.020000000000e+01	9.100000000000e+00
GASS10019	8	1.253000000000e+02	1.030000000000e+01
GASS10019	9	1.003000000000e+02	1.080000000000e+01
GASS10019	10	1.065000000000e+02	1.030000000000e+01
GASS10019	11	1.095000000000e+02	1.380000000000e+01
