#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:33:37 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:33:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablec1&-out=Name,NGC,RAh,RAm,RAs,DE-,DEd,DEm,DEs&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73880500
#Name: J/MNRAS/388/500
#Title: GHASP: H{alpha} data cubes for 108 galaxies (Epinat+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	creator=Epinat B.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.388..500E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/388/500	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73880500	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_388_500_tablec1:
#Name: J/MNRAS/388/500/tablec1
#Title: Log of the observations
#Column	Name	(a9)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	NGC	(a5)	? Name in the NGC catalogue when available	[ucd=meta.id]
Name	NGC
 	
---------	-----
UGC 12893	
UGC 89   	  23
UGC 89   	  23
UGC 89   	  23
UGC 94   	  26
UGC 1013 	 536
UGC 1013 	 536
NGC 542  	 542
NGC 542  	 542
UGC 1317 	 697
UGC 1437 	 753
UGC 1655 	 828
UGC 1810 	
UGC 3056 	1569
UGC 3334 	1961
UGC 3382 	
UGC 3382 	
UGC 3463 	
UGC 3521 	
UGC 3528 	
UGC 3618 	2308
UGC 3685 	
UGC 3708 	2341
UGC 3709 	2342
UGC 3826 	
UGC 3740 	2276
UGC 3876 	
UGC 3876 	
UGC 3915 	
IC 476   	
UGC 4026 	2449
UGC 4165 	2500
UGC 4165 	2500
UGC 4256 	2532
UGC 4393 	
UGC 4422 	2595
UGC 4456 	
UGC 4555 	2649
UGC 4770 	2746
UGC 4820 	2775
UGC 5045 	
UGC 5175 	2977
UGC 5228 	
UGC 5251 	3003
UGC 5279 	3026
UGC 5319 	3061
UGC 5351 	3067
UGC 5373 	
UGC 5398 	3077
IC 2542  	
UGC 5510 	3162
UGC 5532 	3147
UGC 5532 	3147
UGC 5556 	3187
UGC 5786 	3310
UGC 5840 	3344
UGC 5842 	3346
UGC 6118 	3504
UGC 6277 	3596
UGC 6419 	3664
UGC 6521 	3719
UGC 6523 	3720
UGC 6787 	3898
UGC 6787 	3898
UGC 7021 	4045
UGC 7045 	4062
UGC 7154 	4145
UGC 7429 	4319
UGC 7699 	
UGC 7766 	4559
UGC 7831 	4605
UGC 7853 	4618
UGC 7861 	4625
UGC 7876 	4635
UGC 7901 	4651
UGC 7985 	4713
UGC 8334 	5055
UGC 8403 	5112
NGC 5296 	5296
UGC 8709 	5297
UGC 8852 	5376
UGC 8852 	5376
UGC 8863 	5377
UGC 8898 	5394
UGC 8900 	5395
UGC 8937 	5430
UGC 9013 	5474
UGC 9179 	5585
UGC 9219 	5608
UGC 9248 	5622
UGC 9358 	5678
UGC 9363 	5668
UGC 9406 	5693
UGC 9465 	5727
UGC 9576 	5774
UGC 9736 	5874
UGC 9866 	5949
UGC 9943 	5970
UGC 10075	6015
UGC 10521	6207
UGC 10521	6207
UGC 10652	6283
UGC 10652	6283
UGC 10713	
UGC 10757	
UGC 10769	
UGC 10791	
UGC 11012	6503
UGC 11269	6667
UGC 11300	6689
UGC 11332	6654A
UGC 11407	6764
UGC 11466	
UGC 11470	6824
UGC 11496	
UGC 11498	
UGC 11597	6946
UGC 11670	7013
UGC 11872	7177
UGC 12082	

