#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:33:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:33:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/453/2965/table3&-out=Name,Data,PA,e_PA,e,e_e,i,e_i,r,e_r,Rmag,e_Rmag,reff,e_reff,Rmagtot,e_Rmagtot,Phot&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74532965
#Name: J/MNRAS/453/2965
#Title: Surface photometry of GHASP galaxies (Barbosa+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	creator=Barbosa C.E.	    First author or institution
#INFO	cites=bibcode:2015MNRAS.453.2965B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/453/2965	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74532965	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_453_2965_table3:
#Name: J/MNRAS/453/2965/table3
#Title: Isophotal and integrated photometric parameters in the Rc band at the isophote of 22.5mag/arcsec^2^
#Column	Name	(A10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Data	(A4)	Data source	[ucd=meta.code]
#Column	PA	(I3)	[]? Position angle at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=pos.posAng]
#Column	e_PA	(I3)	? Error in PA	[ucd=stat.error]
#Column	e	(F5.2)	? Ellipticity at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=src.ellipticity]
#Column	e_e	(F5.2)	? rms uncertainty on e	[ucd=stat.error]
#Column	i	(F4.1)	? Inclination at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=src.orbital.inclination]
#Column	e_i	(F5.1)	? Error in inclination	[ucd=stat.error]
#Column	r	(I3)	? Isophotal radius to the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=phys.angSize]
#Column	e_r	(I3)	? Error in isophotal radius	[ucd=stat.error]
#Column	Rmag	(F6.3)	? Integrated magnitude within the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(E9.2)	? Error in the integrated magnitude	[ucd=stat.error;phot.mag;em.opt.R]
#Column	reff	(F5.1)	Effective radius	[ucd=phys.angSize]
#Column	e_reff	(F4.1)	? Error in the effective radius	[ucd=stat.error]
#Column	Rmagtot	(F6.3)	Total magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmagtot	(F6.3)	? Error in total magnitude	[ucd=stat.error]
#Column	Phot	(A1)	[0/1] Photometry flag (1)	[ucd=meta.code]
Name	Data	PA	e_PA	e	e_e	i	e_i	r	e_r	Rmag	e_Rmag	reff	e_reff	Rmagtot	e_Rmagtot	Phot
 	 	deg	deg	 	 	deg	deg	arcsec	arcsec	mag	mag	arcsec	arcsec	mag	mag	
----------	----	---	---	-----	-----	----	-----	---	---	------	---------	-----	----	------	------	-
UGC 89    	OHP 	-27	 11	 0.22	 0.03	40.0	  3.0	 41	  2	11.600	 3.00e-02	 20.0	 5.0	11.400	 0.100	1
UGC 94    	OHP 	-84	  2	 0.30	 0.01	46.0	  1.0	 28	  1	13.120	 3.00e-02	 16.0	 7.0	12.700	 0.400	1
IC 476    	SDSS	-79	  3	 0.40	 0.10	52.0	  9.0	 16	  2	14.700	 1.00e-01	 10.0	    	15.000	      	0
UGC 508   	OHP 	-61	  4	 0.11	 0.06	28.0	  7.0	 67	  1	11.170	 3.00e-02	 40.0	 1.0	10.910	 0.080	1
UGC 528   	OHP 	 52	  2	 0.03	 0.01	13.0	  3.0	 65	  3	10.160	 1.00e-02	 21.0	 1.0	10.100	 0.040	1
NGC 542   	SDSS	-34	  2	 0.73	 0.01	79.1	  0.9	 23	  2	14.390	 5.00e-02	 12.0	 6.0	14.200	 0.600	1
UGC 763   	OHP 	-75	 23	 0.12	 0.02	29.0	  3.0	 57	  4	11.610	 6.00e-02	 47.0	 5.0	11.100	 0.200	1
UGC 763   	SDSS	-79	 35	 0.12	 0.08	29.0	 10.0	 56	  6	11.700	 1.00e-01	 39.0	    	11.000	      	0
UGC 1013  	OHP 	 80	  2	 0.62	 0.01	70.6	  0.8	 53	  1	12.030	 1.00e-02	 27.0	 4.0	11.700	 0.100	1
UGC 1013  	SDSS	 80	  3	 0.64	 0.01	72.2	  0.8	 51	  5	12.170	 4.00e-02	 23.0	 3.0	11.900	 0.100	1
UGC 1117  	OHP 	 18	  2	 0.35	 0.01	51.0	  0.8	420	  6	 7.435	 9.00e-03	284.0	 7.0	 6.960	 0.030	1
UGC 1249  	OHP 	-37	  2	 0.61	 0.03	70.0	  2.0	 65	  3	12.700	 1.00e-01	128.0	25.0	11.300	 0.200	1
UGC 1256  	OHP 	 71	  2	 0.61	 0.01	69.8	  0.8	122	  7	10.800	 5.00e-02	 91.4	 0.9	10.490	 0.030	1
UGC 1317  	OHP 	-74	  2	 0.69	 0.01	75.7	  0.8	 85	  3	11.320	 2.00e-02	 47.0	 2.0	11.070	 0.040	1
UGC 1317  	SDSS	-74	  2	 0.70	 0.01	76.8	  0.9	 86	  9	11.360	 5.00e-02	 48.0	 7.0	11.100	 0.100	1
UGC 1437  	OHP 	-48	  9	 0.22	 0.02	40.0	  2.0	 44	  3	11.880	 4.00e-02	 25.0	 6.0	11.600	 0.200	1
UGC 1655  	OHP 	-46	  4	 0.38	 0.03	53.0	  3.0	 86	 11	10.030	 4.00e-02	 30.0	10.0	 9.800	 0.200	1
UGC 1736  	OHP 	 29	  2	 0.12	 0.01	29.0	  2.0	 77	  5	10.950	 4.00e-02	 54.0	 8.0	10.600	 0.200	1
UGC 1736  	SDSS	 22	  3	 0.24	 0.03	41.0	  3.0	 83	 10	10.980	 8.00e-02	 53.0	 4.0	10.740	 0.090	1
UGC 1810  	OHP 	 70	  3	 0.63	 0.02	71.0	  1.0	 61	  1	12.590	 3.00e-02	 34.0	    	12.000	      	0
UGC 1886  	OHP 	 43	  2	 0.48	 0.05	60.0	  4.0	 50	  3	12.200	 7.00e-02	 43.0	 7.0	11.600	 0.100	1
UGC 1913  	OHP 	-58	  2	 0.57	 0.01	67.4	  0.8	170	  7	10.280	 5.00e-02	171.0	 3.0	 9.520	 0.020	1
