#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:34:10 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:34:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/453/2965/table1&-out=Name,_RA,_DE,Mtype,TType,e_TType,Dist,Seeing&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74532965
#Name: J/MNRAS/453/2965
#Title: Surface photometry of GHASP galaxies (Barbosa+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	creator=Barbosa C.E.	    First author or institution
#INFO	cites=bibcode:2015MNRAS.453.2965B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/453/2965	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74532965	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_453_2965_table1:
#Name: J/MNRAS/453/2965/table1
#Title: Photometric sample of the GHASP survey
#Column	Name	(A10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Mtype	(a11)	Morphological classification according to the Hubble type from the Hyperleda data base	[ucd=src.morph.type]
#Column	TType	(F4.1)	Morphological classification according to the de Vaucouleurs numerical type from the Hyperleda data base	[ucd=src.morph.type]
#Column	e_TType	(F4.1)	Error on TType	[ucd=meta.note]
#Column	Dist	(F5.1)	Distance to the galaxy according to Epinat et al. (2008, Cat. J/MNRAS/390/466)	[ucd=pos.distance]
#Column	Seeing	(F4.1)	? Seeing (FWHM of the PSF) (OHP Rc-band observation log)	[ucd=instr.obsty.seeing]
Name	_RAJ2000	_DEJ2000	Mtype	TType	e_TType	Dist	Seeing
 	deg	deg	 	 	 	Mpc	arcsec
----------	----------	----------	-----------	----	----	-----	----
UGC 89    	002.472500	+25.923889	SBa        	 1.2	 0.6	 64.2	 2.7
UGC 94    	002.607917	+25.831944	S(r)ab     	 2.4	 0.6	 64.2	 2.3
IC 476    	116.817917	+26.950833	SABb       	 4.2	 2.6	 63.9	
UGC 508   	012.449167	+32.277778	SBab       	 1.5	 0.9	 63.8	 2.3
UGC 528   	013.017917	+47.550556	SABb       	 2.9	 1.1	 12.1	 1.9
NGC 542   	021.628750	+34.675278	Sb pec     	 2.8	 3.9	 63.7	
UGC 763   	018.232083	 +0.981667	SABm       	 8.6	 1.0	 12.7	 3.1
UGC 1013  	021.590833	+34.703056	SB(r)b pec 	 3.1	 0.2	 70.8	 2.5
UGC 1117  	023.462083	+30.660278	Sc         	 6.0	 0.4	  0.9	 2.7
UGC 1249  	026.874583	+27.333333	SBm pec    	 8.8	 0.6	  7.2	 2.1
UGC 1256  	026.977083	+27.432778	SBc pec    	 6.0	 0.3	  7.2	 2.1
UGC 1317  	027.823333	+22.358056	SAB(r)c    	 4.9	 0.7	 42.2	 2.6
UGC 1437  	029.425833	+35.916111	SABc       	 4.9	 1.0	 66.8	 2.6
UGC 1655  	032.540000	+39.190278	Sa         	 1.0	 0.5	 73.0	 2.4
UGC 1736  	033.865000	 +6.002500	SABc       	 5.1	 0.6	 17.6	 2.8
UGC 1810  	035.369583	+39.375556	Sb pec     	 3.1	 0.6	102.4	 2.4
UGC 1886  	036.502083	+39.470833	SABb       	 3.6	 0.6	 66.5	 2.3
UGC 1913  	036.820417	+33.579167	SBcd       	 7.0	 0.4	  9.3	 2.4
UGC 2023  	038.325833	+33.491111	I          	 9.9	 0.6	  7.8	 2.2
UGC 2045  	038.555833	+29.311389	Sab        	 2.0	 0.4	 22.7	 2.9
UGC 2053  	038.622083	+29.749722	IB         	 9.9	 0.4	 12.7	 2.4
UGC 2080  	039.116250	+38.970000	SABc       	 6.0	 0.3	 13.7	 1.7
UGC 2082  	039.067500	+25.423889	Sc         	 5.9	 0.5	 10.2	
UGC 2141  	039.812083	+30.151389	S0-a       	 0.4	 1.5	 12.2	 3.2
UGC 2183  	040.701250	+28.574167	Sa         	 1.0	 0.4	 18.6	 3.6
UGC 2193  	040.875000	+37.341389	Sc         	 5.3	 0.6	  9.8	 2.0
UGC 2455  	044.925833	+25.237222	IB         	 9.8	 0.6	  7.8	 2.1
UGC 2503  	045.895000	+46.386389	SB(r)b     	 2.6	 1.0	 34.4	 2.3
IC 2542   	151.960417	+34.315278	SBc        	 4.6	 1.3	 83.4	
UGC 2800  	055.010417	+71.405833	I          	 9.9	 0.7	 20.6	 2.3
UGC 2855  	057.086250	+70.132778	SABc       	 5.1	 0.6	 17.5	 2.4
