hrs	ugc	ngc	ra_deg	dec_deg	distance_Mpc	morphology	effective_radius_kpc	D25_kpc	i_magnitude	IRAC1_magnitude	log_stellar_mass	E_BV	Virgo_distance_deg	environment	HI_deficiency	HI_deficiency_missing	ellipticity	inclination_deg	position_angle_deg	Halpha_flux_1e16_W_m2	Halpha_SFR_proxy_Msun_year	specific_growth_per_year	curve_coverage_reff	spatial_beams
1			1.544152500000e+02	2.280997220000e+01	1.679000000000e+01	Pec	4.500000000000e-01	2.440000000000e+00	1.389900000000e+01	nan	8.720000000000e+00	3.110000000000e-02	3.488000000000e+01	Leo Cl.	0.000000000000e+00	True	6.000000000000e-01	6.700000000000e+01	1.750000000000e+02	1.580000000000e+00	3.148706083168e-02	5.999735753889e-11	2.580000000000e+00	450
2	5588		1.552380417000e+02	2.536483330000e+01	1.844000000000e+01	S?	3.900000000000e-01	1.390000000000e+00	1.325900000000e+01	nan	8.770000000000e+00	2.300000000000e-02	3.496000000000e+01	Leo Cl.	7.000000000000e-02	False	2.800000000000e-01	4.500000000000e+01	3.500000000000e+01	1.220000000000e+00	2.878427585331e-02	4.888271375860e-11	2.500000000000e+00	159
5			1.566182083000e+02	2.022819440000e+01	1.671000000000e+01	Sc	1.070000000000e+00	4.520000000000e+00	1.259000000000e+01	1.225300000000e+01	9.620000000000e+00	2.030000000000e-02	3.206000000000e+01	Leo Cl.	6.600000000000e-01	False	7.600000000000e-01	7.700000000000e+01	2.900000000000e+01	1.000000000000e-01	1.925424721972e-03	4.618772206159e-13	2.300000000000e+00	536
9	5731	3277	1.582310417000e+02	2.851172220000e+01	2.021000000000e+01	SA(r)ab;HII	1.400000000000e+00	5.730000000000e+00	1.103700000000e+01	1.146000000000e+01	1.008000000000e+01	2.660000000000e-02	3.360000000000e+01	Leo Cl.	4.900000000000e-01	False	2.800000000000e-01	4.500000000000e+01	2.160000000000e+02	2.500000000000e-01	7.144079514564e-03	5.942186518091e-13	2.930000000000e+00	3054
10	5738		1.586242500000e+02	3.525677780000e+01	2.166000000000e+01	S?	5.300000000000e-01	2.870000000000e+00	1.347000000000e+01	nan	8.710000000000e+00	2.710000000000e-02	3.699000000000e+01	Leo Cl.	1.200000000000e-01	False	3.000000000000e-01	4.700000000000e+01	3.200000000000e+01	2.570000000000e+00	8.445467050167e-02	1.646734832020e-10	2.600000000000e+00	467
11	5742	3287	1.586971250000e+02	2.164833330000e+01	1.893000000000e+01	SB(s)d	1.560000000000e+00	5.750000000000e+00	1.185000000000e+01	1.228200000000e+01	9.450000000000e+00	2.300000000000e-02	3.045000000000e+01	Leo Cl.	2.400000000000e-01	False	5.300000000000e-01	6.300000000000e+01	2.000000000000e+01	9.580000000000e+00	2.381992451998e-01	8.451628150222e-11	2.610000000000e+00	1843
12			1.589252917000e+02	2.612602780000e+01	1.989000000000e+01	cI	4.300000000000e-01	1.710000000000e+00	1.408800000000e+01	nan	8.470000000000e+00	2.300000000000e-02	3.189000000000e+01	Leo Cl.	6.000000000000e-02	False	3.400000000000e-01	4.900000000000e+01	3.000000000000e+01	1.820000000000e+00	4.995909909381e-02	1.692834877392e-10	2.160000000000e+00	250
17	5887	3370	1.617668750000e+02	1.727369440000e+01	1.830000000000e+01	SA(s)c	1.220000000000e+00	8.410000000000e+00	1.157000000000e+01	1.174700000000e+01	9.460000000000e+00	3.080000000000e-02	2.639000000000e+01	Leo Cl.	-9.000000000000e-02	False	4.700000000000e-01	5.800000000000e+01	3.230000000000e+02	1.970000000000e+01	4.660602347481e-01	1.616002579177e-10	2.410000000000e+00	5062
21	5958		1.628158750000e+02	2.784858330000e+01	1.689000000000e+01	Sbc	9.500000000000e-01	3.560000000000e+00	1.383800000000e+01	1.414000000000e+01	8.820000000000e+00	2.380000000000e-02	2.930000000000e+01	Leo Cl.	7.200000000000e-01	False	7.800000000000e-01	8.000000000000e+01	0.000000000000e+00	6.000000000000e-02	1.189828023578e-03	1.800877588791e-12	2.290000000000e+00	365
23	5972	3424	1.629430417000e+02	3.290075000000e+01	2.144000000000e+01	SB(s)b:?;HII	1.730000000000e+00	8.790000000000e+00	1.176100000000e+01	1.141800000000e+01	9.900000000000e+00	2.340000000000e-02	3.215000000000e+01	Leo Cl.	3.200000000000e-01	False	7.400000000000e-01	7.900000000000e+01	1.090000000000e+02	7.780000000000e+00	2.483720963853e-01	3.126819437201e-11	2.080000000000e+00	1929
