#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F386%2F140%2Ftable1.dat&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33860140
#Name: J/A+A/386/140
#Title: HI survey of polar ring galaxies. IV. (van Driel+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/386/140	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/386/140	    IVOID of underlying data collection
#INFO	creator=van Driel W.	    First author or institution
#INFO	cites=bibcode:2002A&A...386..140V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/386/140	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33860140	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_386_140_table1:
#Name: J/A+A/386/140/table1
#Title: Basic data for the Parkes polar ring galaxy H I survey sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Type	(A1)	[KGP] Type of polar-ring galaxy (1)	[ucd=src.class]
#Column	PRC	(a4)	PRC (Whitmore et al., 1990AJ....100.1489W) designation (2)	[ucd=meta.id;meta.main]
#Column	Name	(a12)	Identification in other catalogues	[ucd=meta.id]
#Column	RAJ2000	(A10)	Optical centre right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Optical centre declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Vopt	(I5)	? Optical systemic velocity (3)	[ucd=phys.veloc;pos.heliocentric]
#Column	n_Vopt	(A1)	[:)] Note on Vopt (4)	[ucd=meta.note]
#Column	e_Vopt	(I3)	? rms uncertainty on Vopt	[ucd=stat.error]
#Column	n_e_Vopt	(A1)	[)] Note on e_Vopt (4)	[ucd=meta.note]
#Column	BTmag	(F5.2)	Total blue magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	n_BTmag	(A1)	[)] Note on BTmag (4)	[ucd=meta.note]
#Column	D25	(F4.1)	Blue major axis diameter at the 25mag/arcsec^2^ isophotal level (3)	[ucd=phys.angSize;src]
#Column	n_VHI	(A1)	[*] Note concerning C-14 data (5)	[ucd=meta.note]
#Column	VHI	(I5)	? Centre velocity of the HI profile (5)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_VHI	(I2)	? rms uncertainty on VHI	[ucd=stat.error]
#Column	u_e_VHI	(A1)	Uncertainty flag on e_VHI	[ucd=meta.code.error]
#Column	W50	(I3)	? Width of the HI profile measured at the 50% level of the peak flux (5)	[ucd=spect.line.width]
#Column	W20	(I3)	? Width of the HI profile measured at the 20% level of the peak flux	[ucd=spect.line.width]
#Column	u_W20	(A1)	Uncertainty flag on W20	[ucd=meta.code.error]
#Column	l_IHI	(A1)	Limit flag on IHI	[ucd=meta.code.error]
#Column	IHI	(F4.1)	Integrated HI line flux (5)	[ucd=phot.flux]
#Column	rms	(F4.1)	rms noise level of the spectrum (5)	[ucd=instr.det.noise]
#Column	n_rms	(A1)	[/]	[ucd=meta.note]
#Column	rms2	(F4.1)	? Second value of rms (6)	[ucd=instr.det.noise]
#Column	Dist	(F5.1)	? Distance	[ucd=pos.distance]
#Column	logLB	(F5.2)	? Blue luminosity	[ucd=phys.luminosity;em.opt.B]
#Column	l_logMHI	(A1)	Limit flag on logMHI	[ucd=meta.code.error]
#Column	logMHI	(F5.2)	? HI mass	[ucd=phys.mass]
#Column	n_logMHI	(A2)	[m c?] Notes on logMHI (7)	[ucd=meta.note]
#Column	l_MHI/LB	(A1)	Limit flag on MHI/LB	[ucd=meta.code.error]
#Column	MHI/LB	(F5.2)	? Ratio of the total HI mass and blue luminosity	[ucd=phys.composition.massLightRatio]
#Column	Simbad	(A6)	ask the SIMBAD data-base about this object	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	Type	PRC	Name	RAJ2000	DEJ2000	Vopt	n_Vopt	e_Vopt	n_e_Vopt	BTmag	n_BTmag	D25	n_VHI	VHI	e_VHI	u_e_VHI	W50	W20	u_W20	l_IHI	IHI	rms	n_rms	rms2	Dist	logLB	l_logMHI	logMHI	n_logMHI	l_MHI/LB	MHI/LB	Simbad	NED
 	 	 	 	"h:m:s"	"d:m:s"	km/s	 	km/s	 	mag	 	arcmin	 	km/s	km/s	 	km/s	km/s	 	 	Jy.km/s	mJy	 	mJy	Mpc	[solLum]	 	[solMass]	 	 	Sun	 	
--------	-	----	------------	----------	---------	-----	-	---	-	-----	-	----	-	-----	--	-	---	---	-	-	----	----	-	----	-----	-----	-	-----	--	-	-----	------	---
       1	K	A-05	NGC 4650A   	12 44 48.8	-40 42 50	 2808	 	 97	 	13.91	 	 1.5	 	 2880	 3	 	221	240	 	 	19.5	 7.3	 	    	 35.9	 9.74	 	 9.77	  	 	 1.10	Simbad	NED
       2	K	B-19	AM 2020-504 	20 23 54.8	-50 39 05	 4989	 	 69	 	15.97	 	 1.2	 	 5006	43	:	390	650	:	 	 6.1	 4.4	 	    	 65.5	 9.44	 	 9.44	  	 	 2.20	Simbad	NED
       3	G	B-02	PGC 419347  	01 15 28.7	-54 26 53	     	 	   	 	16.83	 	 0.4	 	 5361	27	 	 98	225	:	 	 1.7	 3.3	 	    	 70.0	 9.15	 	     	c?	 	     	Simbad	NED
       4	G	B-04	PGC 145741  	03 37 57.6	-48 55 40	     	 	   	 	16.61	)	 0.6	 	     	  	 	   	   	 	<	 3.6	 4.5	/	 3.6	     	     	 	     	  	<	 2.40	Simbad	NED
       5	G	B-05	PGC 415379  	03 52 49.2	-54 49 50	     	 	   	 	16.46	 	 0.5	 	     	  	 	   	   	 	<	 4.1	 4.4	/	 4.7	     	     	 	     	  	<	 2.40	Simbad	NED
       6	G	B-06	AM 0442-622 	04 43 07.6	-62 19 42	     	 	   	 	16.32	 	 0.6	 	 7165	27	 	308	435	 	 	 2.8	 3.8	 	    	 92.7	 9.60	 	 9.76	  	 	 1.40	Simbad	NED
       7	G	B-18	AM 1934-563 	19 38 38.7	-56 27 30	11649	 	 60	 	15.93	 	 0.6	 	11282	24	 	193	308	 	 	 4.1	 3.3	 	    	153.8	10.19	 	     	c 	 	     	Simbad	NED
       8	G	B-22	PGC 13177   	23 31 54.6	-40 45 45	     	 	   	 	15.11	 	 0.8	 	     	  	 	   	   	 	<	 3.9	 4.5	/	 4.2	     	     	 	     	  	<	 0.65	Simbad	NED
       9	G	B-25	PGC 164989  	23 51 41.3	-39 10 31	19540	)	 50	)	16.08	 	 0.6	 	     	  	 	   	   	 	<	 6.6	 4.4	 	    	260.4	10.59	<	11.00	  	<	 2.70	Simbad	NED
      10	G	B-26	PGC 165022  	23 53 20.1	-40 25 53	16470	)	   	 	16.74	)	 0.7	 	     	  	 	   	   	 	<	 4.6	 4.4	 	    	219.3	10.18	<	10.70	  	<	 3.50	Simbad	NED
      11	G	B-27	ESO 293-IG17	23 56 25.3	-39 10 36	15300	 	 60	 	16.17	 	 1.0	 	     	  	 	   	   	 	<	 5.4	 4.5	 	    	203.8	10.34	<	10.70	  	<	 2.40	Simbad	NED
      12	P	C-07	ESO 113-IG4 	01 00 34.2	-57 44 56	 3130	 	200	 	15.67	 	 0.6	 	 3587	29	 	131	275	:	 	 2.1	 4.3	 	    	 46.2	 9.25	 	 9.03	  	 	 0.60	Simbad	NED
      13	P	C-08	ESO 243-IG19	01 02 49.2	-47 11 12	     	 	   	 	16.05	 	 0.6	 	 6438	40	 	335	435	 	 	 3.2	 5.1	 	    	 84.9	 9.63	 	 9.73	  	 	 1.30	Simbad	NED
      14	P	C-10	ESO 152-IG3 	01 28 24.8	-52 38 08	 3450	 	 60	 	16.17	 	 0.4	 	     	  	 	   	   	 	<	 2.5	 5.9	 	    	 44.6	 9.02	<	 9.10	  	<	 1.10	Simbad	NED
      15	P	C-11	NGC 625     	01 35 04.2	-41 26 15	  391	 	 44	 	11.61	 	 6.3	 	  396	 1	 	 79	112	 	 	32.1	 9.9	 	    	  4.6	 8.87	 	 8.20	  	 	 0.20	Simbad	NED
      16	P	C-14	NGC 979     	02 31 38.7	-44 31 28	     	 	   	 	14.22	 	 1.1	 	 5181	  	 	241	   	 	 	 2.1	 3.3	 	    	     	     	 	     	  	<	 0.22	Simbad	NED
      17	P	C-15	ESO 199-IG12	03 03 24.2	-50 29 51	 7030	 	 60	 	14.80	 	 1.4	 	 6873	18	 	409	532	 	 	10.0	 5.6	 	    	 89.8	10.18	 	10.28	  	 	 1.30	Simbad	NED
      18	P	C-16	AM 0320-495 	03 21 56.0	-49 48 03	     	 	   	 	16.11	 	 0.7	 	     	  	 	   	   	 	<	 4.0	 3.8	/	 5.1	     	     	 	     	  	<	 1.70	Simbad	NED
      19	P	C-20	ESO 201-IG26	04 15 17.6	-50 56 43	 3802	 	 47	 	15.45	 	 0.6	 	 3745	 6	 	213	225	 	 	 4.1	 5.2	 	    	 47.7	 9.37	 	 9.35	  	 	 0.95	Simbad	NED
      20	P	C-21	PGC 495219  	04 16 18.9	-47 49 14	     	 	   	 	16.88	 	 0.6	 	     	  	 	   	   	 	<	 3.7	 4.0	/	 4.2	     	     	 	     	  	<	 3.20	Simbad	NED
