r_arcsec	r_kpc	e_r_kpc	I_tot_faceon	e_I_tot_faceon	N_HI_faceon	e_N_HI_faceon	sigma_faceon	e_sigma_faceon	V_rot	e_V_rot	incl_deg	e_incl_deg	PA_deg	e_PA_deg	n_W	e_n_W	n_N	e_n_N	n_LOS	e_n_LOS
0	0.00	0.00	0.0	2.0	0.0	2.5	0.0	0.2	0.0	0.0										
12	0.88	0.22	0.0	2.0	0.0	2.5	0.0	0.2	154.2	79.0	35.3	18.7	245.0	68.7	-0.524	0.379	0.244	0.639	0.816	0.189
24	1.77	0.44	8.8	20.8	10.9	25.9	0.9	2.1	134.9	13.1	65.4	11.7	217.7	10.5	-0.556	0.142	0.720	0.122	0.416	0.186
36	2.65	0.66	72.4	7.3	90.4	9.1	7.2	0.7	131.2	5.6	69.7	4.0	204.7	4.0	-0.392	0.060	0.852	0.035	0.348	0.065
48	3.54	0.87	57.2	12.1	71.5	15.1	5.7	1.2	144.6	10.0	54.4	4.9	197.9	5.9	-0.249	0.081	0.774	0.054	0.582	0.070
60	4.42	1.09	33.5	11.8	41.9	14.7	3.4	1.2	163.9	30.5	47.8	7.6	160.0	8.9	0.253	0.112	0.696	0.093	0.672	0.099
72	5.31	1.31	39.0	11.5	48.7	14.3	3.9	1.1	146.1	18.2	41.5	8.3	161.1	10.9	0.215	0.125	0.627	0.111	0.749	0.096
84	6.19	1.53	15.9	11.2	19.8	14.0	1.6	1.1	183.1	41.9	31.0	11.3	147.4	4.1	0.277	0.096	0.434	0.144	0.857	0.101
96	7.08	1.75	22.0	9.9	27.4	12.4	2.2	1.0	184.0	20.7	33.6	13.6	120.0	12.5	0.479	0.182	0.276	0.144	0.833	0.132
108	7.96	1.97	14.0	8.6	17.5	10.8	1.4	0.9	141.5	6.4	60.6	4.0	132.9	6.4	0.638	0.071	0.593	0.075	0.490	0.061
120	8.85	2.19	21.9	3.9	27.4	4.9	2.2	0.4	160.0	8.2	59.5	4.0	126.1	4.0	0.696	0.046	0.508	0.053	0.507	0.060
140	10.32	2.55	16.8	2.0	21.0	2.5	1.7	0.2	152.2	11.6	67.3	4.0	122.6	4.0	0.777	0.041	0.497	0.056	0.385	0.064
160	11.80	2.91	17.5	2.0	21.8	2.5	1.7	0.2	151.0	8.2	70.0	4.0	125.5	4.0	0.765	0.043	0.545	0.055	0.342	0.066
180	13.27	3.28	15.2	2.0	18.9	2.5	1.5	0.2	156.4	8.2	69.1	4.2	126.7	4.0	0.749	0.044	0.558	0.055	0.358	0.068
200	14.75	3.64	5.0	2.0	6.2	2.5	0.5	0.2	152.1	8.2	64.5	7.0	125.8	4.0	0.732	0.057	0.527	0.060	0.431	0.111
240	17.69	4.37	2.4	2.0	3.0	2.5	0.2	0.2	147.5	8.2	63.6	4.0	124.5	4.0	0.738	0.044	0.507	0.054	0.445	0.063
280	20.64	5.10	2.0	2.0	2.5	2.5	0.2	0.2	137.5	8.2	62.5	4.0	121.3	4.2	0.758	0.044	0.460	0.059	0.462	0.062
320	23.59	5.83	0.5	2.0	0.6	2.5	0.0	0.2	143.9	15.0	64.8	4.3	123.2	13.7	0.757	0.122	0.496	0.182	0.425	0.068
360	26.54	6.56	0.8	2.0	1.0	2.5	0.1	0.2	139.6	15.0	66.7	4.0	121.9	7.1	0.780	0.065	0.485	0.098	0.396	0.064
400	29.49	7.29	0.2	2.0	0.2	2.5	0.0	0.2	146.7	15.0	66.9	8.4	119.5	10.0	0.801	0.093	0.454	0.143	0.392	0.134
420	30.96	7.65	0.9	2.0	1.2	2.5	0.1	0.2	168.8	15.0	67.4	10.6	119.0	10.0	0.807	0.100	0.448	0.145	0.384	0.171
