#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F702%2FA258%2Fuciprg.dat&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020258
#Name: J/A+A/702/A258
#Title: Catalogue of inspected PRGs - CIPRG (Dobrycheva+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a258	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a258	    IVOID of underlying data collection
#INFO	creator=Dobrycheva D.V.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A.258D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A258	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-ny/lcfi	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_702_A258_uciprg:
#Name: J/A+A/702/A258/uciprg
#Title: *Catalog of inspected polar ring galaxies (updated version, 12-Jun-2026)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a24)	Colloquial name	[ucd=meta.id;meta.main]
#Column	SDSSobjID	(I19)	? Long object SDSS identification	[ucd=meta.id]
#Column	RAJ2000	(F13.9)	Right ascension (J2000) from SDSS	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination (J2000) from SDSS	[ucd=pos.eq.dec;meta.main]
#Column	Catalogue	(a25)	Name of the catalogue or publication from which the object was taken (1)	[ucd=meta.id;meta.table]
#Column	Type	(a23)	Type assigned to the object in the study it was taken from (2)	[ucd=src.class]
#Column	SDSS	(I1)	Availability in SDSS (3)	[ucd=meta.code]
#Column	DESILegacy	(I1)	Availability in DESI Legacy Survey (4)	[ucd=meta.note]
#Column	VisualSDSS	(a10)	Type assigned after visual inspection through SDSS (5)	[ucd=src.class]
#Column	VisualDESI	(a11)	Type assigned after visual inspection through DESI Legacy Survey (6)	[ucd=src.class]
#Column	ArtifactSDSS	(I1)	[0/1] Presence of an artifact in the SDSS image (7)	[ucd=meta.code]
#Column	ArtifactDESI	(I1)	[0/1]? Presence of an artifact in the DESI Legacy Survey image (8)	[ucd=meta.code]
#Column	zph	(F9.6)	? Photometric redshift taken from SDSS	[ucd=src.redshift]
#Column	zsp	(F12.9)	? Spectroscopic redshift taken from SDSS	[ucd=src.redshift]
#Column	kconf	(A3)	Available kinematic confirmation (9)	[ucd=meta.code]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
recno	Name	SDSSobjID	RAJ2000	DEJ2000	Catalogue	Type	SDSS	DESILegacy	VisualSDSS	VisualDESI	ArtifactSDSS	ArtifactDESI	zph	zsp	kconf	Sloan
 	 	 	deg	deg	 	 	 	 	 	 	 	 	 	 	 	
--------	------------------------	-------------------	-------------	---------------	-------------------------	-----------------------	-	-	----------	-----------	-	-	---------	------------	---	-----
       1	A01                     	1237679438273183783	024.730255000	-07.76560000000	Whitmore et al. 1990     	kinematically_confirmed	1	1	strong    	 strong    	0	0	 0.034867	 0.018440000	yes	Sloan
       2	A02                     	                   	037.083792000	-31.88102800000	Whitmore et al. 1990     	kinematically_confirmed	0	1	          	 strong    	0	0	         	 0.015360000	yes	Sloan
       3	A03                     	1237663529725788240	133.894628000	+58.73439800000	Whitmore et al. 1990     	kinematically_confirmed	1	1	strong    	 strong    	0	0	 0.009088	 0.002940000	yes	Sloan
       4	A04                     	1237667444582449193	186.924414000	+28.69807700000	Whitmore et al. 1990     	kinematically_confirmed	1	1	strong    	 strong    	0	0	 0.036584	 0.023410000	yes	Sloan
       5	A05                     	                   	191.204417000	-40.71430600000	Whitmore et al. 1990     	kinematically_confirmed	0	1	          	 strong    	0	0	         	 0.009610000	yes	Sloan
       6	A06                     	1237662500001743084	228.984784000	+43.16663600000	Whitmore et al. 1990     	kinematically_confirmed	1	1	strong    	 strong    	0	0	 0.041587	 0.017980000	yes	Sloan
       7	B01                     	                   	011.600917000	-13.44236100000	Whitmore et al. 1990     	good_candidates        	0	1	          	 weak      	0	0	         	 0.005740000	yes	Sloan
       8	B03                     	1237678806383460363	020.949417000	+33.05533300000	Whitmore et al. 1990     	good_candidates        	1	1	strong    	 strong    	0	0	 0.034978	 0.015230000	yes	Sloan
       9	B09                     	1237661851992784978	144.302717000	+38.09237200000	Whitmore et al. 1990     	good_candidates        	1	1	weak      	 weak      	0	0	 0.030845	 0.020050030	yes	Sloan
      10	B11                     	1237671685323489310	156.041487000	+78.62879400000	Whitmore et al. 1990     	good_candidates        	1	1	weak      	 weak      	0	0	 0.019107	            	yes	Sloan
      11	B16                     	                   	201.062250000	-10.65427800000	Whitmore et al. 1990     	good_candidates        	0	1	          	 good      	0	1	         	 0.009400000	yes	Sloan
      12	B17                     	1237662306192523301	222.810048000	+35.54226900000	Whitmore et al. 1990     	good_candidates        	1	1	good      	 good      	0	0	 0.015350	 0.004258812	yes	Sloan
      13	B18                     	                   	294.659958000	-56.45791700000	Whitmore et al. 1990     	good_candidates        	0	1	          	 weak      	0	0	         	 0.038860000	yes	Sloan
      14	B19                     	                   	305.978875000	-50.65183300000	Whitmore et al. 1990     	good_candidates        	0	1	          	 strong    	0	0	         	 0.016950000	yes	Sloan
      15	B21                     	                   	342.841917000	-20.24722200000	Whitmore et al. 1990     	good_candidates        	0	1	          	 strong    	0	1	         	 0.010420000	yes	Sloan
      16	C03                     	                   	011.781375000	-24.37069400000	Whitmore et al. 1990     	possible_candidates    	0	1	          	 strong    	0	0	         	 0.052710000	yes	Sloan
      17	C13                     	1237653651309002968	025.760000000	+13.64505600000	Whitmore et al. 1990     	possible_candidates    	1	1	strong    	 strong    	0	0	 0.186759	 0.002856168	yes	Sloan
      18	C27                     	1237667292646605055	125.966568000	+14.75171800000	Whitmore et al. 1990     	possible_candidates    	1	1	irr       	 irr       	0	0	         	 0.006570000	yes	Sloan
      19	C28                     	                   	138.429250000	+76.47533300000	Whitmore et al. 1990     	possible_candidates    	0	1	          	 weak      	0	0	         	 0.004920000	yes	Sloan
