#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F319%2F401%2Ftable1&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33190401
#Name: J/A+A/319/401
#Title: HI survey of polar ring galaxies. II. (Huchtmeier 1997)
#INFO	ivoid=ivo://cds.vizier/j/a+a/319/401	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/319/401	    IVOID of underlying data collection
#INFO	creator=Huchtmeier W.K.	    First author or institution
#INFO	cites=bibcode:1997A&A...319..401H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=1997	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/319/401	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33190401	    Dataset identifier that can be used for citation
#INFO	publication_date=1999-02-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_A_319_401_table1:
#Name: J/A+A/319/401/table1
#Title: Optical and HI data
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	PRC	(a4)	PRC identifier (=1990AJ....100.1489W)	[ucd=meta.id]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	MType	(a4)	Morphological type	[ucd=src.morph.type]
#Column	RA1950	(A8)	Right ascension (1950.0)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination (1950.0)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(I5)	? Heliocentric optical radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I3)	? rms uncertainty on HRV	[ucd=stat.error]
#Column	BT	(F5.2)	? Total blue apparent magnitude	[ucd=phot.mag;em.opt.B]
#Column	D25	(F5.2)	? Major axis diameter	[ucd=phys.angSize;src]
#Column	SHI	(F5.2)	? HI-flux	[ucd=phot.flux]
#Column	SMax	(F6.2)	? Maximum intensity	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_SMax	(F4.1)	? rms uncertainty on SMax	[ucd=stat.error]
#Column	VHI	(I4)	? HI-velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_VHI	(I2)	? rms uncertainty on VHI	[ucd=stat.error]
#Column	dv20	(I3)	? linewidth at 20% of the peak	[ucd=spect.line.width]
recno	PRC	Name	MType	RA1950	DE1950	HRV	e_HRV	BT	D25	SHI	SMax	e_SMax	VHI	e_VHI	dv20
 	 	 	 	"h:m:s"	"d:m:s"	km/s	km/s	mag	arcmin	Jy.km/s	mJy	mJy	km/s	km/s	km/s
--------	----	----------	----	--------	---------	-----	---	-----	-----	-----	------	----	----	--	---
       1	D-02	NGC235    	S0  	00 40 24	-23 48 55	 6664	 21	14.24	 1.32	 2.40	  9.00	 2.2	6765	26	303
       2	B-01	IC51      	E/S0	00 43 54	-13 42 57	 1666	   	     	 1.35	 9.40	 70.00	 6.0	1728	 5	216
       3	D-03	E474-28   	Sbc 	00 45 07	-23 04 12	 6800	   	14.91	 0.73	 3.00	 24.00	 3.0	6635	20	135
       4	C-09	NGC442    	S0  	01 12 05	-01 17 48	 5620	 50	13.98	 0.98	     	      	 3.0	    	  	
       5	D-44	NGC520    	S0  	01 22 00	+03 31 54	 2224	   	12.05	 6.80	21.30	 10.60	 5.2	2189	 5	450
       6	A-01	A0136-0801	S0  	01 36 26	-08 01 19	 5523	   	15.82	     	 3.00	 18.00	 6.0	5670	27	310
       7	C-12	UGC1198   	E   	01 40 58	+85 00 38	 1207	   	14.40	 1.00	 3.60	 32.00	 2.4	1152	25	152
       8	C-24	UGC4261   	S   	08 07 40	+36 58 38	 6421	   	14.07	 0.91	 3.00	 21.00	 3.0	6404	18	239
       9	C-25	UGC4323   	E   	08 15 36	+67 08 22	 3943	106	13.90	 1.58	 0.90	 11.00	 4.4	4037	30	250
      10	C-26	UGC4332   	S   	08 16 43	+21 16 23	 5505	 94	14.21	 1.32	 4.30	      	 1.8	5412	30	620
      11	C-27	UGC4385   	I   	08 21 04	+14 54 54	     	   	14.33	 0.87	 7.40	 62.00	 4.0	1968	 5	177
      12	C-28	NGC2748   	Sbc 	09 08 02	+76 40 53	 1456	 58	11.69	 3.02	54.00	140.00	13.0	1478	 2	140
      13	D-12	UGC4892   	Sbc 	09 13 32	+45 54 34	     	   	14.86	     	     	      	 3.0	    	  	
      14	C-29	NGC2865   	E   	09 21 15	-22 56 54	 2611	 13	12.18	 2.45	 1.70	 26.00	 7.0	2850	20	159
      15	C-30	UGC5101   	S   	09 32 05	+61 34 33	11945	 35	14.72	     	     	      	 2.2	    	  	
      16	B-10	UGC5119   	S0  	09 34 08	+38 19 01	 5982	 38	14.48	 0.10	 7.00	 34.00	 5.0	5856	 4	353
      17	C-32	IC575     	Sa  	09 52 04	-06 51 28	     	   	14.50	 4.07	 1.60	  9.50	 4.0	6639	40	273
      18	D-14	UGC5485   	Sab 	10 07 40	+65 31 23	     	   	15.10	     	16.20	 85.00	 3.9	5990	 5	331
      19	B-11	UGC5600   	S0  	10 19 17	+78 52 52	 2823	   	     	 1.41	11.10	101.00	 7.8	2769	 2	156
      20	C-33	E500-41   	Sab 	10 24 35	-23 50 03	     	   	14.22	 1.07	 5.00	 24.00	 4.4	3570	12	332
      21	D-15	NGC3310   	Sbc 	10 35 40	+53 45 46	 1018	 12	10.95	 3.09	54.40	300.00	 6.2	 983	 3	234
      22	C-35	NGC3414   	S0  	10 48 32	+28 14 28	 1434	 27	11.86	 3.55	 1.20	  6.00	 1.8	1526	25	322
      23	D-16	NGC3406   	S0/a	10 48 45	+51 17 15	 7139	   	13.70	     	     	      	 6.9	    	  	
      24	C-37	UGC6182   	Sc  	11 05 08	+53 53 16	 1255	   	14.07	 0.93	10.70	135.00	 8.7	1230	 5	114
      25	C-38	NGC3934   	S0/a	11 49 36	+17 07 00	 3626	 56	14.28	 1.07	15.90	 85.00	 5.7	3702	 8	317
      26	C-39	NGC4174   	Sb  	12 09 55	+29 25 38	 3980	 32	13.81	 0.83	 9.40	 63.00	 3.8	3936	 9	262
      27	D-21	UGC7636   	Im  	12 27 28	+08 12 24	     	   	14.71	 1.10	 0.63	 21.00	 3.6	 475	10	 47
      28	D-22	NGC4643   	SB0 	12 40 47	+02 15 06	 1399	 58	11.54	 3.09	 2.30	 13.00	 2.3	1325	20	274
      29	D-23	NGC4753   	S0  	12 49 49	-00 55 40	 1237	 38	10.71	 6.02	 0.55	  8.00	 2.1	1396	10	 91
      30	D-24	AM1257-22 	E   	12 57 41	-22 25 36	     	   	13.53	 1.10	 1.00	 11.00	 3.0	2806	30	390
      31	D-25	UGC8387   	Im  	13 18 17	+34 24 04	 6892	 25	14.32	 1.55	     	      	 2.4	    	  	
      32	C-44	NGC5103   	Sab 	13 18 18	+43 20 45	 1283	 50	13.36	 1.44	 3.50	 37.00	 3.0	1288	10	141
