Name	disk_a_arcsec	disk_b_arcsec	disk_PA_deg	ring_a_arcsec	ring_b_arcsec	ring_PA_deg	z	delta1_deg	delta2_deg	Dring_over_Ddisk
SPRC 1	7.2	3.6	92	5.6	2.4	10	0.073	71	84	0.78
SPRC 2	10.7	7.5	17	19.8	5.9	85	0.035	62	86	1.85
SPRC 3	5.7	2.8	325	12.1	2.9	66	0.037	86	74	2.11
SPRC 4	9.1	3.7	122	9.5	4.0	27	0.043	85	77	1.04
SPRC 5	4.0	3.2	220	8.7	2.0	106	0.028	86	65	2.20
SPRC 6	4.8	3.2	29	6.1	2.8	149	0.019	87	50	1.28
SPRC 7	4.2	3.2	150	17.8	9.5	50	0.060	72	60	4.28
SPRC 8	5.2	2.8	130	7.6	2.4	27	--	88	69	1.46
SPRC 9	5.7	1.9	10	5.5	1.4	94	0.145	80	88	0.97
SPRC 10	5.7	1.8	320	6.9	1.0	40	0.042	78	82	1.21
SPRC 11	6.7	3.2	125	10.4	3.5	30	0.066	85	77	1.56
SPRC 12	4.0	2.3	135	6.3	2.0	37	0.063	86	73	1.60
SPRC 13	8.3	3.2	15	13.1	2.4	97	0.032	79	86	1.57
SPRC 14	8.7	5.2	130	17.8	5.9	35	0.032	83	75	2.05
SPRC 15	9.9	4.4	144	11.9	4.0	22	0.034	71	53	1.20
SPRC 16	5.5	2.5	119	10.7	2.4	48	0.060	67	78	1.93
SPRC 17	10.0	4.4	100	7.6	2.4	10	0.026	82	82	0.76
SPRC 18	4.2	2.8	45	5.5	2.6	150	0.082	82	61	1.33
SPRC 19	4.8	2.4	109	5.9	1.8	12	0.105	87	75	1.25
SPRC 20	5.1	4.0	0	17.0	1.6	97	0.074	89	81	3.34
SPRC 21	3.6	2.2	9	4.8	2.0	99	0.081	75	75	1.33
SPRC 22	3.4	2.6	70	7.3	2.0	335	0.160	81	75	2.18
SPRC 23	9.9	6.7	65	13.1	5.2	4	0.028	53	85	1.32
SPRC 24	8.3	7.1	80	17.8	5.7	340	0.047	79	68	2.14
SPRC 25	3.6	2.0	89	7.9	1.6	4	0.073	79	88	2.22
SPRC 26	3.8	2.4	177	6.7	1.2	99	--	74	86	1.79
SPRC 27	5.9	2.7	125	14.3	2.2	30	0.048	89	81	2.40
SPRC 28	6.0	3.2	60	5.4	2.0	320	0.077	87	70	0.90
SPRC 29	5.6	4.0	0	7.9	2.0	116	0.047	82	61	1.43
SPRC 30	3.8	2.2	30	3.8	1.6	130	0.075	84	68	1.00
SPRC 31	7.2	5.2	105	14.0	2.4	358	0.050	85	71	1.94
SPRC 32	5.3	3.0	5	4.8	1.3	103	0.035	88	75	0.89
SPRC 33	55.0	47.0	0	120.0	50.0	25	0.005	37	85	2.18
SPRC 34	5.3	3.0	343	9.9	1.6	73	0.081	85	85	1.85
SPRC 35	5.3	1.7	115	9.1	1.3	15	0.068	82	78	1.70
SPRC 36	5.9	2.4	15	4.4	1.6	115	--	88	73	0.73
SPRC 37	4.4	2.4	134	6.3	2.0	39	0.068	84	76	1.45
SPRC 38	11.1	4.8	115	15.8	5.9	12	0.039	87	70	1.43
SPRC 39	7.1	4.0	115	15.8	3.6	50	0.029	62	76	2.22
SPRC 40	47.5	13.1	105	26.9	5.9	57	0.004	46	53	0.57
SPRC 41	9.3	3.8	342	9.1	2.6	100	0.061	71	58	0.98
SPRC 42	8.5	6.1	10	51.5	5.6	60	0.023	58	67	6.04
SPRC 43	4.8	3.2	10	7.5	1.8	67	0.171	56	75	1.58
SPRC 44	5.9	2.4	49	5.2	2.6	320	0.113	79	80	0.87
SPRC 45	4.8	4.0	0	8.8	2.4	85	0.072	74	79	1.83
SPRC 46	4.9	2.0	72	4.8	1.6	7	0.128	60	75	0.96
SPRC 47	31.7	5.6	110	27.7	7.1	360	0.031	70	70	0.88
SPRC 48	8.7	5.2	23	13.9	3.6	123	0.056	89	73	1.59
SPRC 49	9.9	5.9	310	15.8	6.9	43	0.068	77	73	1.60
SPRC 50	8.7	5.3	40	31.7	4.0	2	0.078	45	56	3.64
SPRC 51	4.2	2.0	7	6.7	2.8	90	0.075	73	85	1.62
SPRC 52	21.6	4.6	80	15.8	4.0	146	0.015	65	67	0.73
SPRC 53	5.1	2.2	312	4.0	1.8	48	0.083	85	74	0.78
SPRC 54	5.3	4.3	45	14.6	2.2	334	0.039	71	85	2.74
SPRC 55	4.8	3.6	0	13.9	1.5	85	0.086	82	88	2.92
SPRC 56	13.2	11.6	120	16.0	5.6	338	0.055	86	48	1.21
SPRC 57	3.6	2.6	145	5.2	1.8	27	0.070	86	56	1.45
SPRC 58	7.6	7.2	103	24.0	3.2	332	--	85	70	3.16
SPRC 59	4.5	3.5	70	12.3	2.6	343	--	78	82	2.73
SPRC 60	3.4	3.2	135	9.9	2.4	55	0.078	73	80	2.94
SPRC 61	8.4	5.2	49	12.0	2.4	320	0.046	82	83	1.43
SPRC 62	2.6	2.4	45	5.2	1.7	45	--	48	86	2.00
SPRC 63	2.4	1.8	130	4.3	1.4	60	0.074	62	88	1.79
SPRC 64	3.1	2.2	350	5.2	1.6	101	--	87	62	1.67
SPRC 65	11.9	2.6	92	9.9	3.2	310	0.067	44	39	0.83
SPRC 66	8.8	4.4	33	9.2	2.8	117	0.087	76	86	1.05
SPRC 67	18.6	4.4	113	25.7	3.2	347	0.028	55	53	1.38
SPRC 68	15.8	4.8	30	7.9	4.8	115	--	78	86	0.50
SPRC 69	5.9	3.6	135	14.7	2.8	32	0.025	85	73	2.47
SPRC 70	5.2	2.4	100	9.1	3.0	13	0.069	79	84	1.77
SPRC 241	13.9	6.7	9	27.7	15.8	110	0.018	83	66	2.00
SPRC 260	16.6	7.9	82	27.7	15.8	15	0.021	57	87	1.67
PRC A3	60.0	32.0	38	46.0	18.0	110	0.003	63	87	0.77
PRC A4	14.3	7.9	133	43.6	4.4	53	0.023	78	84	3.05
PRC A6	15.8	7.9	125	49.5	7.9	17	0.018	78	69	3.13
PRC B9	15.8	10.7	5	21.4	5.9	69	0.020	60	82	1.35
PRC B17	26.0	10.0	135	32.0	6.0	24	0.004	74	66	1.23
PRC C13	122.8	39.2	40	277.2	59.4	352	0.003	46	54	2.26
