R_arcsec	V_kms	e_V_kms	sigma_kms	e_sigma_kms
-23.93	-135.3	27.3	61.4	34.2
-15.68	-47.0	18.6	38.0	23.6
-14.03	-57.7	16.9	89.9	19.5
-12.38	-72.2	14.3	63.7	14.0
-10.73	-68.7	7.8	45.4	9.9
-9.08	-59.4	9.5	77.5	9.6
-7.43	-50.5	6.1	45.2	6.8
-5.78	-23.2	4.8	60.9	4.8
-4.13	-32.6	4.3	63.0	4.5
-2.48	-25.6	3.0	54.3	3.4
-0.83	-0.4	2.6	60.4	2.4
0.83	3.2	2.6	59.5	2.1
2.48	12.2	3.9	57.0	4.1
4.13	43.8	7.4	64.8	9.2
5.78	44.2	7.4	70.4	8.9
7.43	63.0	6.5	56.5	7.2
9.08	61.5	8.7	70.8	8.9
10.73	79.7	7.4	45.3	9.9
12.38	87.2	12.1	71.6	16.4
14.03	71.7	15.6	65.4	17.1
15.68	89.2	14.3	43.8	23.6
17.33	90.9	2.6	6.4	25.7
25.58	91.7	35.1	10.8	133.2
