#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F554%2FA11%2Fspectra.dat&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35540011
#Name: J/A+A/554/A11
#Title: CO observations of polar ring galaxies (Combes+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/554/a11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/554/a11	    IVOID of underlying data collection
#INFO	creator=Combes F.	    First author or institution
#INFO	cites=bibcode:2013A&A...554A..11C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/554/A11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35540011	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_554_A11_spectra:
#Name: J/A+A/554/A11/spectra
#Title: Source, line and central velocity of spectrum
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nsp	(I2)	Spectrum number	[ucd=meta.id;meta.main]
#Column	SPRC	(I3)	SPRC identification of galaxy	[ucd=meta.id;meta.main]
#Column	Line	(A7)	Line, CO(1-0) or CO(2-1)	[ucd=meta.id;spect.line]
#Column	Vsys	(F6)	Systemic velocity, i.e. spectrum center	[ucd=phys.veloc]
#Column	FileName	(A10)	Name of the file with spectrum in subdirectory sp	[ucd=meta.id;meta.file]
#Column	sp	(A2)	plot of spectrum	[ucd=meta.ref.url]
recno	Nsp	SPRC	Line	Vsys	FileName	sp
 	 	 	 	km/s	 	
--------	--	---	-------	------	----------	--
       1	 1	 14	CO(1-0)	  9548	spec1.dat 	sp
       2	 2	 14	CO(2-1)	  9548	spec2.dat 	sp
       3	 3	 42	CO(1-0)	  7041	spec3.dat 	sp
       4	 4	 42	CO(2-1)	  7041	spec4.dat 	sp
       5	 5	 47	CO(1-0)	  9370	spec5.dat 	sp
       6	 6	 47	CO(2-1)	  9370	spec6.dat 	sp
       7	 7	 48	CO(1-0)	 16788	spec7.dat 	sp
       8	 8	 48	CO(2-1)	 16788	spec8.dat 	sp
       9	 9	 69	CO(1-0)	  7396	spec9.dat 	sp
      10	10	 69	CO(2-1)	  7396	spec10.dat	sp

