#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:23 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:23	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F319%2F401%2Ftable2&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33190401
#Name: J/A+A/319/401
#Title: HI survey of polar ring galaxies. II. (Huchtmeier 1997)
#INFO	ivoid=ivo://cds.vizier/j/a+a/319/401	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/319/401	    IVOID of underlying data collection
#INFO	creator=Huchtmeier W.K.	    First author or institution
#INFO	cites=bibcode:1997A&A...319..401H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=1997	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/319/401	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33190401	    Dataset identifier that can be used for citation
#INFO	publication_date=1999-02-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_319_401_table2:
#Name: J/A+A/319/401/table2
#Title: Derived global parameters from the combined sample of paper 1 and 2
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	PRC	(a4)	PRC identifier (=1990AJ....100.1489W)	[ucd=meta.id]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	MType	(a4)	Morphological type	[ucd=src.morph.type]
#Column	LB	(F5.2)	B Luminosity	[ucd=phys.luminosity;em.opt.B]
#Column	l_MHI	(A2)	[=<] Limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F6.3)	HI mass	[ucd=phys.mass]
#Column	l_MHI/LB	(A2)	[=<] Limit flag on MHI/LB	[ucd=meta.code.error]
#Column	MHI/LB	(F6.3)	HI mass versus B luminosity ratio	[ucd=]
recno	PRC	Name	MType	LB	l_MHI	MHI	l_MHI/LB	MHI/LB
 	 	 	 	10+9solLum	 	10+9solMass	 	Sun
--------	----	----------	----	-----	--	------	--	------
       1	D-03	E474-28   	Sbc 	13.40	  	 5.210	  	 0.390
       2	C-09	NGC442    	S0  	14.70	  	 2.140	  	 0.146
       3	D-04	E296-11   	S   	11.50	  	15.300	  	 1.337
       4	C-11	NGC625    	I   	 0.65	  	 0.180	  	 0.273
       5	A-01	A0136-0801	S0  	 4.12	  	 4.530	  	 1.100
       6	C-13	NGC660    	S   	 4.68	  	 8.550	  	 1.830
       7	C-12	UGC1198   	E   	 0.50	  	 0.200	  	 0.400
       8	A-02	E415-26   	S0  	 7.51	  	 5.360	  	 0.710
       9	C-14	NGC979    	S0/a	18.60	  	24.000	  	 1.290
      10	C-18	E358-20   	I   	 1.25	  	 0.220	  	 0.170
      11	C-24	UGC4261   	S   	15.10	  	 6.600	  	 0.440
      12	C-25	UGC4323   	E   	 7.12	  	 1.860	  	 0.260
      13	C-26	UGC4332   	S   	19.00	  	 5.500	  	 0.290
      14	C-27	UGC4385   	I   	 1.68	  	 1.120	  	 0.670
      15	A-03	NGC2685   	S0  	 3.91	  	 1.420	  	 0.360
      16	C-28	NGC2748   	Sbc 	15.00	  	 5.820	  	 0.390
      17	C-29	NGC2865   	E   	19.30	  	 0.450	  	 0.023
      18	C-30	UGC5101   	S   	24.60	<=	 5.830	<=	 0.240
      19	B-10	UGC5119   	S0  	15.20	  	10.000	  	 0.660
      20	C-33	E500-41   	Sab 	 6.15	  	 2.270	  	 0.370
      21	D-15	NGC3310   	Sbc 	11.60	  	 2.300	  	 0.200
      22	C-37	UGC6182   	Sc  	 1.05	  	 0.740	  	 0.710
      23	B-12	E503-17   	S   	 6.76	<=	13.900	<=	 2.050
      24	C-41	IC3370    	E   	38.00	  	 0.510	  	 0.013
      25	A-04	UGC7576   	S0  	 6.16	  	 5.000	  	 0.810
      26	D-22	NGC4643   	SB0 	 5.29	  	 0.093	  	 0.018
      27	A-05	NGC4650A  	S0  	 3.73	  	 3.720	  	 1.000
      28	C-42	NGC4672   	Sa  	 5.58	  	 2.800	  	 0.500
      29	D-23	NGC4753   	S0  	21.80	  	 0.040	  	 0.002
      30	C-44	NGC5103   	Sab 	 1.85	  	 0.390	  	 0.210
      31	D-43	E510-13   	Sa  	13.80	  	 1.440	  	 0.100
      32	C-48	E326-I6   	N   	19.20	<=	12.400	<=	 0.650
      33	B-17	UGC9562   	S0  	 0.81	  	 0.970	  	 1.200
      34	A-06	UGC9796   	S0  	 3.23	  	 4.410	  	 1.360
      35	C-50	UGC10205  	Sa  	24.30	  	 5.620	  	 0.230
      36	D-30	E341-I4   	Sa  	44.70	  	13.800	  	 0.310
      37	D-35	NGC7252   	S0  	66.70	  	 3.700	  	 0.060
      38	C-69	NGC7468   	S0  	 3.24	  	 3.640	  	 1.120

