Object	PRC	V_kms	M_Kn	M_B	dV20_kms	Ref
A0136-0801	A-01	5528		-19.23	365	vD
ESO415-G26	A-02	4604	-22.69	-19.24	360	vD
NGC2685	A-03	871		-18.20	335	vD
UGC7576	A-04	7022		-19.02	465	vD
NGC4650A	A-05	2910	-21.37	-18.67	235	vD
UGC9796	A-06	5420		-18.25	355	vD
ARP230	B-01	1710	-20.95	-18.40	245	vD
IC1689	B-03	4557		-20.40	300	vG
ESO503-G17	B-12	10481		-19.19	415	vD
UGC9562	B-17	1242		-16.68	200	vD
AM2020-504	B-19	4963	-22.63	-19.60	182	vD,A
ESO603-G21	B-21	3124	-21.74	-18.60	285	vD
NGC660	C-13	850		-18.25	325	vD
UGC4261	C-24	6408		-19.87	240	vD
UGC4385	C-27	1969		-17.58	195	vD
ESO235-G58		4262	-22.13	-19.21	292	vD
