#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:22:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/716/198/table2&-out=UGC,Type,HRV,Dist,KMag,B-K,mu0,hR,Sel,Ha,HI&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17160198
#Name: J/ApJ/716/198
#Title: The DiskMass survey. I. (Bershady+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	creator=Bershady M.A.	    First author or institution
#INFO	cites=bibcode:2010ApJ...716..198B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/716/198	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17160198	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_716_198_table2:
#Name: J/ApJ/716/198/table2
#Title: DiskMass sample
#Column	UGC	(I5)	UGC number	[ucd=meta.id;meta.main]
#Column	Type	(a6)	Hubble morphological type	[ucd=src.morph.type]
#Column	HRV	(I5)	NED heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.1)	NED distance (2)	[ucd=pos.distance;pos.heliocentric]
#Column	KMag	(F5.1)	? Absolute K-band magnitude applying distance modulus and Galactic extinction corrections	[ucd=phys.magAbs;em.IR.K]
#Column	B-K	(F4.1)	? Rest-frame B-K color index, corrected for Galactic extinction	[ucd=phot.color;em.opt.B;em.IR.K]
#Column	mu0	(F4.1)	Estimated disk central surface brightness from POSS images, calibrated to R band	[ucd=phot.mag.sb]
#Column	hR	(F4.1)	Estimated disk radial scale length	[ucd=phys.angSize;src]
#Column	Sel	(a6)	Disk-mass Phase-A sample selection (3)	[ucd=meta.code]
#Column	Ha	(A3)	H{alpha} IFU observations (D=DensePak or S=SparsePak)	[ucd=meta.code]
#Column	HI	(a5)	21cm aperture-synthesis observations (V: VLA, W: Westerbork and/or G: GMRT)	[ucd=meta.code]
UGC	Type	HRV	Dist	KMag	B-K	mu0	hR	Sel	Ha	HI
 	 	km/s	Mpc	mag	mag	mag/arcsec2	arcsec	 	 	
-----	------	-----	-----	-----	----	----	----	------	---	-----
   16	Sbc   	 5239	 70.6	-24.8	 3.9	20.6	14.4	4,d   	S  	
   74	SABc  	 3941	 53.2	-23.6	 3.7	20.7	13.3	4,d   	S  	G
  102	SABa  	 6791	 91.6	-25.0	 4.2	20.8	15.4	4     	S  	
  305	Sc    	 9934	133.9	-25.0	 3.5	21.0	10.5	4     	S  	
  311	Scd   	 6433	 86.6	-24.1	 3.0	20.4	10.2	4,d   	S  	
  419	SABc  	 4415	 59.1	-24.0	 4.1	19.5	13.3	4     	   	
  448	SABc  	 4857	 65.3	-24.0	 3.7	20.8	13.9	d     	S  	W
  463	SABc  	 4452	 59.6	-24.5	 3.6	19.8	12.4	p,4,d 	S  	V
  468	SABc  	 4561	 61.0	-22.7	 2.7	20.6	13.5	4     	   	
  473	S0/a  	12247	164.4	-26.2	 4.3	19.9	10.2	d     	   	
  476	Sb    	 4060	 54.6	-22.8	 2.1	17.8	 7.5	4     	   	
  678	Scd   	 5521	 73.5	-23.3	 3.2	20.5	 9.4	4     	S  	
  892	SBab  	 5240	 69.7	-24.3	 3.9	19.5	11.4	4,d   	S  	
  929	Scd   	 7465	 99.5	-24.1	 3.2	20.2	 8.1	4     	   	
 1069	S     	 4658	 62.4	-22.9	 3.0	21.2	12.0	4     	S  	
 1081	SBc   	 3128	 41.8	-22.9	 3.1	20.4	23.3	4     	S  	G
 1087	Sc    	 4485	 59.6	     	    	20.8	11.2	4,d   	S,D	V
 1126	SBc   	 9971	133.4	-25.3	 3.4	20.5	11.1	d     	   	
 1167	Scd   	 4303	 57.0	-23.3	 3.3	20.3	10.9	4,d   	S  	
 1212	Sb    	10759	144.4	-25.4	 3.5	21.0	13.2	4,d   	S  	
 1322	Sc    	 4821	 63.9	-22.4	 2.6	20.9	11.5	p     	D  	
 1497	SBc   	 5190	 69.3	-24.6	 3.1	20.3	18.5	4,d   	S  	
 1529	Sc    	 4649	 61.6	-23.6	 3.4	20.1	10.9	4,d   	S  	G
 1559	SABcd 	 3619	 48.1	     	    	21.1	12.2	4,d   	S  	
 1579	SBcd  	 3410	 45.1	-22.0	 2.3	21.3	14.5	4,d   	S  	
 1635	Sbc   	 3449	 46.6	-23.0	 3.5	21.1	14.0	4,d   	S  	V
 1721	SBbc  	 4639	 62.3	-23.7	 3.4	20.8	12.6	d     	S  	
 1727	Sa    	 7910	105.3	-25.6	 4.2	20.1	10.9	d     	S  	
 1862	SABcd 	 1385	 18.4	     	    	20.1	12.7	4,d   	S  	G
 1908	SBc   	 8261	110.0	-25.3	 3.7	19.6	 8.7	p     	S  	G
 2109	SABcd 	 3677	 49.3	-21.7	 2.0	21.0	18.2	4,d   	S  	
