#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:22:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	Sabs	e_Sabs	SNR	HRV	Tel
 	 	Jy.km/s	Jy.km/s	 	km/s	
------	--------	------	------	-----	------	-----
331061	456-013 	  0.90	  0.11	  5.8	  6001	AOlf
331060	478-009b	  2.73	  0.36	 12.5	  4461	AOlf
331405	        	  2.78	  0.32	  8.3	 10405	AOlf
331066	382-016 	  2.60	  0.33	  7.1	  7326	AOlf
331067	517-010 	  0.68	  0.13	  4.1	 12703	AOlf
 12893	456-014 	  3.28	  0.44	  9.2	  1099	AOlf
 12896	478-010 	  2.94	  0.36	  7.1	  7666	AOlf
 12898	        	  5.34	  0.56	 32.6	  4780	AOlf
 12897	499-032 	  0.64	  0.09	  5.4	  8864	AOlf
 12895	        	  4.42	  0.47	 13.6	  6747	AOlf
331071	499-033 	  0.36	  0.05	  4.9	  8610	AOlf
 12900	456-015 	 14.86	  2.26	 21.9	  6804	AOlf
 36544	349 G 17	  3.87	  0.43	  9.7	  6911	Nanc
 12901	499-035 	  5.76	  0.77	 18.0	  6895	AOlf
 12903	408-010 	  4.72	  0.60	  6.1	 14747	AOlf
 12909	I5376   	  8.21	  1.16	  6.6	  5028	AOlf
 12906	N7803   	  4.53	  0.46	 13.0	  5326	AOlf
 12910	        	  3.35	  0.34	 28.9	  3947	AOlf
 12911	N7806   	  1.51	  0.20	  5.7	  4783	AOlf
331079	I1526   	  1.07	  0.14	  5.9	  9141	AOlf
 12912	408-011 	  1.94	  0.21	 11.1	  9252	AOlf
331082	433-016 	  2.63	  0.28	 11.2	  6370	AOlf
331083	499-038 	  1.66	  0.29	  4.1	  7465	AOlf
 12913	M+001018	  6.14	  0.86	  7.2	  6339	AOlf
 12914	478-012 	 19.37	  2.56	 42.0	  4346	AOlf
 12915	478-013 	 14.16	  1.60	 32.0	  4340	AOlf
331086	517-014 	 -0.89	  0.11	  0.0	  9714	AOlf
 12916	        	  2.14	  0.25	  8.8	  6347	AOlf
331088	433-017 	  0.93	  0.13	  5.5	  7934	AOlf
 12918	I5377   	  9.45	  1.01	 31.6	  1051	AOlf
 12919	N7810   	  4.90	  0.56	  7.2	  5486	AOlf
 12920	478-014 	  4.21	  0.53	 11.4	  7610	AOlf
400001	M-101024	  3.72	  0.42	  9.8	  6463	Nanc
     1	I5378a  	  2.57	  0.26	 27.1	  5836	AOlf
