#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F534%2FA109%2Fmcxc&-out.max=unlimited&-out.all=	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
MCXC	OName	RAJ2000	DEJ2000	z	L500	M500	R500	Notes	Simbad
 	 	"h:m:s"	"d:m:s"	 	10+37W	10+14Msun	Mpc	 	
------------	------------------	----------	---------	-------	---------	-------	-------	------------------------------------------	------
J0000.1+0816	RXC J0000.1+0816  	00 00 07.1	+08 16 28	 0.0396	 0.196280	 0.7373	 0.6296	                                          	Simbad
J0000.4-0237	RXC J0000.4-0237  	00 00 24.7	-02 37 30	 0.0379	 0.052338	 0.3297	 0.4817	                                          	Simbad
J0001.6-1540	RXC J0001.6-1540  	00 01 39.0	-15 40 52	 0.1246	 0.814902	 1.6557	 0.8021	                                          	Simbad
J0001.9+1204	RXC J0001.9+1204  	00 01 57.0	+12 04 23	 0.2033	 1.990205	 2.6927	 0.9178	                                          	Simbad
J0003.1-0605	RXCJ0003.1-0605   	00 03 11.8	-06 05 10	 0.2320	 6.107094	 5.2188	 1.1326	                                          	Simbad
J0003.2-3555	RXCJ0003.2-3555   	00 03 12.1	-35 55 38	 0.0490	 0.441862	 1.2016	 0.7388	losStr                                    	Simbad
J0003.8+0203	RXCJ0003.8+0203   	00 03 50.6	+02 03 48	 0.0924	 0.846881	 1.7342	 0.8233	                                          	Simbad
J0004.9+1142	RXC J0004.9+1142  	00 04 59.4	+11 42 02	 0.0761	 0.518795	 1.3009	 0.7520	                                          	Simbad
J0005.3+1612	RXC J0005.3+1612  	00 05 22.6	+16 12 38	 0.1164	 1.579007	 2.4929	 0.9218	B                                         	Simbad
J0006.0-3443	RXCJ0006.0-3443   	00 06 03.0	-34 43 27	 0.1147	 1.809494	 2.7122	 0.9486	                                          	Simbad
J0006.3+1052	RXC J0006.3+1052  	00 06 21.7	+10 52 04	 0.1698	 2.272747	 2.9941	 0.9621	                                          	Simbad
J0008.9+4110	ZwCl28            	00 08 56.9	+41 10 37	 0.1537	 2.110832	 2.8963	 0.9569	                                          	Simbad
J0009.7-3516	MS0007.2-3532     	00 09 46.5	-35 16 30	 0.0500	 0.261854	 0.8728	 0.6639	                                          	Simbad
J0011.3-2851	RXCJ0011.3-2851   	00 11 20.7	-28 51 18	 0.0620	 1.086002	 2.0611	 0.8807	losStr                                    	Simbad
J0011.7-1523	MACSJ0011.7-1523  	00 11 42.8	-15 23 22	 0.3780	 8.900000	 7.2000	 1.1900	                                          	Simbad
J0011.7+3225	RXC J0011.7+3225  	00 11 44.4	+32 25 01	 0.1073	 2.571958	 3.3785	 1.0232	                                          	Simbad
J0013.6-1930	RXCJ0013.6-1930   	00 13 38.3	-19 30 08	 0.0940	 1.236332	 2.1818	 0.8883	losStr                                    	Simbad
J0014.3-6604	RXCJ0014.3-6604   	00 14 18.4	-66 04 39	 0.1599	 2.827248	 3.4455	 1.0117	X                                         	Simbad
J0014.3-3023	RXCJ0014.3-3023   	00 14 18.8	-30 23 00	 0.3066	11.818114	 7.3614	 1.2359	                                          	Simbad
J0014.3+0854	MS0011.7+0837     	00 14 19.8	+08 54 00	 0.1630	 1.927804	 2.7218	 0.9342	                                          	Simbad
J0015.4-2350	RXCJ0015.4-2350   	00 15 24.0	-23 50 42	 0.0645	 0.326305	 0.9884	 0.6888	X                                         	Simbad
J0015.9+1614	MS0013.4+1558     	00 15 55.9	+16 14 58	 0.0830	 0.319693	 0.9638	 0.6790	                                          	Simbad
J0016.3-3121	RXC J0016.3-3121  	00 16 19.8	-31 21 55	 0.0805	 0.495174	 1.2607	 0.7431	                                          	Simbad
J0016.7+0646	RXC J0016.7+0646  	00 16 45.5	+06 46 25	 0.0833	 0.319327	 0.9629	 0.6787	                                          	Simbad
J0017.5-3509	RXCJ0017.5-3509   	00 17 33.7	-35 09 54	 0.0968	 0.692442	 1.5291	 0.7883	losStr                                    	Simbad
J0018.5+1626	MACSJ0018.5+1626  	00 18 33.8	+16 26 17	 0.5456	17.911453	 7.7847	 1.1477	                                          	Simbad
J0019.0-2026	RXC J0019.0-2026  	00 19 03.9	-20 26 17	 0.2773	 5.571336	 4.7634	 1.0807	                                          	Simbad
J0019.6+2517	RXC J0019.6+2517  	00 19 39.1	+25 17 27	 0.1353	 1.441768	 2.3266	 0.8951	                                          	Simbad
J0020.1+0005	RXC J0020.1+0005  	00 20 10.7	+00 05 30	 0.2124	 0.686609	 1.3975	 0.7352	                                          	Simbad
J0020.5-4913	RXC J0020.5-4913  	00 20 34.1	-49 13 40	 0.0711	 0.268194	 0.8730	 0.6595	                                          	Simbad
J0020.6+2840	RXC J0020.6+2840  	00 20 40.9	+28 40 30	 0.0940	 1.434697	 2.3890	 0.9156	                                          	Simbad
J0020.7-2542	RXCJ0020.7-2542   	00 20 42.8	-25 42 37	 0.1410	 2.872451	 3.5275	 1.0263	                                          	Simbad
J0021.5+2803	RXC J0021.5+2803  	00 21 35.9	+28 03 05	 0.0948	 0.967910	 1.8782	 0.8448	                                          	Simbad
J0022.0+0422	WARP J0022.0+0422 	00 22 03.4	+04 22 38	 0.4070	 0.581659	 1.0815	 0.6277	                                          	Simbad
J0023.1+0421	WARP J0023.1+0421 	00 23 06.0	+04 21 13	 0.4530	 0.784758	 1.2496	 0.6469	                                          	Simbad
J0024.0-1704	RXC J0024.0-1704  	00 24 03.6	-17 04 32	 0.1890	 1.483752	 2.2757	 0.8722	                                          	Simbad
J0024.5+3312	RXC J0024.5+3312  	00 24 31.8	+33 12 31	 0.2260	 2.992847	 3.3939	 0.9834	                                          	Simbad
J0025.4-1222	MACSJ0025.4-1222  	00 25 29.4	-12 22 37	 0.5843	 8.041877	 4.6232	 0.9500	                                          	Simbad
J0025.5-3302	RXCJ0025.5-3302   	00 25 32.4	-33 02 50	 0.0491	 0.494670	 1.2872	 0.7559	                                          	Simbad
J0026.7+0501	WARP J0026.7+0501 	00 26 47.8	+05 01 26	 0.2529	 0.325648	 0.8595	 0.6162	                                          	Simbad
J0027.3-5015	RXCJ0027.3-5015   	00 27 21.3	-50 15 04	 0.1448	 2.164603	 2.9603	 0.9668	                                          	Simbad
