#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F566%2FA1%2Fgroups&-out.max=unlimited&-out.all=	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35660001
#Name: J/A+A/566/A1
#Title: Flux- and volume-limited groups for SDSS galaxies (Tempel+, 2014)
#INFO	ivoid=ivo://cds.vizier/j/a+a/566/a1	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/566/a1	    IVOID of underlying data collection
#INFO	creator=Tempel E.	    First author or institution
#INFO	cites=bibcode:2014A&A...566A...1T	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/566/A1	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35660001	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_566_A1_groups:
#Name: J/A+A/566/A1/groups
#Title: Flux limited groups
#Column	GroupID	(I6)	[1/82458] Group/cluster ID	[ucd=meta.id;meta.main]
#Column	Ngal	(I3)	[2/849] Richness	[ucd=meta.number]
#Column	RAJ2000	(F9.5)	Right ascension of group centre (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination of group centre (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zcmb	(F8.5)	CMB-corrected redshift of group	[ucd=src.redshift]
#Column	Dist.c	(F7.3)	Comoving distance to group center (G1)	[ucd=pos.distance]
#Column	sig.v	(F7.1)	rms radial velocity deviation {sigma}_V_	[ucd=phys.veloc.dispersion]
#Column	sig.sky	(F7.4)	rms deviation of the projected distance in the sky from group center {sigma}_sky_ (G1)	[ucd=phys.angSize]
#Column	Rvir	(F7.4)	Virial radius (projected harmonic mean) (G1)	[ucd=phys.size.radius]
#Column	Rmax	(F8.4)	Maximum radius of the group (G1)	[ucd=phys.size.radius]
#Column	MNFW	(E9.2)	Mass (NFW profile) (G1)	[ucd=phys.mass]
#Column	MHer	(E9.2)	Mass (Hernquist profile) (G1)	[ucd=phys.mass]
#Column	Lrgroup	(E9.2)	Observed luminosity (G1)	[ucd=phys.luminosity]
GroupID	Ngal	RAJ2000	DEJ2000	zcmb	Dist.c	sig.v	sig.sky	Rvir	Rmax	MNFW	MHer	Lrgroup
 	 	deg	deg	 	Mpc	km/s	Mpc	Mpc	Mpc	10+12Msun	10+12Msun	10+10Lsun
------	---	---------	---------	--------	-------	-------	-------	-------	--------	---------	---------	---------
     1	410	186.30815	+09.60847	 0.00572	 17.116	  685.4	 0.8188	 0.7496	  2.4708	 7.12e+02	 1.23e+03	 6.69e+01
     2	  3	141.17580	+51.50318	 0.00230	  6.882	   47.3	 0.0521	 0.1256	  0.0804	 2.33e-01	 3.72e-01	 3.71e-01
     3	  5	169.39517	+13.17133	 0.00361	 10.814	   92.5	 0.1094	 0.1284	  0.2241	 1.84e+00	 2.99e+00	 2.21e+00
     4	  2	178.08813	+37.49580	 0.00397	 11.880	   16.0	 0.0770	 0.2177	  0.1099	 6.31e-02	 6.31e-02	 9.73e-01
     5	 16	190.52824	+01.61812	 0.00570	 17.058	  274.2	 0.1787	 0.2532	  0.4373	 2.58e+01	 4.29e+01	 2.22e+00
     6	  6	188.45842	+02.50379	 0.00698	 20.907	   90.0	 0.0690	 0.0946	  0.1276	 1.10e+00	 1.78e+00	 2.14e+00
     7	 68	226.08431	+01.63843	 0.00655	 19.610	  274.0	 0.2842	 0.2813	  0.8019	 4.08e+01	 6.82e+01	 8.44e+00
     8	  8	215.21468	+03.57255	 0.00618	 18.489	  131.9	 0.1183	 0.0856	  0.3334	 4.03e+00	 6.58e+00	 3.69e+00
     9	 19	220.23759	+02.56043	 0.00623	 18.649	  103.9	 0.2159	 0.2666	  0.4425	 4.55e+00	 7.45e+00	 2.58e+00
    10	  3	175.21795	+11.66235	 0.00438	 13.112	   52.4	 0.0989	 0.2013	  0.1801	 5.38e-01	 8.66e-01	 7.42e-01
    11	 24	171.09583	+38.98238	 0.00753	 22.542	   93.2	 0.2395	 0.2841	  0.5249	 4.07e+00	 6.65e+00	 3.59e+00
    12	  2	189.13949	+11.24847	 0.00860	 25.723	   27.6	 0.0032	 0.0090	  0.0045	 7.70e-03	 7.70e-03	 2.38e+00
    13	  4	186.08374	+18.24648	 0.00376	 11.254	  116.8	 0.0616	 0.0541	  0.1474	 1.66e+00	 2.69e+00	 1.50e+00
    14	  2	191.07321	+16.40593	 0.00392	 11.735	  140.1	 0.0200	 0.0566	  0.0286	 1.26e+00	 1.26e+00	 4.72e-01
    15	  2	191.79636	-03.30154	 0.00480	 14.368	   32.2	 0.0468	 0.1325	  0.0668	 1.55e-01	 1.55e-01	 6.72e-01
    16	 52	207.69858	+40.40630	 0.00886	 26.522	  230.7	 0.3520	 0.3437	  1.1397	 3.59e+01	 5.99e+01	 1.11e+01
    17	  3	186.85249	+27.61851	 0.00355	 10.644	   28.4	 0.1089	 0.2373	  0.1887	 1.76e-01	 2.81e-01	 4.02e-01
    18	  2	186.48393	+12.61099	 0.00955	 28.569	   71.2	 0.0223	 0.0632	  0.0317	 3.62e-01	 3.62e-01	 2.43e+00
    19	  5	150.61620	+55.57090	 0.00458	 13.720	  105.1	 0.0422	 0.0572	  0.0975	 9.22e-01	 1.49e+00	 6.33e-01
    20	163	176.36716	+55.36970	 0.00472	 14.139	  401.8	 0.7583	 0.6412	  1.9467	 2.30e+02	 3.91e+02	 1.33e+01
    21	  3	159.13820	+37.23294	 0.00620	 18.564	   89.6	 0.1044	 0.1986	  0.1964	 1.65e+00	 2.68e+00	 9.80e-01
    22	  2	145.41678	+00.55502	 0.00750	 22.453	   92.0	 0.0654	 0.1850	  0.0930	 1.77e+00	 1.77e+00	 1.35e+00
    23	 13	220.39713	-00.14600	 0.00670	 20.074	   99.1	 0.1720	 0.2296	  0.4009	 3.31e+00	 5.39e+00	 3.27e+00
    24	 40	183.30311	+30.42145	 0.00351	 10.504	  293.7	 0.2854	 0.2591	  0.9195	 4.71e+01	 7.87e+01	 3.28e+00
    25	 68	184.10679	+43.81294	 0.00306	  9.153	  231.1	 0.4308	 0.4107	  1.1533	 4.40e+01	 7.35e+01	 3.65e+00
    26	 36	211.88873	+54.92074	 0.00665	 19.904	  195.6	 0.2039	 0.2303	  0.5636	 1.51e+01	 2.49e+01	 4.09e+00
    27	  9	182.37239	+39.29553	 0.00437	 13.096	  114.7	 0.0960	 0.1313	  0.2625	 2.48e+00	 4.03e+00	 6.11e-01
    28	 15	193.91077	+01.43994	 0.00463	 13.874	  144.1	 0.2012	 0.2603	  0.4496	 8.12e+00	 1.33e+01	 1.61e+00
