#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:30 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F602%2FA100%2Ftable2&-out.max=unlimited&-out.all=	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36020100
#Name: J/A+A/602/A100
#Title: Merging groups and clusters from the SDSS data (Tempel+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/a+a/602/a100	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/602/a100	    IVOID of underlying data collection
#INFO	creator=Tempel E.	    First author or institution
#INFO	cites=bibcode:2017A&A...602A.100T	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/602/A100	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36020100	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_602_A100_table2:
#Name: J/A+A/602/A100/table2
#Title: Catalog of galaxy groups
#Column	GroupID	(I6)	[1/88662] Group/cluster ID	[ucd=meta.id;meta.main]
#Column	Ngal	(I5)	[2/254] Richness	[ucd=src.class.richness]
#Column	RAJ2000	(F13.9)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist.c	(F10.6)	Comoving distance to group center (G1)	[ucd=pos.distance]
#Column	Rmax	(F10.6)	Maximum radius of the group (G1)	[ucd=phys.size.radius;stat.max]
#Column	M200	(E11.4)	Estimated mass of the NFW profile group	[ucd=phys.mass]
#Column	R200	(E11.4)	Radius, where mean density is 200 the Universe average density	[ucd=phys.size.radius]
GroupID	Ngal	RAJ2000	DEJ2000	Dist.c	Rmax	M200	R200
 	 	deg	deg	Mpc	Mpc	10+12Msun	Mpc
------	-----	-------------	-------------	----------	----------	-----------	-----------
     1	    7	121.997453104	+16.414491138	438.288185	  0.669159	 3.5636e+01	 6.7100e-01
     2	    3	219.001555994	+63.427380817	522.099027	  0.147108	 1.4747e+01	 4.9663e-01
     3	    2	171.324623448	+42.481467066	803.979846	  0.082766	 3.2775e+01	 6.3255e-01
     4	   42	201.336463838	+57.602098256	500.365232	  1.569421	 5.2055e+02	 1.6320e+00
     5	   19	163.503200255	+16.845646712	371.955412	  1.060324	 3.7343e+02	 1.4761e+00
     6	    4	158.700235921	+04.375530052	670.002802	  0.667000	 4.8911e+01	 7.3143e-01
     7	   40	126.373243779	+47.160419966	548.506846	  1.776296	 7.4951e+02	 1.8355e+00
     8	    2	126.224434358	+46.863492970	551.669900	  0.278143	 3.2900e+01	 6.4733e-01
     9	    4	230.424859803	+25.954937355	545.704720	  0.557435	 6.5775e+00	 3.7870e-01
    10	   12	222.702405299	+14.630760422	623.716834	  0.998909	 1.6314e+02	 1.0972e+00
    11	    4	222.892391254	+14.639615936	631.438187	  0.785738	 1.2404e+02	 1.0008e+00
    12	    3	222.576858894	+14.537000158	621.533052	  0.488292	 8.8782e+01	 8.9594e-01
    13	    6	186.452037366	+25.681851342	502.173507	  0.398449	 2.3879e+01	 5.8413e-01
    14	   15	206.070026933	+11.679162487	416.218741	  1.224578	 3.2039e+02	 1.3977e+00
    15	   38	255.680476402	+34.017372136	439.503494	  1.461603	 4.9085e+02	 1.6083e+00
    16	   28	255.653094655	+34.074409351	414.657616	  1.128407	 1.8031e+02	 1.1541e+00
    17	    8	255.970405718	+33.839760581	400.402952	  1.017974	 1.3505e+02	 1.0493e+00
    18	    4	255.825191461	+33.783984056	426.463594	  0.822287	 4.4841e+01	 7.2510e-01
    19	    4	255.255844953	+33.979442015	428.039101	  0.464179	 8.3938e+01	 8.9352e-01
    20	    4	255.404185669	+34.018892559	414.705054	  0.241109	 1.2449e+01	 4.7347e-01
    21	    9	214.143433030	+23.335542473	594.875286	  1.063035	 2.4810e+02	 1.2648e+00
    22	    8	214.028175862	+23.072328058	589.585549	  0.918932	 1.7119e+02	 1.1182e+00
    23	    2	214.213042013	+23.491095650	595.048054	  0.310150	 1.4201e+02	 1.0502e+00
    24	   21	196.676899478	+39.788171430	475.099095	  1.096485	 1.8410e+02	 1.1565e+00
    25	   12	181.391393770	+10.379566280	415.494275	  0.757349	 5.2171e+01	 7.6330e-01
    26	    9	181.137397611	+10.429818340	407.696279	  1.220870	 2.9116e+02	 1.3548e+00
    27	    4	215.490849481	+37.287754427	674.953467	  0.938618	 7.0393e+01	 8.2545e-01
    28	    6	168.314782831	+13.453289166	700.611327	  0.777728	 2.2783e+02	 1.2183e+00
    29	    4	168.214540519	+13.442288157	718.429289	  0.888238	 1.1861e+00	 2.1082e-01
    30	    4	155.833219073	+59.812729920	838.411582	  0.480297	 1.2803e+01	 4.6097e-01
    31	   38	217.122935443	+56.822722545	456.461904	  1.568375	 6.1756e+02	 1.7339e+00
    32	    5	217.390658480	+56.566266039	458.043511	  0.634717	 1.0784e+02	 9.6900e-01
    33	    2	216.902364318	+57.046284851	467.949336	  0.199665	 2.6333e+00	 2.8090e-01
    34	    2	231.554581969	+10.046244826	571.809355	  0.291244	 3.1945e+00	 2.9703e-01
    35	    4	112.803433450	+43.175597453	818.127743	  0.691570	 1.6019e+02	 1.0721e+00
    36	    3	228.160835142	+09.824877022	612.968921	  0.320294	 6.6133e+01	 8.1276e-01
    37	   15	137.297437626	+11.003105915	702.026166	  1.721489	 6.6823e+02	 1.7437e+00
    38	    8	137.569913455	+10.920373527	696.980126	  1.170661	 4.0678e+02	 1.4784e+00
