item,name,current_test,historical_receipts
1,Effective dimension,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
2,Shape and anisotropy,Partial new shape/morphology tests; exact 3D anisotropy unavailable,6
3,Surface versus volume density,New surface proxies tested; true volume density unmeasured,3
4,Baryonic compactness,New compactness/potential proxies tested,2
5,Pressure support,No new direct test in this round; requires a derived observable prediction and appropriate source data,3
6,Thermodynamic state,No new direct test in this round; requires a derived observable prediction and appropriate source data,2
7,Baryonic composition,"New composition lead, substantially reduced by stellar-mass calibration",3
8,Field gradients and curvature,New radial gradient/curvature tests,2
9,Interior/exterior balance,New inner/outer radial light/force tests; no full 3D shells,3
10,Baryonic boundaries,Partial profile-boundary tests; coverage diagnostic,2
11,External baryonic field,No new direct test in this round; requires a derived observable prediction and appropriate source data,2
12,Dynamical age,New spectral-population proxy prediction and sample transport; orbit age unmeasured,2
13,Relaxation and mergers,New imaging disturbance tests give model-dependent results,2
14,Resonance and coherence,No direct resonance phase measurement; radial profile proxies only,2
15,Timescale ratios,Source-only period/crossing proxies tested and algebraically identified,3
16,QED-like gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
17,Running gravitational strength,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
18,Gravitational antiscreening,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
19,Massive gravitational particles,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
20,Massive phases or periods,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
21,Mixed massive and massless modes,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
22,Multiple gravitational polarizations,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
23,Bimetric or multi-metric gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
24,Different behavior of time,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
25,Time-varying gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
26,Retarded gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
27,Gravitational memory,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
28,Periodic gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,0
29,Nonlinear self-interaction,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
30,Screening mechanisms,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
31,Vacuum polarization or permittivity,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
32,Boundary focusing,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
33,Phase-transition gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
34,Condensate or superfluid behavior,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
35,Modified inertia,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
36,Extra dimensions,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
37,Alternative geometry,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
38,Emergent gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
39,Holographic or boundary gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
40,Discrete or network gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
41,Stochastic gravity,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
42,Matter-geometry feedback,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
43,Cosmological boundary coupling,No new direct test in this round; requires a derived observable prediction and appropriate source data,1
44,Scale hierarchy,Partial size and radial-scale ratios tested,1
45,Universal interaction variables,New limited nonlinear transforms and combined ridge,1
