galaxy,seed,fold
CamB,9060601,3
D564-8,9060601,4
D631-7,9060601,0
DDO064,9060601,0
DDO154,9060601,4
DDO161,9060601,0
DDO168,9060601,0
DDO170,9060601,3
ESO079-G014,9060601,3
ESO116-G012,9060601,1
ESO444-G084,9060601,1
F565-V2,9060601,4
F568-3,9060601,4
F568-V1,9060601,1
F571-V1,9060601,3
F574-1,9060601,3
F583-1,9060601,4
F583-4,9060601,0
IC2574,9060601,1
KK98-251,9060601,1
NGC0024,9060601,3
NGC0055,9060601,0
NGC0247,9060601,0
NGC0289,9060601,2
NGC0300,9060601,4
NGC0801,9060601,3
NGC1003,9060601,1
NGC1090,9060601,0
NGC2403,9060601,1
NGC2683,9060601,2
NGC2841,9060601,3
NGC2903,9060601,3
NGC2915,9060601,0
NGC2955,9060601,2
NGC2976,9060601,3
NGC2998,9060601,2
NGC3109,9060601,2
NGC3198,9060601,3
NGC3521,9060601,4
NGC3726,9060601,2
NGC3741,9060601,4
NGC3769,9060601,2
NGC3877,9060601,4
NGC3893,9060601,1
NGC3917,9060601,3
NGC3949,9060601,4
NGC3953,9060601,2
NGC3972,9060601,1
NGC3992,9060601,0
NGC4051,9060601,2
NGC4068,9060601,1
NGC4088,9060601,4
NGC4100,9060601,0
NGC4138,9060601,4
NGC4559,9060601,4
NGC5005,9060601,2
NGC5033,9060601,2
NGC5055,9060601,0
NGC5371,9060601,3
NGC5585,9060601,0
NGC5985,9060601,0
NGC6015,9060601,4
NGC6195,9060601,3
NGC6503,9060601,1
NGC6674,9060601,2
NGC6946,9060601,2
NGC7331,9060601,0
NGC7793,9060601,0
UGC00128,9060601,0
UGC00191,9060601,0
UGC00731,9060601,0
UGC00891,9060601,2
UGC02259,9060601,2
UGC02487,9060601,3
UGC02885,9060601,1
UGC02916,9060601,2
UGC02953,9060601,4
UGC03205,9060601,0
UGC03546,9060601,1
UGC03580,9060601,3
UGC04325,9060601,1
UGC04483,9060601,0
UGC04499,9060601,3
UGC05005,9060601,4
UGC05253,9060601,1
UGC05414,9060601,4
UGC05716,9060601,2
UGC05721,9060601,2
UGC05750,9060601,3
UGC05764,9060601,4
UGC05829,9060601,2
UGC05918,9060601,1
UGC06399,9060601,2
UGC06446,9060601,3
UGC06614,9060601,0
UGC06786,9060601,1
UGC06787,9060601,1
UGC06818,9060601,0
UGC06917,9060601,0
UGC06923,9060601,1
UGC06930,9060601,1
UGC06983,9060601,4
UGC07089,9060601,4
UGC07261,9060601,2
UGC07323,9060601,0
UGC07399,9060601,4
UGC07524,9060601,2
UGC07559,9060601,1
UGC07577,9060601,2
UGC07603,9060601,1
UGC07690,9060601,4
UGC07866,9060601,3
UGC08490,9060601,3
UGC08699,9060601,3
UGC08837,9060601,4
UGC09037,9060601,1
UGC09133,9060601,3
UGC09992,9060601,4
UGC10310,9060601,1
UGC11557,9060601,2
UGC11820,9060601,3
UGC11914,9060601,4
UGC12632,9060601,2
UGC12732,9060601,3
UGCA442,9060601,0
UGCA444,9060601,1
CamB,9060602,1
D564-8,9060602,1
D631-7,9060602,1
DDO064,9060602,1
DDO154,9060602,3
DDO161,9060602,4
DDO168,9060602,4
DDO170,9060602,1
ESO079-G014,9060602,3
ESO116-G012,9060602,3
ESO444-G084,9060602,0
F565-V2,9060602,4
F568-3,9060602,0
F568-V1,9060602,4
F571-V1,9060602,0
F574-1,9060602,0
F583-1,9060602,2
F583-4,9060602,1
IC2574,9060602,0
KK98-251,9060602,2
NGC0024,9060602,1
NGC0055,9060602,0
NGC0247,9060602,2
NGC0289,9060602,2
NGC0300,9060602,2
NGC0801,9060602,4
NGC1003,9060602,1
NGC1090,9060602,4
NGC2403,9060602,3
NGC2683,9060602,1
NGC2841,9060602,4
NGC2903,9060602,4
NGC2915,9060602,0
NGC2955,9060602,1
NGC2976,9060602,4
NGC2998,9060602,2
NGC3109,9060602,2
NGC3198,9060602,0
NGC3521,9060602,2
NGC3726,9060602,3
NGC3741,9060602,3
NGC3769,9060602,1
NGC3877,9060602,2
NGC3893,9060602,3
NGC3917,9060602,1
NGC3949,9060602,4
NGC3953,9060602,1
NGC3972,9060602,0
NGC3992,9060602,3
NGC4051,9060602,2
NGC4068,9060602,2
NGC4088,9060602,4
NGC4100,9060602,2
NGC4138,9060602,4
NGC4559,9060602,1
NGC5005,9060602,0
NGC5033,9060602,4
NGC5055,9060602,3
NGC5371,9060602,1
NGC5585,9060602,4
NGC5985,9060602,0
NGC6015,9060602,0
NGC6195,9060602,3
NGC6503,9060602,2
NGC6674,9060602,3
NGC6946,9060602,3
NGC7331,9060602,4
NGC7793,9060602,0
UGC00128,9060602,0
UGC00191,9060602,0
UGC00731,9060602,0
UGC00891,9060602,3
UGC02259,9060602,1
UGC02487,9060602,3
UGC02885,9060602,3
UGC02916,9060602,4
UGC02953,9060602,1
UGC03205,9060602,0
UGC03546,9060602,2
UGC03580,9060602,2
UGC04325,9060602,4
UGC04483,9060602,4
UGC04499,9060602,2
UGC05005,9060602,4
UGC05253,9060602,4
UGC05414,9060602,0
UGC05716,9060602,3
UGC05721,9060602,0
UGC05750,9060602,3
UGC05764,9060602,3
UGC05829,9060602,0
UGC05918,9060602,4
UGC06399,9060602,2
UGC06446,9060602,1
UGC06614,9060602,1
UGC06786,9060602,3
UGC06787,9060602,2
UGC06818,9060602,4
UGC06917,9060602,1
UGC06923,9060602,1
UGC06930,9060602,4
UGC06983,9060602,3
UGC07089,9060602,2
UGC07261,9060602,0
UGC07323,9060602,1
UGC07399,9060602,3
UGC07524,9060602,3
UGC07559,9060602,1
UGC07577,9060602,0
UGC07603,9060602,2
UGC07690,9060602,1
UGC07866,9060602,1
UGC08490,9060602,0
UGC08699,9060602,2
UGC08837,9060602,3
UGC09037,9060602,4
UGC09133,9060602,2
UGC09992,9060602,2
UGC10310,9060602,2
UGC11557,9060602,2
UGC11820,9060602,4
UGC11914,9060602,3
UGC12632,9060602,0
UGC12732,9060602,0
UGCA442,9060602,0
UGCA444,9060602,3
CamB,9060603,4
D564-8,9060603,1
D631-7,9060603,3
DDO064,9060603,1
DDO154,9060603,1
DDO161,9060603,0
DDO168,9060603,0
DDO170,9060603,0
ESO079-G014,9060603,3
ESO116-G012,9060603,3
ESO444-G084,9060603,0
F565-V2,9060603,1
F568-3,9060603,4
F568-V1,9060603,2
F571-V1,9060603,2
F574-1,9060603,0
F583-1,9060603,2
F583-4,9060603,2
IC2574,9060603,3
KK98-251,9060603,1
NGC0024,9060603,2
NGC0055,9060603,0
NGC0247,9060603,2
NGC0289,9060603,0
NGC0300,9060603,1
NGC0801,9060603,2
NGC1003,9060603,0
NGC1090,9060603,2
NGC2403,9060603,0
NGC2683,9060603,4
NGC2841,9060603,0
NGC2903,9060603,3
NGC2915,9060603,3
NGC2955,9060603,2
NGC2976,9060603,3
NGC2998,9060603,0
NGC3109,9060603,2
NGC3198,9060603,2
NGC3521,9060603,0
NGC3726,9060603,2
NGC3741,9060603,2
NGC3769,9060603,0
NGC3877,9060603,3
NGC3893,9060603,2
NGC3917,9060603,3
NGC3949,9060603,1
NGC3953,9060603,4
NGC3972,9060603,4
NGC3992,9060603,1
NGC4051,9060603,0
NGC4068,9060603,1
NGC4088,9060603,3
NGC4100,9060603,1
NGC4138,9060603,1
NGC4559,9060603,1
NGC5005,9060603,3
NGC5033,9060603,3
NGC5055,9060603,2
NGC5371,9060603,2
NGC5585,9060603,1
NGC5985,9060603,4
NGC6015,9060603,4
NGC6195,9060603,2
NGC6503,9060603,4
NGC6674,9060603,4
NGC6946,9060603,0
NGC7331,9060603,4
NGC7793,9060603,1
UGC00128,9060603,1
UGC00191,9060603,3
UGC00731,9060603,1
UGC00891,9060603,3
UGC02259,9060603,2
UGC02487,9060603,4
UGC02885,9060603,4
UGC02916,9060603,1
UGC02953,9060603,3
UGC03205,9060603,4
UGC03546,9060603,1
UGC03580,9060603,3
UGC04325,9060603,0
UGC04483,9060603,4
UGC04499,9060603,2
UGC05005,9060603,0
UGC05253,9060603,2
UGC05414,9060603,4
UGC05716,9060603,4
UGC05721,9060603,2
UGC05750,9060603,4
UGC05764,9060603,0
UGC05829,9060603,0
UGC05918,9060603,3
UGC06399,9060603,1
UGC06446,9060603,3
UGC06614,9060603,3
UGC06786,9060603,3
UGC06787,9060603,3
UGC06818,9060603,2
UGC06917,9060603,0
UGC06923,9060603,2
UGC06930,9060603,4
UGC06983,9060603,1
UGC07089,9060603,3
UGC07261,9060603,0
UGC07323,9060603,1
UGC07399,9060603,2
UGC07524,9060603,3
UGC07559,9060603,0
UGC07577,9060603,4
UGC07603,9060603,4
UGC07690,9060603,4
UGC07866,9060603,0
UGC08490,9060603,0
UGC08699,9060603,1
UGC08837,9060603,4
UGC09037,9060603,0
UGC09133,9060603,1
UGC09992,9060603,3
UGC10310,9060603,4
UGC11557,9060603,4
UGC11820,9060603,4
UGC11914,9060603,2
UGC12632,9060603,1
UGC12732,9060603,0
UGCA442,9060603,3
UGCA444,9060603,1
